article,output6.xml,DT79.xml
DT79-00727,"bourg de Saint-Jean-de-Bonneval, relevant de Thouars, ","bourg de S            t-Jean-de-Bonneval, relevant de Thouars, "
DT79-00728,commune de Saint-Jouin-sous-Châtillon.,commune de S            t-Jouin-sous-Châtillon.
DT79-00731,commune de Saint-Maurice-la-Fougereuse.,commune de S            t-Maurice-la-Fougereuse.
DT79-00745,commune de Saint-Léger-de-Montbrun.,commune de S            t-Léger-de-Montbrun.
DT79-00746,commune de Saint-Pompain.,commune de S            t-Pompain.
DT79-00759,commune de Saint-Georges-de-Noisné.,commune de S            t-Georges-de-Noisné.
DT79-00767,commune de Saint-Amand-sur-Sèvre.,commune de S            t-Amand-sur-Sèvre.
DT79-00771,commune de Saint-Aubin-de-Baubigné.,commune de S            t-Aubin-de-Baubigné.
DT79-00772,commune de Sainte-Pezenne.,commune de S            te-Pezenne.
DT79-00797,commune de la Mothe-Saint-Héraye.,commune de la Mothe-S            t-Héraye.
DT79-00805,commune du Puy-Saint-Bonnet.,commune du Puy-S            t-Bonnet.
DT79-00806,commune de Saint-Amand.,commune de S            t-Amand.
DT79-00807,commune de Saint-Florent.,commune de S            t-Florent.
DT79-00808,commune de Saint-Gelais.,commune de S            t-Gelais.
DT79-00809,commune de Saint-Germain-de-Longue-Chaume.,commune de S            t-Germain-de-Longue-Chaume.
DT79-00810,commune de Saint-Germain.,commune de S            t-Germain.
DT79-00811,commune de Saint-Jouin-sous-Châtillon.,commune de S            t-Jouin-sous-Châtillon.
DT79-00812,commune de Saint-Romans.,commune de S            t-Romans.
DT79-00813,commune de Saint-Sauveur-de-Givre-en-Mai.,commune de S            t-Sauveur-de-Givre-en-Mai.
DT79-00819,commune de Bouillé-Saint-Paul.,commune de Bouillé-S            t-Paul.
DT79-00822,"commune de Saint-Aubin-le-Cloud, ","commune de S            t-Aubin-le-Cloud, "
DT79-00823,commune de Saint-Coutant.,commune de S            t-Coutant.
DT79-00824,commune de Saint-Florent.,commune de S            t-Florent.
DT79-00833,commune de Saint-Germier.,commune de S            t-Germier.
DT79-00840,commune de Saint-Sauveur-de-Givre-en-Mai.,commune de S            t-Sauveur-de-Givre-en-Mai.
DT79-00846,commune de Saint-Aubin-de-Baubigné.,commune de S            t-Aubin-de-Baubigné.
DT79-00851,commune de Sainte-Blandine.,commune de S            te-Blandine.
DT79-00858,commune de Sainte-Verge.,commune de S            te-Verge.
DT79-00863,commune de la Mothe-Saint-Héraye.,commune de la Mothe-S            t-Héraye.
DT79-00865,commune de Saint-Amand-sur-Sèvre.,commune de S            t-Amand-sur-Sèvre.
DT79-00866,commune de Sainte-Ouenne.,commune de S            te-Ouenne.
DT79-00881,commune de Saint-Marsault.,commune de S            t-Marsault.
DT79-00883,commune de Saint-Porchaire.,commune de S            t-Porchaire.
DT79-00885,commune de Saint-Sauveur-de-Givre-en-Mai.,commune de S            t-Sauveur-de-Givre-en-Mai.
DT79-00886,commune de Saint-Clémentin.,commune de S            t-Clémentin.
DT79-00887,commune de Saint-Jouin-sous-Châtillon.,commune de S            t-Jouin-sous-Châtillon.
DT79-00903,commune de Saint-Georges-de-Rex.,commune de S            t-Georges-de-Rex.
DT79-00907,commune de Sainte-Pezenne.,commune de S            te-Pezenne.
DT79-00917,commune de Saint-Pardoux.,commune de S            t-Pardoux.
DT79-00918,commune de Saint-Pardoux.,commune de S            t-Pardoux.
DT79-00925,commune de la Chapelle-Saint-Laurent.,commune de la Chapelle-S            t-Laurent.
DT79-00928,commune de Saint-Aubin-de-Baubigné.,commune de S            t-Aubin-de-Baubigné.
DT79-00929,commune de Saint-Coutant.,commune de S            t-Coutant.
DT79-00930,commune de Saint-Vincent.,commune de S            t-Vincent.
DT79-00938,commune de Saint-Martin-de-Bernegoue.,commune de S            t-Martin-de-Bernegoue.
DT79-00942,commune de Saint-Aubin-de-Baubigné.,commune de S            t-Aubin-de-Baubigné.
DT79-00944,commune de Saint-Christophe-sur-Roc.,commune de S            t-Christophe-sur-Roc.
DT79-00947,commune de Saint-Martin-de-Bernegoue.,commune de S            t-Martin-de-Bernegoue.
DT79-00948,commune de Saint-Germain-de-Longue-Chaume.,commune de S            t-Germain-de-Longue-Chaume.
DT79-00950,commune de Saint-Germier.,commune de S            t-Germier.
DT79-00956,commune de Saint-Amand.,commune de S            t-Amand.
DT79-00957,commune de Saint-Aubin-le-Cloud.,commune de S            t-Aubin-le-Cloud.
DT79-00960,commune de la Chapelle-Saint-Étienne.,commune de la Chapelle-S            t-Étienne.
DT79-00963,commune de Saint-Aubin-le-Cloud.,commune de S            t-Aubin-le-Cloud.
DT79-00964,commune de Saint-Georges-de-Noisné.,commune de S            t-Georges-de-Noisné.
DT79-00968,commune de Saint-Romans-lez-Melle.,commune de S            t-Romans-lez-Melle.
DT79-00970,commune de la Chapelle-Saint-Étienne.,commune de la Chapelle-S            t-Étienne.
DT79-00974,commune de Saint-Lin.,commune de S            t-Lin.
DT79-00980,commune de Saint-André-sur-Sèvre.,commune de S            t-André-sur-Sèvre.
DT79-00990,commune de Saint-Germier.,commune de S            t-Germier.
DT79-00992,commune de Saint-Romans-lez-Melle.,commune de S            t-Romans-lez-Melle.
DT79-00993,commune de Saint-Symphorien.,commune de S            t-Symphorien.
DT79-00994,commune de Sainte-Pezenne.,commune de Ste-Pezenne.
DT79-01004,commune de Saint-Sauveur-de-Givre-en-Mai.,commune de S            t-Sauveur-de-Givre-en-Mai.
DT79-01014,commune de Saint-Paul-en-Gâtine.,commune de S            t-Paul-en-Gâtine.
DT79-01018,commune de Saint-Porchaire.,commune de S            t-Porchaire.
DT79-01019,commune de Sainte-Pezenne.,commune de S            te-Pezenne.
DT79-01022,commune de Saint-Sauveur-de-Givre-en-Mai.,commune de S            t-Sauveur-de-Givre-en-Mai.
DT79-01026,commune de Saint-Pardoux.,commune de S            t-Pardoux.
DT79-01035,commune de Saint-Christophe-sur-Roc.,commune de S            t-Christophe-sur-Roc.
DT79-01041,commune de Saint-Amand.,commune de S            t-Amand.
DT79-01043,commune de Saint-Martin-de-Saint-Maixent.,commune de S            t-Martin-de-St-Maixent.
DT79-01049,commune de Sainte-Soline.,commune de S            te-Soline.
DT79-01055,commune de Saint-Germain.,commune de S            t-Germain.
DT79-01059,commune de Saint-Laurs.,commune de S            t-Laurs.
DT79-01061,"commune de Sainte-Pezenne, ","commune de S            te-Pezenne, "
DT79-01062,commune de Saint-Marc-la-Lande.,commune de S            t-Marc-la-Lande.
DT79-01067,commune de Saint-Aubin-de-Baubigné.,commune de S            t-Aubin-de-Baubigné.
DT79-01072,commune de Saint-Marc-la-Lande.,commune de S            t-Marc-la-Lande.
DT79-01074,commune de Saint-Pardoux.,commune de S            t-Pardoux.
DT79-01085,commune de Saint-Loup.,commune de S            t-Loup.
DT79-01091,commune de Saint-Sauveur.,commune de S            t-Sauveur.
DT79-01095,commune de Saint-Étienne-la-Cigogne.,commune de S            t-Étienne-la-Cigogne.
DT79-01102,commune de Saint-Maixent-de-Beugné.,commune de S            t-Maixent-de-Beugné.
DT79-01104,commune de Saint-Lin.,commune de S            t-Lin.
DT79-01107,"Saint-Gelais, ","St-Gelais, "
DT79-01107,"Saint-Maxire, ","St-Maxire, "
DT79-01107,Saint-Pompain.,St-Pompain.
DT79-01111,commune du Puy-Saint-Bonnet.,commune du Puy-S            t-Bonnet.
DT79-01115,commune du Puy-Saint-Bonnet.,commune du Puy-S            t-Bonnet.
DT79-01116,commune de Saint-Martin-de-Sanzay.,commune de S            t-Martin-de-Sanzay.
DT79-01117,commune de Sainte-Verge.,commune de S            te-Verge.
DT79-01118,commune de Saint-Pierre-à-Champ.,commune de S            t-Pierre-à-Champ.
DT79-01128,commune de Saint-Jouin-de-Milly.,commune de S            t-Jouin-de-Milly.
DT79-01132,"commune de Saint-Aubin-de-Baubigné, ","commune de S            t-Aubin-de-Baubigné, "
DT79-01140,commune de la Chapelle-Saint-Étienne.,commune de la Chapelle-S            t-Étienne.
DT79-01141,commune de la Chapelle-Saint-Laurent.,commune de la Chapelle-S            t-Laurent.
DT79-01146,commune de Saint-André-sur-Sèvre.,commune de S            t-André-sur-Sèvre.
DT79-01147,commune de Saint-Amand.,commune de S            t-Amand.
DT79-01148,commune de Saint-Amand.,commune de S            t-Amand.
DT79-01151,commune de Bouillé-Saint-Paul.,commune de Bouillé-S            t-Paul.
DT79-01155,commune de Saint-Aubin-le-Cloud.,commune de S            t-Aubin-le-Cloud.
DT79-01156,commune de Saint-Maurice-la-Fougereuse.,commune de S            t-Maurice-la-Fougereuse.
DT79-01170,commune de Saint-Aubin-le-Cloud.,commune de S            t-Aubin-le-Cloud.
DT79-01171,commune de Saint-André-sur-Sèvre.,commune de S            t-André-sur-Sèvre.
DT79-01175,commune de Saint-Aubin-de-Baubigné.,commune de S            t-Aubin-de-Baubigné.
DT79-01186,commune de Saint-Jouin-de-Milly.,commune de S            t-Jouin-de-Milly.
