 id 	old	new	
2403	Menez Rouz	Ménez Rouz	
2404	Menez Vur	Ménez Vur	
2408	Mogueric	Moguéric	
2412	Moulin de Kerobezant	Kerobézant	
2413	Moulin de Mogueric	Moulin de Moguéric	
2415	Moulin de Tregain	Moulin de Trégain	
2416	Moulin l’Abbe	Moulin L'Abbé	
2419	Nenez (nevez)	Nénèz (névez)	
2420	Nenez Pont Guin	Nénèz Pont Guin	
2421	Nenez Treffladus	Nénèz Treffladus	
2430	Pen an Alle	Pen an Allé	
2433	Penity	Pénity	
2437	Perennou	Pérennou	
2440	Place Barre	Place Barré	
2449	Pyrenees (Les)	Pyrénées (Les)	
2450	Queneach du	Quénéach Du	
2451	Queneach Podou	Quénéach Podou	
2452	Queneach Queric	Quénéach Quéric	
2462	Rosteren	Rostéren	
2463	Runeven	Runéven	
2466	Rupeleter	Rupéleter	
2468	Saint Venec	Saint Vénec	
2469	Sainte Cecile	Sainte Cécile	
2475	Tregague (- / nevez)	Trégagué (- / névez)	
2476	Tregain	Trégain	
2480	Trolez	Troléz	
2481	Troneour	Tronéour	
2484	Ty Beo	Ty Béo	
2487	Ty Danielou	Ty Daniélou	
2489	Ty Eugene	Ty Eugène	
2492	Ty Hemon	Ty Hémon	
2499	Ty Névez Barre	Ty Névez Barré	
2502	Ty Névez Gorrequer	Ty Névez Gorréquer	
2503	Ty Névez Kerbernez	Ty Névez Kerbernèz	
2505	Ty Névez Kerhaerec	Ty Névez Kerhaërec	
2510	Ty Névez Kervehun	Ty Névez Kervéhun	
2511	Ty Névez Kervenal	Ty Névez Kervénal	
2519	Ty Névez Mogueric	Ty Névez Moguéric	
2525	Ty Névez Sainte Cecile	Ty Névez Sainte Cécile	
2549	Kergompezen	Kergompézen	
2579	Creach (rue du)	Créach	
2580	Creach ar Mell	Créach ar Mell	
2581	Creach Bian (rue de)	Créach Bian	
2582	Douvez (venelle du)	Douvèz	
2585	Keravezan	Keravézan	
2592	Languene	Languéné	
2594	Mechou Corps de Garde	Méchou Corps de Garde	
2595	Mechou Gouellou	Méchou Gouellou	
2596	Mechou Linadoc	Méchou Linadoc	
2597	Mechou Men Bras	Méchou Men Bras	
2598	Mechou Men Vilin	Méchou Men Vilin	
2599	Mechou Mesglas	Méchou Mesglas	
2600	Mechou Porspol	Méchou Porspol	
2601	Mechou Tro Naod	Méchou Tro Naod	
2608	Pen Hear	Pen Héar	
2618	Radenoc	Radénoc	
2622	Treber (sud / nord)	Tréber	
2629	Kerguelen	Kerguélen	
2634	Kernevez	Kernévez	
2638	Lambezen	Lambézen	
2650	Tresigneau	Trésigneau	
2651	Trez Rouz	Trèz Rouz	
2676	Chaise du Cure	Chaise du Curé	
2681	Creac’hcaouet	Créac'hcaouet	
2682	Creac’h Hirou	Créac'h Hirou	
2689	Greve Blanche (La)	Grève Blanche (La)	
2690	Guernevez	Guernévèz	
2691	Guezou	Guézou	
2698	Kelenn (Le)	Kélenn (Le)	
2703	Kererou	Kerérou	
2709	Kerliezec	Kerlièzec	
2719	Keromnes	Keromnès	
2723	Keruguelen	Keruguélen	
2724	Kervezec	Kervézec	
2725	Ker Vreost	Ker Vréost	
2728	Langueneube	Languéneubé	
2732	Meneyer	Méneyer	
2742	Penenez	Penénèz	
2756	Rochuela	Rochuela	
2759	Saint Guenole	Saint Guénolé	
2766	Varquez (Le)	Varquèz (Le)	
2786	Pors Trez	Pors Trèz	
2795	Caborgnes	Caborgnès	
2797	Creac’h Enan	Créac'h Enan	
2799	Croas ar Marechal	Croas ar Maréchal	
2811	Kerdidre	Kerdidré	
2813	Kerdunez	Kerdunèz	
2822	Kerhenor	Kerhénor	
2823	Kerledan	Kerlédan	
2824	Kerleon	Kerléon	
2826	Kernaeret	Kernaëret	
2828	Kerniguez	Kerniguèz	
2833	Kervoasdoue	Kervoasdoué	
2836	Lannouenec	Lannouénec	
2839	Metairie Neuve (La)	Métairie Neuve (La)	
2841	Moulin de Kerniguez	Moulin de Kerniguèz	
2858	Prevasy	Prévasy	
2859	Route de Mael-Carhaix	Route de Maël-Carhaix	
2860	Roc’h Caer	Roc'h Caër	
2868	Vallee du Roy	Vallée du Roy	
2911	Bodennec le Queau	Bodennec le Quéau	
2912	Botlenat	Botlénat	
2914	Cleguer	Cléguer	
2915	Clemeur	Clémeur	
2916	Coffeon	Cofféon	
2918	Cornelic	Cornélic	
2923	Creach Cast	Créach Cast	
2924	Creach Yan	Créach Yan	
2929	Gorreker	Gorréker	
2930	Goulit an Dreau	Goulit an Dréau	
2934	Guernevez	Guernévez	
2937	Keralies	Keraliès	
2942	Kerbole	Kerbolé	
2955	Kerleo	Kerléo	
2960	Kernezet	Kernézet	
2964	Kersale	Kersalé	
2977	Menic	Ménic	
2988	Pen ar Menez	Pen ar Ménez	
2997	Pen an Allee	Pen an Allée	
3005	Posteriot	Postériot	
3011	Prat Trevoalec	Prat Trévoalec	
3012	Quelennec	Quélennec	
3016	Quillidouare	Quillidouaré	
3025	Toul ar Venez	Toul ar Vénez	
3028	Treouret	Tréouret	
3030	Trevelven	Trévelven	
3031	Trevoallec	Trévoallec	
3043	Ty Veguen	Ty Véguen	
3049	Creachian	Créachian	
3055	Gouerec	Gouérec	
3075	Menez Quelch	Ménez Quelch	
3086	Roudou Baraer	Roudou Baraër	
3102	Creach Forest	Créach Forest	
3119	Leure (Le)	Leuré (Le)	
3120	Lezabannec	Lézabannec	
3124	Mezambellec	Mézanbellec	
3141	Quelennec	Quélennec	
3146	Rhunez	Rhunèz	
3150	Roz Lezabannec	Roz Lézabannec	
3157	Toul ar Queffelec	Toul ar Queffélec	
3159	Treverrec	Tréverrec	
3160	Ty Carre	Ty Carré	
3164	Ty Vegou	Ty Végou	
3173	Gorre ar Sao	Gorré ar Sao	
3194	Beron	Béron	
3203	Gledig (rue du)	Glédig	
3210	Gwernandreo	Gwernandréo	
3229	Kerefrant	Keréfrant	
3230	Kerelou	Kerélou	
3240	Kerherve	Kerhervé	
3241	Keriegu	Keriégu	
3251	Kernaleguen	Kernaléguen	
3253	Kerneach	Kernéach	
