article_id,vedette,localisationco,insee_code,id,old-id,label,definition_typologie,definition_localisation,insee,method_dicotopo,localisationde,dpt_code,canton_code,method,reference
PO7-02703,Pont Vesoul,Échenoz-la-Meline,70207,,,,,,,nulle,Haute-Saône,70,Vesoul,dpt_fuzzy,     Pont lès Vesoul     Haute Saône     con de Vesoul     cne d Échenoz la Meline       Pons  eccl   2 b      Pontes  capellanus  55 f      Pont  eccl   91 b      Ponz  eccl   22 a    
PO7-02704,Pontoux,none,71355,P52369292,DT71-01511,Communaux,lieu détruit,commune de Pontoux,71355,communes_fuzzy,,,,,
PO7-02705,Pont Ognon,none,70420,,,,,,,nulle,Haute-Saône,70,Villersexel,dpt_fuzzy,     Pont sur l Ognon     Haute Saône     con de Villersexel       Pontes  capellanus  60 e      Pont sur l Ongnon  eccl   96 b      Pontz  eccl   29 j    
PO7-02708,Portes,Bénonces,01037,P57705409,DT01-08297,Portes,hameau et ancienne chartreuse,commune de Bénonces,01037,localisationco_exact,,,,,
PO7-02709,Port Lesney,none,39439,,,,,,,nulle,Doubs,25,Villers-Farlay,nulle,     Port Lesney     Doubs     con de Villers Farlay       Laienay  eccl   15 f      Lainay  capellanus  41 e      Portus Lesnaii  eccl   72 a    
PO7-02710,Port Saone,none,70421,,,,,,,nulle,Haute-Saône,70,none,dpt_exact,     Port sur Saône     Haute Saône     arr  de Vesoul       Portus  capellanus  55 d  eccl   21 g  91 a  ministerium  2 b  prior  89 a  91 a e      Portus super seu supra Sagonam  prior  55 a  85 e  241 c    
PO7-02712,Posterle,Pellafol,38299,,,,,,,nulle,Isère,38,Mens,dpt_exact,     Posterle  la      Isère     con de Mens     cne de Pellafol       Postella  capellanus  430 j      Posterla  capellanus  415 b    
PO7-02713,Pougny,none,01308,P23366614,DT01-02353,Chancy Pougny,hameau,commune de Pougny,01308,communes_fuzzy,,,,,
PO7-02714,Pouilley Vignes,none,25467,,,,,,,nulle,Doubs,25,Audeux,dpt_exact,     Pouilley les Vignes     Doubs     con d Audeux       Poilley  capellanus  40 f  eccl   66 c  70 c  prebenda  37 b  66 a  70 e  73 b  94 a  98 e  99 e      Poilli  obedientia  8 d      Poylle  prebenda  3 a b  eccl   3 c      Poilleyum  prebenda  81 c    
PO7-02715,Pouilly,Saint-Genis-Pouilly,01354,P93304124,DT01-08321,Pouilly,hameau,commune de Saint-Genis-Pouilly,01354,localisationco_exact,,,,,
PO7-02716,Pourcheres,none,07179,P47665961,DT07-12797,Roche,hameau,commune de Pourchères,07179,communes_fuzzy,,,,,
PO7-02717,Pourlans,none,71357,,,,,,,nulle,Saône-et-Loire,71,Verdun-sur-le-Doubs,dpt_exact,     Pourlans     Saône et Loire     con de Verdun sur le Doubs       Pollans  capellanus  47 c  eccl   17 f      Poullans  eccl   78 e    
PO7-02718,Pouzat,none,07204,P75323821,DT07-11834,Pouzat,commune,canton de Saint-Agrève,07204,communes_exact,,,,,
PO7-02719,Pouzin,none,07181,,,,,,,nulle,Ardèche,07,Chomérac,dpt_exact,     Pouzin  le      Ardèche     con de Chomérac       Pousinum  442 h  455 h  eccl   442 e  448 f    
PO7-02720,Poyols,none,26253,P58628374,DT26-08999,Prayon,ferme et quartier,commune de Poyols,26253,communes_fuzzy,,,,,
PO7-02721,Pradelles,none,43154,P08265555,DT43-04596,Hermitage Pradelles,,commune de Pradelles,43154,communes_fuzzy,,,,,
PO7-02721,Pradelles,none,43154,P96613591,DT43-00168,Ardenne,monticule,commune de Pradelles,43154,communes_fuzzy,,,,,
PO7-02722,Prades,none,07182,P27011492,DT07-06994,Grampes,ruisseau,commune de Prades,07182,communes_fuzzy,,,,,
PO7-02722,Prades,none,07182,P34409313,DT07-09377,Mazes,hameau,commune de Prades,07182,communes_fuzzy,,,,,
PO7-02722,Prades,none,07182,P76069971,DT07-12142,Puits Prades,hameau,commune de Prades,07182,communes_fuzzy,,,,,
PO7-02722,Prades,none,07182,P14516697,DT07-01185,Beraud,hameau,commune de Prades,07182,communes_fuzzy,,,,,
PO7-02722,Prades,none,07182,P30863948,DT07-05592,Eygades,hameau,commune de Prades,07182,communes_fuzzy,,,,,
PO7-02723,Pradons,none,07183,,,,,,,nulle,Ardèche,07,Vallon,dpt_exact,     Pradons     Ardèche     con de Vallon       Pradans  eccl   446 e    
PO7-02724,Pranles,none,07184,P02830568,DT07-13373,Sagnolles,hameau,commune de Pranles,07184,communes_fuzzy,,,,,
PO7-02724,Pranles,none,07184,P28006933,DT07-00764,Barneyras,ruisseau,commune de Pranles,07184,communes_fuzzy,,,,,
PO7-02724,Pranles,none,07184,P17072630,DT07-01238,Bernegris,mas,commune de Pranles,07184,communes_fuzzy,,,,,
PO7-02724,Pranles,none,07184,P52606576,DT07-13344,Sagnes,hameau,commune de Pranles,07184,communes_fuzzy,,,,,
PO7-02724,Pranles,none,07184,P69227678,DT07-11492,Plancheriole,mas,commune de Pranles,07184,communes_fuzzy,,,,,
PO7-02724,Pranles,none,07184,P45658242,DT07-02061,Branche,hameau,commune de Pranles,07184,communes_fuzzy,,,,,
PO7-02724,Pranles,none,07184,P80809292,DT07-10689,Paradis,mas,commune de Pranles,07184,communes_fuzzy,,,,,
PO7-02724,Pranles,none,07184,P38151432,DT07-12574,Riailles,ravin,commune de Pranles,07184,communes_fuzzy,,,,,
PO7-02724,Pranles,none,07184,P34260518,DT07-12092,Prevencheres,bois,commune de Pranles,07184,communes_fuzzy,,,,,
PO7-02724,Pranles,none,07184,P97642709,DT07-11084,Peyraillas,quartier,commune de Pranles,07184,communes_fuzzy,,,,,
PO7-02724,Pranles,none,07184,P51516777,DT07-12029,Pre,hameau,commune de Pranles,07184,communes_fuzzy,,,,,
PO7-02724,Pranles,none,07184,P18055615,DT07-11455,Plaine Selve,hameau,commune de Pranles,07184,communes_fuzzy,,,,,
PO7-02724,Pranles,none,07184,P76157709,DT07-14056,Sautelles,hameau,commune de Pranles,07184,communes_fuzzy,,,,,
PO7-02724,Pranles,none,07184,P39087539,DT07-11971,Pranlette,hameau,commune de Pranles,07184,communes_fuzzy,,,,,
PO7-02726,Preaux,none,07185,P11111827,DT07-15212,Treuil,hameau,commune de Préaux,07185,communes_fuzzy,,,,,
PO7-02727,Prebois,none,38321,,,,,,,nulle,Isère,38,Mens,dpt_exact,     Prébois     Isère     con de Mens       Pratum Buxi  capellanus  421 f  427 a    
PO7-02729,Prelanfrey,Gua,38187,,,,,,,nulle,Isère,38,Vif,dpt_exact,     Prélanfrey     Isère     con de Vif     cne du Gua       Pratum Lanffredi  Lanfredi  capellanus  389 h  eccl   374 e  379 a    
PO7-02730,Premeyzel,none,01310,,,,,,,nulle,Ain,01,Belley,dpt_exact,     Prémeyzel     Ain     con de Belley       Preymesel  Beata Maria  237 d      Primaisel  capellanus  231 a    
PO7-02731,Premillieu,none,01311,,,,,,,nulle,Ain,01,Hauteville,dpt_exact,     Prémillieu     Ain     con d Hauteville       Pramillieu  capellanus  233 e      Primiliacum  Sancta Magdalena  238 a    
PO7-02732,Premol,Moras,26213,P71130340,DT26-10551,Priest,ruines,commune de Moras,26213,localisationco_fuzzy,,,,,
PO7-02733,Premol,Vaulnaveys,38529,,,,,,,nulle,Isère,38,Vizille,dpt_fuzzy,     Prémol     Isère     con de Vizille     cne de Vaulnaveys       Pratum Molle  domus  398 f  prior  391 a    
PO7-02734,Pres,none,26255,,,,,,,nulle,Drôme,26,Luc-en-Diois,dpt_exact,     Prés  les      Drôme     con de Luc en Diois       Prata  capellanus  418 e  430 h    
PO7-02736,Pres Goncelin,Touvet,38511,,,,,,,nulle,Isère,38,Touvet,dpt_exact,     Prés Goncelin  les      localité disparue      Isère     con du Touvet     cne du Touvet       Pratum Concelini  leprosaria  390 e    
PO7-02737,Presilly,none,74216,,,,,,,nulle,Haute-Savoie,74,Saint-Julien-en-Genevois,dpt_exact,     Présilly     Haute Savoie     con de Saint Julien en Genevois     Prisillie  capellanus  316 d      Prisillier  capellanus  327 g  cura  356 f    
PO7-02739,Presle,none,70197,,,,,,,nulle,Haute-Saône,70,Montbozon,dpt_fuzzy,     Presle     Haute Saône     con de Montbozon       Praales  p   28 d      Prelles  prior  54 f      Presles  prior  89 a    
PO7-02740,Presle,none,73207,,,,,,,nulle,Savoie,73,la Rochette,dpt_exact,     Presle     Savoie     con de la Rochette       Praelle  capellanus  463 a      Pratelle  curatus  468 a    
PO7-02741,Presles,none,38322,,,,,,,nulle,Isère,38,Pont-en-Royans,dpt_exact,     Presles     Isère     con de Pont en Royans       Praelle  capellanus  390 b  eccl   375 f    
PO7-02742,Pressins,none,38323,,,,,,,nulle,Isère,38,Pont-de-Beauvoisin,dpt_exact,     Pressins     Isère     con du Pont de Beauvoisin       Pressin  Sanctus Eusebius  240 d      Preysinum  capellanus  234 i    
PO7-02744,Prevessin,none,01313,P93859004,DT01-08502,Prieure,,commune de Prévessin,01313,communes_fuzzy,,,,,
PO7-02746,Prieure,Recoubeau,26262,P68135088,DT26-09110,Prieure,ferme,commune de Recoubeau,26262,localisationco_exact,,,,,
PO7-02747,Prieure,Aurel,26019,P96801839,DT26-09090,Prieure,ferme,commune d’Aurel,26019,localisationco_exact,,,,,
PO7-02749,Prieure Notre Dame,Beaurières,26040,P90076209,DT26-09117,Prieure Notre Dame,ruines,commune de Beaurières,26040,localisationco_exact,,,,,
PO7-02751,Primarette,none,38324,,,,,,,nulle,Isère,38,Beaurepaire,dpt_exact,     Primarette     Isère     con de Beaurepaire       Prima Layta  capellanus  286 d    
PO7-02752,Pringy,none,74217,,,,,,,nulle,Haute-Savoie,74,Annecy,dpt_exact,     Pringy     Haute Savoie     con d Annecy       Pringie  capellanus  312 g  324 b      Pringier  cura  364 c      Pringium  curatus  342 d    
PO7-02753,Privas,none,07186,P40679221,DT07-11970,Pranles,commune,canton de Privas,07186,communes_fuzzy,,,,,
PO7-02753,Privas,none,07186,P15717563,DT07-13779,Priest,commune,canton de Privas,07186,communes_fuzzy,,,,,
PO7-02753,Privas,none,07186,P10900591,DT07-14844,Ternis,hameau,commune de Privas,07186,communes_fuzzy,,,,,
PO7-02753,Privas,none,07186,P16148064,DT07-15759,Veyras,commune,canton de Privas,07186,communes_fuzzy,,,,,
PO7-02753,Privas,none,07186,P99635677,DT07-10781,Paste,mas et ruisseau,commune de Privas,07186,communes_fuzzy,,,,,
PO7-02756,Provenchere,none,25471,,,,,,,nulle,Doubs,25,Maîche,dpt_exact,     Provenchère     Doubs     con de Maîche       Provenchieres  capellanus  58 g  eccl   92 c    
PO7-02757,Provenchere,none,70426,,,,,,,nulle,Haute-Saône,70,Port-sur-Saône,dpt_exact,     Provenchère     Haute Saône     con de Port sur Saône       Provenchieres  capellanus  55 d  eccl   33 h  90 c    
PO7-02758,Proveysieux,none,38325,,,,,,,nulle,Isère,38,Grenoble,dpt_exact,     Proveysieux     Isère     con de Grenoble       Provaiseu  eccl   369 b      Provaysief  capellanus  383 e      Proveysiacum  capellanus  397 b    
PO7-02759,Provin,Annecy-le-Vieux,74011,,,,,,,nulle,Haute-Savoie,74,Annecy,dpt_exact,     Provin     Haute Savoie     con d Annecy     cne d Annecy le Vieux       Provinchia  capellanus  314 b  personatus  314 b    
PO7-02760,Prunet,none,07187,P64852008,DT07-12137,Pueyt,ruisseau,commune de Prunet,07187,communes_fuzzy,,,,,
PO7-02760,Prunet,none,07187,P63162218,DT07-11890,Pradavant,mas,commune de Prunet,07187,communes_fuzzy,,,,,
PO7-02761,Publier,none,74218,,,,,,,nulle,Haute-Savoie,74,Évian-les-Bains,dpt_exact,     Publier     Haute Savoie     con d Évian les Bains       Publie  capellanus  310 c  curatus  340 a      Publier  capellanus  331 e    
PO7-02762,Pugey,none,25473,,,,,,,nulle,Doubs,25,Boussières,dpt_exact,     Pugey     Doubs     con de Boussières       Pugey  capellanus  40 d  eccl   30 b  69 b    
PO7-02763,Pugieu,none,01316,,,,,,,nulle,Ain,01,Virieu-le-Grand,dpt_exact,     Pugieu     Ain     con de Virieu le Grand       Pugieu  Beata Maria  237 f  capellanus  231 c    
PO7-02764,Puisgros,none,73210,,,,,,,nulle,Savoie,73,Chambéry,dpt_fuzzy,     Puisgros     Savoie     con de Chambéry       Sanctus Petrus  capellanus  383 a      Sanctus Stephanus  capellanus  395 i  eccl   371 e      Sanctus Stephanus de Arvisio  eccl   377 a    
PO7-02766,Pulversheim,none,68258,P69001852,DT68-04859,Melckerei,ferme,commune de Pulversheim,68258,communes_fuzzy,,,,,
PO7-02767,Pupillin,none,39446,,,,,,,nulle,Jura,39,Arbois,dpt_exact,     Pupillin     Jura     con d Arbois       Pepillin  capellanus  42 b      Pepillins  eccl   15 c      Pupelin  eccl   72 d    
PO7-02768,Purgerot,none,70427,,,,,,,nulle,Haute-Saône,70,Combeaufontaine,dpt_exact,     Purgerot     Haute Saône     con de Combeaufontaine       Progerat  eccl   21 a      Prugeretum  capellanus  53 a      Purgerot  eccl   88 c    
PO7-02769,Pusey,none,70428,,,,,,,nulle,Haute-Saône,70,Vesoul,dpt_exact,     Pusey     Haute Saône     con de Vesoul       Pusel  capellanus  55 e  eccl   21 h      Pusel  91 a    
PO7-02770,Pussy,none,73187,,,,,,,nulle,Savoie,73,Moûtiers,nulle,     Pussy     Savoie     con de Moûtiers       Pussiacum  eccl   248 f    
PO7-02771,Pusy et Epenoux,none,70429,,,,,,,nulle,Haute-Saône,70,Vesoul,dpt_exact,     Pusy et Épenoux     Haute Saône     con de Vesoul       Pusi  eccl   33 e      Pusil  capellanus  55 e      Pusy  eccl   91 b    
PO7-02772,Puy,none,43157,P16777723,DT43-01725,Chalm Puy,terroir,commune du Puy,43157,communes_fuzzy,,,,,
PO7-02772,Puy,none,43157,P30314342,DT43-07197,Puy Creux,vallée,ville du Puy,43157,communes_fuzzy,,,,,
PO7-02773,Puy Martin,none,26258,P72754348,DT26-06683,Marais,quartier,commune du Puy-Saint-Martin,26258,communes_fuzzy,,,,,
PO7-02774,Quaix,none,38328,,,,,,,nulle,Isère,38,Grenoble,dpt_fuzzy,     Quaix     Isère     con de Grenoble       Kez  Sanctus Martinus  eccl   369 b      Quetz  capellanus  397 b      Quez  capellanus  383 e    
PO7-02776,Queige,none,73211,,,,,,,nulle,Savoie,73,Beaufort,dpt_exact,     Queige     Savoie     con de Beaufort       Queium  eccl   249 a    
PO7-02777,Quenoche,none,70431,,,,,,,nulle,Haute-Saône,70,Rioz,dpt_exact,     Quenoche     Haute Saône     con de Rioz       Quenoche  eccl   21 f  prebenda  4 e  66 b  73 b      Quenoches  eccl   89 e      Quenoiche  capellanus  56 b  prebenda  37 c    
PO7-02778,Quers,none,70432,,,,,,,nulle,Haute-Saône,70,Lure,dpt_exact,     Quers     Haute Saône     con de Lure       Quers  capellanus  56 e  eccl   65 b  89 c    
PO7-02779,Quincey,none,70433,,,,,,,nulle,Haute-Saône,70,Vesoul,dpt_exact,     Quincey     Haute Saône     con de Vesoul       Quincerz  33 var  c      Quincey  capellanus  55 f  eccl   33 f  89 d    
PO7-02780,Quincieux,none,38330,,,,,,,nulle,Isère,38,Tullins,dpt_fuzzy,     Quincieux     Isère     con de Tullins       Quincer  eccl   368 a      Quincief  capellanus  383 c      Quintef  capellanus  396 g    
PO7-02781,Quingey,none,25475,,,,,,,nulle,Doubs,25,none,dpt_exact,     Quingey     Doubs     arr  de Besançon       Quingey  capellanus  40 d  eccl   14 c  71 b      Quingeyum  castrum  69 a    
PO7-02782,Quintal,none,74219,,,,,,,nulle,Haute-Savoie,74,Annecy,dpt_exact,     Quintal     Haute Savoie     con d Annecy       Quinta  cura  364 b      Quintauz  capellanus  313 f      Quintaz  capellanus  324 c  curatus  342 e    
PO7-02783,Quintenas,none,07188,P87540154,DT07-07418,Guillottes,mas,commune de Quintenas,07188,communes_fuzzy,,,,,
PO7-02783,Quintenas,none,07188,P43846524,DT07-14451,Setenas,hameau,commune de Quintenas,07188,communes_fuzzy,,,,,
PO7-02783,Quintenas,none,07188,P09780663,DT07-08509,Luvigne,mas,commune de Quintenas,07188,communes_fuzzy,,,,,
PO7-02784,Raedersdorf,none,68259,,,,,,,nulle,Haut-Rhin,68,Ferrette,dpt_exact,     Raedersdorf     Haut Rhin     con de Ferrette       Raterstorf  capellanus  186 b  rector  186 b  vicarius  186 b      Rederstorff  221 f      Redestorf  eccl   150 f  incuratus  150 f      Retersdorff  210 e    
PO7-02785,Raedersheim,none,68260,P20475254,DT68-06715,Rumestein Zum,,commune de Rädersheim,68260,communes_fuzzy,,,,,
PO7-02786,Rahon,none,39448,,,,,,,nulle,Jura,39,Chaussin,dpt_exact,     Rahon     Jura     con de Chaussin       Rahon  capellanus  47 e  eccl   78 f      Raons  eccl   17 g    
PO7-02787,Raincourt,none,70436,,,,,,,nulle,Haute-Saône,70,Jussey,dpt_exact,     Raincourt     Haute Saône     con de Jussey       Raincour  capellanus  54 c      Raincourt  eccl   87 c      Reincort  eccl   20 g    
PO7-02788,Rammersmatt,none,68261,,,,,,,nulle,Haut-Rhin,68,Thann,dpt_exact,     Rammersmatt     Haut Rhin     con de Thann       Fannbrettmatten  eccl   150 b      Ramersmat  208 f  220 c  vicarius  178 b    
PO7-02790,Randens,none,73212,,,,,,,nulle,Savoie,73,Aiguebelle,dpt_exact,     Randens     Savoie     con d Aiguebelle       Randens  curatus  467 h      Randesium  capellanus  461 b    
PO7-02791,Rang,none,25479,,,,,,,nulle,Doubs,25,l’Isle-sur-le-Doubs,dpt_exact,     Rang     Doubs     con de l Isle sur le Doubs       Rans  capellanus  61 a  eccl   96 f      Riens  eccl   29 j    
PO7-02792,Rans,none,39452,,,,,,,nulle,Jura,39,Dampierre,dpt_exact,     Rans     Jura     con de Dampierre       Rans  capellanus  48 c  eccl   3 b  65 a  80 f      Rens  eccl   18 c    
PO7-02793,Ranspach,none,68263,,,,,,,nulle,Haut-Rhin,68,Huningue,dpt_exact,     Ranspach le Bas     Haut Rhin     con d Huningue       Ramsbach  eccl   156 h      Ranspach  210 d  221 b  cappella  184 b  rector  184 b  vicarius  184 b    
PO7-02794,Rantzwiller,none,68265,P11313594,DT68-07042,Schantzle,enceinte,entre Rantzwiller et Steinbrunn-le-Bas,68265,communes_fuzzy,,,,,
PO7-02796,Ratieres,none,26259,P80590643,DT26-12170,Verrieres,hameau,commune de Ratières,26259,communes_fuzzy,,,,,
PO7-02796,Ratieres,none,26259,P47929293,DT26-11892,Tuiliere,ferme,commune de Ratières,26259,communes_fuzzy,,,,,
PO7-02797,Ravel,Ravel-et-Ferriers,26055,P18779861,DT26-04319,Favier,quartier,commune de Ravel,26055,localisationco_fuzzy,,,,,
PO7-02797,Ravel,Ravel-et-Ferriers,26055,P83974345,DT26-02369,Chauvet,montagne,communes de Bonneval et du Pilhon,26055,localisationco_fuzzy,,,,,
PO7-02798,Ravoire,none,73213,,,,,,,nulle,Savoie,73,Chambéry,dpt_exact,     Ravoire  la      Savoie     con de Chambéry       Vilar Bulmar  capellanus  382 i      Vilar Valmaris  capellanus  395 h      Vilar Walmarum  eccl   371 c      Villa Valmar  eccl   376 d      Villar Valmarum  Sanctus Stephanus  eccl   400 c    
PO7-02799,Ray,none,70438,,,,,,,nulle,Haute-Saône,70,Dampierre-sur-Salon,dpt_fuzzy,     Ray     Haute Saône     con de Dampierre sur Salon       Ray  capella  20 d  dominus  84 f  85 f et var  c  eccl   20 c      Rayacum  capellanus  52 b  capitulum  51 b  84 c  eccl   84 f    
PO7-02800,Raze,none,70439,,,,,,,nulle,Haute-Saône,70,Scey-sur-Saône,dpt_exact,     Raze     Haute Saône     con de Scey sur Saône       Sanctus Christoforus  capellanus  51 d  eccl   19 h      Sanctus Christophorus de Roseyo  eccl   85 f    
PO7-02801,Reaumont,none,38331,,,,,,,nulle,Isère,38,Rives,dpt_exact,     Réaumont     Isère     con de Rives       Planeys  capellanus  288 f      Reomyn  capellanus  294 a    
PO7-02803,Rechesy,none,90081,P75423386,DT68-04879,Merchieres Es,,commune de Réchésy,90081,communes_fuzzy,,,,,
PO7-02803,Rechesy,none,90081,P98322691,DT68-00808,Brechatte,canton,territoire de Réchésy,90081,communes_fuzzy,,,,,
PO7-02804,Recoin,la Bâtie-Divisin,38028,,,,,,,nulle,Isère,38,Saint-Geoire,dpt_fuzzy,     Recoin     Isère     con de Saint Geoire     cne de la Bâtie Divisin       Recuin  capellanus  276 b    
PO7-02805,Recologne,none,25482,,,,,,,nulle,Doubs,25,Audeux,dpt_exact,     Recologne     Doubs     con d Audeux       Recoloigne  eccl   30 c      Recoloignes  capellanus  39 b      Recolongnes  eccl   69 c    
PO7-02807,Recoubeau,none,26262,,,,,,,nulle,Drôme,26,Luc-en-Diois,dpt_fuzzy,     Recoubeau     Drôme     con de Luc en Diois       Ricobellum  420 f  432 c  capellanus  422 f      Ricuin Bellum  426 b  capellanus  430 b    
PO7-02808,Reguisheim,none,68266,P41472575,DT68-06290,Rexermuhle,moulin,commune de Reguisheim,68266,communes_fuzzy,,,,,
PO7-02808,Reguisheim,none,68266,P97447140,DT68-07554,Sermersheim,village détruit,près de Reguisheim,68266,communes_fuzzy,,,,,
PO7-02809,Reignier,none,74220,,,,,,,nulle,Haute-Savoie,74,none,dpt_fuzzy,     Reignier     Haute Savoie     arr  de Saint Julien en Genevois       Rignie  capellanus  312 f  curatus  344 c      Rignier  capellanus  330 a      Rigniiez  cura  357 b    
PO7-02812,Reiningue,none,68267,,,,,,,nulle,Haut-Rhin,68,Mulhouse,dpt_exact,     Reiningue  en all  Reiningen     Haut Rhin     con de Mulhouse       Reiningen  eccl   150 b    
PO7-02813,Relanges,none,88381,,,,,,,nulle,Vosges,88,Darney,dpt_exact,     Relanges     Vosges     con de Darney       Relanges  prior  87 a    
PO7-02814,Remiremont,none,88383,P62245576,DT88-04879,Parmont,écart,commune de Remiremont,88383,communes_fuzzy,,,,,
PO7-02814,Remiremont,none,88383,P87374554,DT88-04728,Derriere Parmont,hameau,commune de Remiremont,88383,communes_fuzzy,,,,,
PO7-02814,Remiremont,none,88383,P55687202,DT88-04945,Dommartin Remiremont,,canton de Remiremont,88383,communes_fuzzy,,,,,
PO7-02814,Remiremont,none,88383,P09969512,DT88-14829,Rumont,cense,commune de Remiremont,88383,communes_fuzzy,,,,,
PO7-02814,Remiremont,none,88383,P80521431,DT88-11950,Parmont,ferme,commune de Remiremont,88383,communes_fuzzy,,,,,
PO7-02814,Remiremont,none,88383,P86372881,DT88-07949,Grange Belmont,lieu dit,commune de Remiremont,88383,communes_fuzzy,,,,,
PO7-02814,Remiremont,none,88383,P77700273,DT88-14349,Revers Parmont,lieu dit,commune de Remiremont,88383,communes_fuzzy,,,,,
PO7-02815,Remuzat,none,26264,,,,,,,nulle,Drôme,26,none,dpt_exact,     Rémuzat     Drôme     arr  de Nyon       Remisacum  capellanus  427 g      Remusatum  capellanus  416 e  castrum  416 e    
PO7-02816,Renage,none,38332,,,,,,,nulle,Isère,38,Rives,dpt_exact,     Renage     Isère     con de Rives       Renaticum  capellanus  383 d  eccl   368 b  Sanctus Johannes  eccl   378 b    
PO7-02817,Rencurel,none,38333,,,,,,,nulle,Isère,38,Pont-en-Royans,dpt_exact,     Rencurel     Isère     con de Pont en Royans       Rancurellum  capellanus  384 d  398 d  eccl   375 g    
PO7-02818,Renedale,none,25487,,,,,,,nulle,Doubs,25,Montbenoît,dpt_exact,     Renédale     Doubs     con de Montbenoît       Rengnenale  eccl   35 b    
PO7-02820,Repara,none,26020,,,,,,,nulle,Drôme,26,Crest,nulle,     Répara  la      Drôme     con de Crest       Reparata  prior  403 a  412 f    
PO7-02821,Reposoir,none,74221,,,,,,,nulle,Haute-Savoie,74,Cluses,dpt_exact,     Reposoir  le      Haute Savoie     con de Cluses       Repositorium  prior  346 f      Repositorum  domus  398 f    
PO7-02822,Resie Martin,none,70444,,,,,,,nulle,Haute-Saône,70,Pesmes,dpt_exact,     Résie Saint Martin  la      Haute Saône     con de Pesmes       Resies  capellanus  49 g      Resyrs  eccl   6 b      La Risie Sainct Martin  eccl   84 b      Risiers  eccl   19 b    
PO7-02824,Reugney,none,25489,,,,,,,nulle,Doubs,25,Amancey,dpt_exact,     Reugney     Doubs     con d Amancey       Ruygney  eccl   4 b    
PO7-02825,Revel,Revel-Tourdan,38335,,,,,,,nulle,Isère,38,Beaurepaire,dpt_exact,     Revel     Isère     con de Beaurepaire     cne de Revel Tourdan       Revellum  capellanus  295 g    
PO7-02826,Revel,none,38334,,,,,,,nulle,Isère,38,Domène,dpt_exact,     Revel     Isère     con de Domène       Revellum  capellanus  382 a  394 d      Sancta Maria super Domena  eccl   373 e    
PO7-02827,Reventin,Reventin-Vaugris,38336,,,,,,,nulle,Isère,38,Vienne,dpt_exact,     Reventin     Isère     con de Vienne     cne de Reventin Vaugris       Reventins  capellanus  279 e      Reventinum  capellanus  295 e    
PO7-02831,Rhin,none,NO,,,,,,,nulle,none,none,none,nodpt_fuzzy,     Rhin  le      fleuve        Renum  147  154  172  207  218    
PO7-02832,Rhone,none,NO,,,,,,,nulle,none,none,none,nodpt_fuzzy,     Rhône  le      fleuve        Rodanus  295 f  356 e  401  403  407      Rodonum  444 b    
PO7-02833,Ribeaupierre,Ribeauvillé,68269,P69469372,DT68-06306,Ribeaupierre,ancien château,au-dessus de Ribeauvillé,68269,localisationco_exact,,,,,
PO7-02834,Ribeauville,none,68269,P69469372,DT68-06306,Ribeaupierre,ancien château,au-dessus de Ribeauvillé,68269,communes_fuzzy,,,,,
PO7-02834,Ribeauville,none,68269,P18335685,DT68-05621,Obermuhle,moulin,commune de Ribeauvillé,68269,communes_fuzzy,,,,,
PO7-02835,Ribes,none,07189,P16729223,DT07-12604,Ribette,hameau et croix,commune de Ribes,07189,communes_fuzzy,,,,,
PO7-02835,Ribes,none,07189,P88367691,DT07-15908,Vignes,ruisseau,commune de Ribes,07189,communes_fuzzy,,,,,
PO7-02835,Ribes,none,07189,P41112363,DT07-06767,Gineste,mas,commune de Ribes,07189,communes_fuzzy,,,,,
PO7-02835,Ribes,none,07189,P64301180,DT07-08648,Malaribes,hameau,commune de Ribes,07189,communes_fuzzy,,,,,
PO7-02837,Riedisheim,none,68271,P01268538,DT68-04386,Leibersheim,village détruit,près de Riedisheim,68271,communes_fuzzy,,,,,
PO7-02838,Riespach,none,68273,,,,,,,nulle,Haut-Rhin,68,Hirsingue,dpt_exact,     Riespach     Haut Rhin     con d Hirsingue       Runspach  209 e  219 e  vicarius  175 b      Rusbach  eccl   156 l    
PO7-02839,Rieulx,Bourget,73051,,,,,,,nulle,Savoie,73,la Motte-Servolex,dpt_fuzzy,     Rieulx  les      Savoie     con de la Motte Servolex     cne du Bourget       Riols  eccl   370 c    
PO7-02840,Rigney,none,25490,,,,,,,nulle,Doubs,25,Marchaux,dpt_exact,     Rigney     Doubs     con de Marchaux       Regney  eccl   23 a      Rigney  capellanus  61 f  eccl   97 d    
PO7-02841,Rimbachzell,none,68276,,,,,,,nulle,Haut-Rhin,68,Guebwiller,dpt_exact,     Rimbachzell     Haut Rhin     con de Guebwiller       Cella Sancti Petri  eccl   155 k    
PO7-02842,Rimon,Rimon-et-Savel,26266,P52782735,DT26-09557,Rimon,"village, chef-lieu",commune de Rimon-et-Savel,26266,localisationco_exact,,,,,
PO7-02843,Riortier,Fontcouverte,73116,,,,,,,nulle,Savoie,73,Saint-Jean-de-Maurienne,dpt_fuzzy,     Riortier     Savoie     con de Saint Jean de Maurienne     cne de Fontcouverte       Rioterium  prebenda  464 c    
PO7-02844,Rioz,none,70447,,,,,,,nulle,Haute-Saône,70,none,dpt_exact,     Rioz     Haute Saône     arr  de Vesoul       Rao  eccl   14 d      Reol  capellanus  39 f      Ryol  eccl   69 c    
