article_id,vedette,localisationco,insee_code,id,old-id,label,definition_typologie,definition_localisation,insee,method_dicotopo,localisationde,dpt_code,canton_code,method,reference
PO7-00067,Allier,Bourg-Argental,42023,P47622617,DT42-07641,Moliere,écart,commune de Bourg-Argental,42023,localisationco_fuzzy,,,,,
PO7-00067,Allier,Bourg-Argental,42023,P40326830,DT42-00244,Augeliere,hameau,commune de Bourg-Argental,42023,localisationco_fuzzy,,,,,
PO7-00067,Allier,Bourg-Argental,42023,P97324877,DT42-00113,Andonniere,hameau,commune de Bourg-Argental,42023,localisationco_fuzzy,,,,,
PO7-00068,Allinges,none,74005,,,,,,,nulle,Haute-Savoie,74,Thonon-les-Bains,dpt_exact,     Allinges     Haute Savoie     con de Thonon les Bains       Alingium  capellanus  309 g  330 g  cura  352 h  curatus  339 f  decanatus  309 310  316 318  319  330 331  338 340  349 350  351 352  decanus  305 a  334 a  363 b    
PO7-00069,Allondaz,none,73014,,,,,,,nulle,Savoie,73,Albertville,dpt_exact,     Allondaz     Savoie     con d Albertville       Alumpda  eccl   249 b    
PO7-00070,Allonzier,none,74006,,,,,,,nulle,Haute-Savoie,74,Cruseilles,dpt_fuzzy,     Allonzier     Haute Savoie     con de Cruseilles       Alonczier  cura  352 e  354 f      Alongie  capellanus  313 d      Alonzie  capellanus  322 d  curatus  341 c  348 a    
PO7-00072,Allues,none,73015,,,,,,,nulle,Savoie,73,Bozel,dpt_exact,     Allues  les      Savoie     con de Bozel       Allodii  eccl   248 d    
PO7-00073,Alschwiller,Soultz-Haut-Rhin,68315,P19093562,DT68-00052,Alschwiller,village détruit,près de Soultz,68315,localisationco_exact,,,,,
PO7-00074,Alspach,Kaysersberg,68162,P95371710,DT68-00053,Alspach,hameau,Kaysersberg,68162,localisationco_exact,,,,,
PO7-00075,Altenach,none,68002,,,,,,,nulle,Haut-Rhin,68,Dannemarie,dpt_exact,     Altenach  autrefois Attegney     Haut Rhin     con de Dannemarie       Altenach  eccl   150 a  rector  150 a      Altnach  209 c  219 h  capellanus  176 b  rector  176 b  vicarius  176 b    
