article,output6.xml,DT07.xml
DT07-00376,commune de Bourg-Saint-Andéol.,commune de Bourg St Andéol.
DT07-00380,commune de Saint-Christol,commune de St Christol
DT07-00381,commune de Saint-Julien-Vocance,commune de St Julien Vocance
DT07-00384,commune de Désaignes.,commune de Desaignes.
DT07-00390,commune de Saint-Étienne-de-Serre.,commune de St Étienne de Serre.
DT07-00391,commune de Saint-Julien-Labrousse.,commune de St Julien Labrousse.
DT07-00392,commune de Saint-Laurent-sous-Coiron.,commune de St Laurent sous Coiron.
DT07-00399,commune de Saint-Symphorien-sous-Chomérac.,commune de St Symphorien sous Chomérac.
DT07-00405,commune de Saint-Martin-sur-Lavezon,commune de St Martin sur Lavezon
DT07-00419,commune de Saint-Agrève,commune de St Agrève
DT07-00420,commune de Saint-André-Lachamp,commune de St André Lachamp
DT07-00421,commune de Saint-Jean-Chambre,commune de St Jean Chambre
DT07-00422,commune de Saint-Prix.,commune de St Prix.
DT07-00423,commune de Saint-Martin-d’Ardèche.,commune de St Martin d'Ardèche.
DT07-00425,commune de Saint-Martin-de-Valamas.,commune de St Martin de Valamas.
DT07-00430,commune de Saint-Pierre-de-Colombier,commune de St Pierre de Colombier
DT07-00435,commune de Saint-Barthélemy-le-Pin,commune de St Barthélémy le Pin
DT07-00441,commune de Saint-Romain-de-Lerps,commune de St Romain de Lerps
DT07-00443,commune de Saint-Michel-d’Aurance,commune de St Michel d'Aurance
DT07-00444,commune de Saint-Jean-Chambre,commune de St Jean Chambre
DT07-00445,commune de Saint-Jean-Chambre,commune de St Jean Chambre
DT07-00448,commune de Saint-Genest-Lachamp,commune de St Genest Lachamp
DT07-00449,commune de Saint-Remèze.,commune de St Remèze.
DT07-00452,commune de Bourg-Saint-Andéol.,commune de Bourg St Andéol.
DT07-00453,commune de Saint-Martin-de-Valamas.,commune de St Martin de Valamas.
DT07-00455,commune de Saint-André-de-Cruzières,commune de St André de Cruzières
DT07-00456,commune de Saint-Étienne-de-Boulogne,commune de St Étienne de Boulogne
DT07-00458,commune de Saint-Étienne-de-Serre.,commune de St Étienne de Serre.
DT07-00462,commune de Saint-Basile,commune de St Basile
DT07-00465,commune de Saint-Andéol-de-Berg.,commune de St Andéol de Berg.
DT07-00468,commune de Vals-les-Bains.,commune de Vals.
DT07-00470,commune de Saint-Laurent-du-Pape,commune de St Laurent du Pape
DT07-00477,commune de Saint-Sauveur-de-Montagut,commune de St Sauveur de Montagut
DT07-00482,commune de Bourg-Saint-Andéol dit ruisseau de Rimouren.,commune de Bourg St Andéol dit ruisseau de Rimouren.
DT07-00483,commune de Colombier-le-Vieux.,commune de Colombier le Vieux.
DT07-00485,commune de Saint-Étienne-de-Boulogne,commune de St Étienne de Boulogne
DT07-00486,commune de Saint-Étienne-de-Boulogne,commune de St Étienne de Boulogne
DT07-00487,commune de Saint-Sernin.,commune de St Sernin.
DT07-00488,commune de Saint-Symphorien-sous-Chomérac,commune de St Symphorien sous Chomérac
DT07-00490,commune de Villeneuve-de-Berg,commune de Villeneuve de Berg
DT07-00491,commune de Saint-Julien-Vocance.,commune de St Julien Vocance.
DT07-00500,commune de Saint-Jean-Roure.,commune de St Jean Roure.
DT07-00507,commune de Saint-Laurent-les-Bains.,commune de St Laurent les Bains.
DT07-00510,commune de Saint-Fortunat,commune de St Fortunat
DT07-00511,commune de Saint-Pierreville.,commune de St Pierreville.
DT07-00517,commune de Saint-Barthélemy-le-Meil.,commune de St Barthélémy le Meil.
DT07-00519,commune de Saint-Vincent-de-Barrès.,commune de St Vincent de Barrès.
DT07-00520,commune d’Usclades-et-Rieutord.,commune d'Usclades.
DT07-00525,commune de Saint-Laurent-les-Bains.,commune de St Laurent les Bains.
DT07-00529,commune de Saint-Cierge-la-Serre,commune de St Cierge la Serre
DT07-00534,commune de Saint-Jean-Roure,commune de St Jean Roure
DT07-00536,commune de Saint-Julien-du-Gua.,commune de St Julien du Gua.
DT07-00537,commune de La Chapelle-Graillouse,commune de la Chapelle Graillouse
DT07-00538,commune de Sagnes-et-Goudoulet,commune de Sagnes et Goudoulet
DT07-00545,commune de Saint-Cirgues-en-Montagne.,commune de St Cirgues en Montagne.
DT07-00546,commune de Saint-Paul-le-Jeune.,commune de St Paul le Jeune.
DT07-00547,commune de Saint-André-de-Cruzières.,commune de St André de Cruzières.
DT07-00551,commune de La Rochette.,commune de la Rochette.
DT07-00552,commune de Saint-Martin-de-Valamas,commune de St Martin de Valamas
DT07-00553,commune de Saint-Vincent-de-Barrès,commune de St Vincent de Barrès
DT07-00555,commune de Saint-Jean-Chambre,commune de St Jean Chambre
DT07-00559,commune de Saint-Romain-de-Lerps,commune de St Romain de Lerps
DT07-00561,commune de Lachamp-Raphaël,commune de Lachamp Raphael
DT07-00562,commune de Saint-Pierreville.,commune de St Pierreville.
DT07-00566,commune de Lafigère.,commune de la Figère.
DT07-00568,commune de Lachamp-Raphaël.,commune de Lachamp Raphael.
DT07-00570,commune de Saint-Andéol-de-Vals,commune de St Andéol de Vals
DT07-00574,commune de Saint-Basile,commune de St Basile
DT07-00577,commune de Saint-Montan.,commune de St Montan.
DT07-00578,commune de Saint-Martin-sur-Lavezon.,commune de St Martin sur Lavezon.
DT07-00581,commune de Saint-Cierge-sous-le-Cheylard,commune de St Cierge sous le Cheylard
DT07-00589,commune de Saint-Just.,commune de St Just.
DT07-00591,commune de Saint-Jean-Roure,commune de St Jean Roure
DT07-00595,commune de Colombier-le-Vieux.,commune de Colombier le Vieux.
DT07-00599,commune de Saint-Pierre-sur-Doux.,commune de St Pierre sur Doux.
DT07-00600,commune de Saint-Marcel-d’Ardèche.,commune de St Marcel d'Ardèche.
DT07-00601,commune de Désaignes.,commune de Desaignes.
DT07-00605,commune de Gilhac-et-Bruzac,commune de Gilhac et Bruzac
DT07-00606,commune de Saint-Félicien au lieu de ,commune de St Félicien au lieu de 
DT07-00607,commune de Saint-André-Lachamp.,commune de St André Lachamp.
DT07-00608,canton de Vallon-Pont-d’Arc,canton de Vallon Pont d'Arc
DT07-00609,commune de Saint-Mélany.,commune de St Mélany.
DT07-00612,commune de Saint-Victor.,commune de St Victor.
DT07-00616,commune de Saint-Jean-le-Centenier.,commune de St Jean le Centenier.
DT07-00617,commune de Saint-Prix,commune de St Prix
DT07-00618,commune de Lafigère.,commune de la Figère.
DT07-00620,commune de Saint-Georges-les-Bains.,commune de St Georges les Bains.
DT07-00621,commune de Saint-Priest,commune de St Priest
DT07-00626,commune de Bourg-Saint-Andéol.,commune de Bourg St Andéol.
DT07-00630,commune de Saint-Julien-le-Roux,commune de St Julien le Roux
DT07-00632,commune de Saint-Marcel-d’Ardèche.,commune de St Marcel d'Ardèche.
DT07-00634,commune de Colombier-le-Jeune.,commune de Colombier le Jeune.
DT07-00636,commune de Saint-André-Lachamp.,commune de St André Lachamp.
DT07-00637,commune de Saint-Étienne-de-Fontbellon.,commune de St Étienne de Fontbellon.
DT07-00638,commune de Saint-Sylvestre,commune de St Sylvestre
DT07-00639,commune de Saint-Laurent-du-Pape.,commune de St Laurent du Pape.
DT07-00641,commune de Colombier-le-Jeune,commune de Colombier le Jeune
DT07-00644,commune de Vogüé,commune de Vogue
DT07-00645,commune de La Voulte,commune de la Voulte
DT07-00646,commune de Saint-Prix,commune de St Prix
DT07-00650,commune de Saint-Jean-de-Pourcharesse.,commune de St Jean de Pourcharesse.
DT07-00663,commune de Usclades-et-Rieutord,commune de Usclades et Rieutord
DT07-00664,commune de Saint-Montan. Ruiné.,commune de St Montan. Ruiné.
DT07-00668,commune de Saint-Montan.,commune de St Montan.
DT07-00669,commune de Saint-Sylvestre.,commune de St Sylvestre.
DT07-00673,commune de Désaignes.,commune de Desaignes.
DT07-00675,commune de Saint-Joseph-des-Bancs.,commune de St Joseph des Bancs.
DT07-00676,commune de Saint-Laurent-les-Bains.,commune de St Laurent les Bains.
DT07-00677,commune de Saint-Pierre-sur-Doux.,commune de St Pierre sur Doux.
DT07-00678,commune de La Souche.,commune de la Souche.
DT07-00682,commune de Saint-Barthélemy-le-Meil.,commune de St Barthélémy le Meil.
DT07-00683,commune de Saint-Étienne-de-Lugdarès.,commune de St Étienne de Lugdarès.
DT07-00684,commune de Saint-Montan.,commune de St Montan.
DT07-00685,commune de Saint-Pierre-sur-Doux.,commune de St Pierre sur Doux.
DT07-00687,commune de Désaignes.,commune de Desaignes.
DT07-00689,commune de Saint-Jean-Chambre.,commune de St Jean Chambre.
DT07-00690,commune de Saint-Marcel-d’Ardèche.,commune de St Marcel d'Ardèche.
DT07-00692,commune de Saint-Étienne-de-Fontbellon.,commune de St Étienne de Fontbellon.
DT07-00693,commune de Saint-Pierre-la-Roche,commune de St Pierre la Roche
DT07-00694,commune de Saint-Sylvestre,commune de St Sylvestre
DT07-00695,commune de Villeneuve-de-Berg,commune de Villeneuve de Berg
DT07-00701,commune de Saint-Priest.,commune de St Priest.
DT07-00702,commune de Saint-Cirgues-en-Montagne.,commune de St Cirgues en Montagne.
DT07-00704,commune de Saint-Laurent-sous-Coiron au lieu de ,commune de St Laurent sous Coiron au lieu de 
DT07-00706,commune de Saint-Symphorien-de-Mahun.,commune de St Symphorien de Mahun.
DT07-00707,commune de Saint-Barthélemy-le-Meil,commune de St Barthélémy le Meil
DT07-00712,commune de Saint-Basile,commune de St Basile
DT07-00714,commune de Saint-Pierreville.,commune de St Pierreville.
DT07-00715,commune de Saint-Désirat,commune de St Désirat
DT07-00717,commune de Saint-Cirgues-en-Montagne.,commune de St Cirgues en Montagne.
DT07-00718,commune de Saint-Maurice-d’Ibie,commune de St Maurice d'Ibie
DT07-00720,commune de Bozas,commune de Bosas
DT07-00721,commune de Saint-Jean-Chambre,commune de St Jean Chambre
DT07-00722,commune de Saint-Montan.,commune de St Montan.
DT07-00723,commune d’Orgnac-l’Aven,commune d'Orgnac l'Aven
DT07-00725,commune de Gilhac-et-Bruzac,commune de Gilhac et Bruzac
DT07-00726,commune de Saint-Alban-d’Ay.,commune de St Alban d'Ay.
DT07-00729,commune de Saint-Jean-de-Muzols,commune de St Jean de Muzols
DT07-00731,commune de Bozas au lieu d’,commune de Bosas au lieu d'
DT07-00736,commune de Saint-André-en-Vivarais,commune de St André en Vivarais
DT07-00739,commune de Saint-Étienne-de-Valoux.,commune de St Étienne de Valoux.
DT07-00741,commune de Saint-Cyr.,commune de St Cyr.
DT07-00742,commune de Saint-Michel-de-Chabrillanoux.,commune de St Michel de Chabrillanoux.
DT07-00743,commune de Saint-Pons,commune de St Pons
DT07-00747,commune de La Chapelle-sous-Aubenas.,commune de la Chapelle sous Aubenas.
DT07-00750,commune de Saint-Fortunat.,commune de St Fortunat.
DT07-00751,commune de Saint-Péray.,commune de St Péray.
DT07-00753,commune de Saint-Just.,commune de St Just.
DT07-00758,commune de Vallon-Pont-d’Arc,commune de Vallon Pont d'Arc
DT07-00759,commune de Saint-Laurent-du-Pape.,commune de St Laurent du Pape.
DT07-00761,commune de Saint-Alban-d’Ay,commune de St Alban d'Ay
DT07-00762,commune de Saint-Julien-en-Saint-Alban.,commune de St Julien en St Alban.
DT07-00763,commune de Saint-Alban-sous-Sampzon.,commune de St Alban sous Sampzon.
DT07-00765,commune de Saint-Alban-d’Ay.,commune de St Alban d'Ay.
DT07-00767,commune de Saint-Étienne-de-Serre.,commune de St Étienne de Serre.
DT07-00768,commune de Saint-Péray.,commune de St Péray.
DT07-00770,commune de Villeneuve-de-Berg,commune de Villeneuve de Berg
DT07-00771,commune de Cros-de-Géorand.,commune de Cros de Géorand.
DT07-00772,commune de Saint-Martin-d’Ardèche.,commune de St Martin d'Ardèche.
DT07-00774,commune de Saint-Montan.,commune de St Montan.
DT07-00775,commune de Saint-Sauveur-de-Montagut.,commune de St Sauveur de Montagut.
DT07-00787,commune de Saint-Michel-de-Chabrillanoux,commune de St Michel de Chabrillanoux
DT07-00789,commune de Saint-Romain-de-Lerps,commune de St Romain de Lerps
DT07-00791,commune de Saint-Pierreville.,commune de St Pierreville.
DT07-00795,commune de Saint-Jean-de-Muzols.,commune de St Jean de Muzols.
DT07-00797,commune de Saint-Jeure-d’Ay,commune de St Jeure d'Ay
DT07-00800,commune de Châteauneuf-de-Vernoux,commune de Châteauneuf de Vernoux
DT07-00801,commune de Saint-Victor,commune de St Victor
DT07-00804,commune de Saint-Bauzile,commune de St Bauzile
DT07-00805,commune de Saint-Martin-sur-Lavezon,commune de St Martin sur Lavezon
DT07-00807,commune de Saint-Alban-en-Montagne.,commune de St Alban en Montagne.
DT07-00812,commune de Saint-Jean-de-Muzols.,commune de St Jean de Muzols.
DT07-00813,commune de Saint-Pierre-la-Roche,commune de St Pierre la Roche
DT07-00814,commune de Saint-Sylvestre.,commune de St Sylvestre.
DT07-00816,commune de Vallon-Pont-d’Arc.,commune de Vallon Pont d'Arc.
DT07-00817,commune de Villeneuve-de-Berg.,commune de Villeneuve de Berg.
DT07-00822,commune d’Usclades-et-Rieutord,commune d'Usclades
DT07-00825,commune de Saint-Priest,commune de St Priest
DT07-00827,commune de Saint-Félicien,commune de St Félicien
DT07-00830,commune de Saint-Andéol-de-Vals.,commune de St Andéol de Vals.
DT07-00836,commune de Saint-Pierreville.,commune de St Pierreville.
DT07-00838,commune de Saint-Étienne-de-Fontbellon.,commune de St Étienne de Fontbellon.
DT07-00839,commune de Saint-Germain.,commune de St Germain.
DT07-00840,commune de Vals-les-Bains,commune de Vals
DT07-00842,commune de Saint-Maurice-en-Chalencon,commune de St Maurice en Chalencon
DT07-00843,commune de Saint-Michel-de-Chabrillanoux.,commune de St Michel de Chabrillanoux.
DT07-00850,commune de Saint-Just.,commune de St Just.
DT07-00852,commune de Saint-Julien-Labrousse,commune de St Julien Labrousse
DT07-00860,commune de Saint-Didier-sous-Aubenas.,commune de St Didier sous Aubenas.
DT07-00861,commune de Saint-Laurent-les-Bains.,commune de St Laurent les Bains.
DT07-00862,commune de Saint-Martin-sur-Lavezon,commune de St Martin sur Lavezon
DT07-00866,canton de Vallon-Pont-d’Arc,canton de Vallon Pont d'Arc
DT07-00869,commune de Saint-Mélany.,commune de St Mélany.
DT07-00870,commune de Saint-Michel-de-Chabrillanoux.,commune de St Michel de Chabrillanoux.
DT07-00871,commune de Bozas.,commune de Bosas.
DT07-00873,commune de Sagnes-et-Goudoulet.,commune de Sagnes et Goudoulet.
DT07-00874,commune de Saint-Vincent-de-Durfort.,commune de St Vincent de Durfort.
DT07-00878,commune de Vals-les-Bains.,commune de Vals.
DT07-00880,commune de Vals-les-Bains,commune de Vals
DT07-00881,commune de Saint-Agrève.,commune de St Agrève.
DT07-00885,commune de La Chapelle-sous-Chanéac.,commune de la Chapelle sous Chanéac.
DT07-00887,canton de Saint-Agrève,canton de St Agrève
DT07-00890,commune de Colombier-le-Vieux au lieu de ,commune de Colombier le Vieux au lieu de 
DT07-00892,commune de Lachamp-Raphaël,commune de Lachamp Raphael
DT07-00894,commune de Saint-Agrève.,commune de St Agrève.
DT07-00895,commune de Saint-André-Lachamp.,commune de St André Lachamp.
DT07-00896,commune de Saint-Montan,commune de St Montan
DT07-00898,commune de Saint-Paul-le-Jeune.,commune de St Paul le Jeune.
DT07-00904,commune de Saint-Cirgues-de-Prades,commune de St Cirgues de Prades
DT07-00906,commune de Saint-Romain-d’Ay.,commune de St Romain d'Ay.
DT07-00907,commune de Saint-Privat.,commune de St Privat.
DT07-00909,commune de Saint-Péray.,commune de St Péray.
DT07-00911,commune de Saint-Pierre-le-Déchausselat.,commune de St Pierre le Déchausselat.
DT07-00921,commune de Lafigère,commune de la Figère
DT07-00923,commune de Saint-Jean-le-Centenier.,commune de St Jean le Centenier.
DT07-00930,commune d’Orgnac-l’Aven.,commune d'Orgnac l'Aven.
DT07-00932,commune de Labastide-de-Virac.,commune de la Bastide de Virac.
DT07-00933,commune de Vallon-Pont-d’Arc.,commune de Vallon Pont d'Arc.
DT07-00934,commune de Saint-Remèze.,commune de St Remèze.
DT07-00935,commune de Labastide-de-Virac.,commune de la Bastide de Virac.
DT07-00938,commune d’Orgnac-l’Aven.,commune d'Orgnac l'Aven.
DT07-00939,commune de Saint-Alban-sous-Sampzon,commune de St Alban sous Sampzon
DT07-00943,commune de Lafigère,commune de la Figère
DT07-00944,commune de Vogüé.,commune de Vogue.
DT07-00948,commune de Désaignes,commune de Desaignes
DT07-00952,commune de Saint-Cirgues-en-Montagne.,commune de St Cirgues en Montagne.
DT07-00954,commune de Saint-Pons.,commune de St Pons.
DT07-00956,commune de Lachamp-Raphaël.,commune de Lachamp Raphael.
DT07-00958,commune de Saint-Marcel-d’Ardèche,commune de St Marcel d'Ardèche
DT07-00959,commune de Bourg-Saint-Andéol.,commune de Bourg St Andéol.
DT07-00960,commune de Vogüé,commune de Vogue
DT07-00963,commune de Gilhac-et-Bruzac,commune de Gilhac et Bruzac
DT07-00966,commune de Saint-Georges-les-Bains,commune de St Georges les Bains
DT07-00972,commune de La Souche,commune de la Souche
DT07-00973,commune de Saint-Cirgues-en-Montagne,commune de St Cirgues en Montagne
DT07-00974,commune d’Usclades-et-Rieutord.,commune d'Usclades.
DT07-00975,commune de Saint-Genest-de-Beauzon,commune de St Genest de Beauzon
DT07-00978,commune de Saint-Vincent-de-Durfort,commune de St Vincent de Durfort
DT07-00979,commune de Saint-Étienne-de-Serre,commune de St Étienne de Serre
