Article,Vedette,Definition,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT37-00459,"Aubuis de Braye (le lieu des),","près de Braye, commune de Seuilly.",Braye
DT37-00467,"Audianière (l’),","ancien fief, situé, partie sur la paroisse de la Celle-Guenand, partie sur celle de Charnizay. — (Rôle des fiefs de Touraine).",Celle-Guenand
DT37-00472,"Audonnières (le lieu des),","près de la ferme du Meslier, commune de Theneuil.",Meslier
DT37-00473,"Audrières (les),","ferme, commune de Cinq-Mars.",Cinq-Mars
DT37-00475,"Audry (la taille),","près de la Maison-Brûlée, commune de Draché.",Maison-Brûlée
DT37-00476,"Augeard (la fontaine),","commune de Loché, près du chemin de la Binellerie à Montresor.",Binellerie
DT37-00497,"Aulnais (les),","ferme, commune de Neuillé (Maine-et-Loire).",Neuillé
DT37-00523,"Aumônerie (le lieu de l’),","commune de Saint-Mars, près de la route de Nantes à Paris.",Nantes
DT37-00524,"Aumônerie (l’),","hameau, commune de La Riche,",Riche
DT37-00525,"Aumônerie (le lieu de l’),","commune de Saint-Michel-sur-Loire, près du bourg.",Saint-Michel-sur-Loire
DT37-00526,"Aumônerie (l’),","ferme, commune de Villeloin.",Villeloin
DT37-00527,"Aumônerie de Saint-Julien (l’), ou le Portail-Baudry.","Ancien fief, situé dans la Chèvreville de Tours, près de la rue appelée autrefois Hettée, et plus récemment rue .",Chèvre
DT37-00527,"Aumônerie de Saint-Julien (l’), ou le Portail-Baudry.","Ancien fief, situé dans la Chèvreville de Tours, près de la rue appelée autrefois Hettée, et plus récemment rue .",Hettée
DT37-00530,"Aumôneries (les),","ferme, commune de Couesmes,",Couesmes
DT37-00541,"Aunay (le Petit-),","ferme, partie sur la commune de Civray, partie sur celle de Varennes.",Civray
DT37-00543,"Aunay (bois de l’),","commune de Cravant, près de la ferme des Bruyères.",Bruyères
DT37-00557,"Aunes-de-la-Croix (le lieu des),","commune de Savigny, près du moulin de Veaux.",Veaux
DT37-00561,"Auriches (le lieu des),","près du Buisson, commune de Louans.",Buisson
DT37-00572,"Auvannes (le lieu d’),","près de la ferme du Tain, commune de Parçay-Meslay.",Tain
DT37-00580,"Auvernière (l’),","ferme, près de la Creuse, commune de Balesmes.",Creuse
DT37-00581,"Auvernière (le lieu de l’),","près de la Courraie, commune de Ligueil.",Courraie
