article_id,vedette,vedette_orig,localisationde,dpt_code,canton_code,localisationco,localisationco_orig,NCCENR_orig,insee_code,method,reference
PO9-02245,Limons,Limons,Puy-de-Dôme,63,Maringues,none,none,Limons,Limons (63196),dpt_exact,     Limons     Puy de Dôme     con de Maringues       Lhimos  174 a    
PO9-02263,Lisseuil,Lisseuil,Puy-de-Dôme,63,Menat,none,none,Lisseuil,Lisseuil (63197),dpt_exact,     Lisseuil     Puy de Dôme     con de Menat       Lhieseyles  rector  178 a    
PO9-02289,Loubeyrat,Loubeyrat,Puy-de-Dôme,63,Manzat,none,none,Loubeyrat,Loubeyrat (63198),dpt_exact,     Loubeyrat     Puy de Dôme     con de Manzat       Lobeyrat  178 a    
PO9-02325,Ludesse,Ludesse,Puy-de-Dôme,63,Champeix,none,none,Ludesse,Ludesse (63199),dpt_exact,     Ludesse     Puy de Dôme     con de Champeix       Lopdessa  154 a    
PO9-02348,Lussat,Lussat,Puy-de-Dôme,63,Pont-du-Château,none,none,Lussat,Lussat (63200),dpt_exact,     Lussat     Puy de Dôme     con de Pont du Château       Lhuyssat  rector  163 a    
PO9-02354,Luzillat,Luzillat,Puy-de-Dôme,63,Maringues,none,none,Luzillat,Luzillat (63201),dpt_exact,     Luzillat     Puy de Dôme     con de Maringues       Luzilhat  prior  171 a      Luzillacus  prior  214 b  232 a    
PO9-02364,Madriat,Madriat,Puy-de-Dôme,63,Ardes,none,none,Madriat,Madriat (63202),dpt_exact,     Madriat     Puy de Dôme     con d Ardes       Madriat  198 c      Medriac  curatus  226 b    
PO9-02393,Malintrat,Malintrat,Puy-de-Dôme,63,Clermont-Ferrand,none,none,Malintrat,Malintrat (63204),dpt_exact,     Malintrat     Puy de Dôme     con de Clermont Ferrand       Malintrat  163 b    
PO9-02402,Manglieu,Manglieu,Puy-de-Dôme,63,Vic-le-Comte,none,none,Manglieu,Manglieu (63205),dpt_exact,     Manglieu     Puy de Dôme     con de Vic le Comte       Magnus locus  190 c  abbas  216 d  237 c  sacrista  camerarius  216 d  infirmarius  cellerarius  helemosinarius  216 e    
PO9-02409,Manzat,Manzat,Puy-de-Dôme,63,Riom,none,none,Manzat,Manzat (63206),dpt_exact,     Manzat     Puy de Dôme     con de Riom     arrt de Riom       Manzat  rector  178 b    
PO9-02412,Marat,Marat,Puy-de-Dôme,63,Olliergues,none,none,Marat,Marat (63207),dpt_exact,     Marat     Puy de Dôme     con d Olliergues       Mazarat  194 b    
PO9-02425,Marcillat,Marcillat,Puy-de-Dôme,63,Menat,none,none,Marcillat,Marcillat (63208),dpt_exact,     Marcillat     Puy de Dôme     con de Menat       Marcilhat  175 b      Marcilhiacus  prior  216 d  234 a  244 b    
PO9-02432,Mareugheol,Mareugheol,Puy-de-Dôme,63,Saint-Germain-Lembron,none,none,Mareugheol,Mareugheol (63209),dpt_exact,     Mareugheol     Puy de Dôme     con de Saint Germain Lembron       Marologium  154 g      Mareugol  collegium  225 c      Mareughol  prior  225 b    
PO9-02440,Maringues,Maringues,Puy-de-Dôme,63,Thiers,none,none,Maringues,Maringues (63210),dpt_exact,     Maringues     Puy de Dôme     con de Thiers     arrt de Thiers       Marengue  171 b      Manergium  prior  214 b  232 a    
PO9-02457,Marsac en Livradois,Marsac-en-Livradois,Puy-de-Dôme,63,Ambert,none,none,Marsac-en-Livradois,Marsac en Livradois (63211),dpt_exact,     Marsac en Livradois     Puy de Dôme     con d Ambert       Marsat  198 b  prior  237 a    
PO9-02459,Marsat,Marsat,Puy-de-Dôme,63,Riom-ouest,none,none,Marsat,Marsat (63212),dpt_exact,     Marsat     Puy de Dôme     con de Riom ouest       Marsat  163 c    
