article_id,vedette,vedette_orig,localisationco,localisationco_orig,NCCENR_orig,insee_code,id,old-id,label,definition_typologie,definition_localisation,insee,method_dicotopo,localisationde,dpt_code,canton_code,method,reference
PO9-00036,Albaret Marie,Albaret-Sainte-Marie,none,none,Albaret-Sainte-Marie,Albaret Sainte Marie (48002),,,,,,,nulle,Lozère,48,Saint-Chély-d’Apcher,dpt_exact,     Albaret Sainte Marie     Lozère     con de Saint Chély d Apcher       Albaret Sainte Marie  prieuré  cure  559 d      Albaret Sancta Maria  537 e      Albaretum Sancte Marie  547 c    
PO9-00037,Albas,Albas,none,none,Albas,Albas (46001),,,,,,,nulle,Lot,46,Luzech,dpt_exact,     Albas     Lot     con de Luzech       Albans  capellania  433 b      Albares  433 a    
PO9-00038,Albi,Albi,none,none,Albi,Albi (81004),,,,,,,nulle,Tarn,81,none,dpt_exact,     Albi     Tarn       Albi  évêque  375 a  patron  375 389  chapitre  376 a  378 c  379 c  384 a  archidiacre  375 b  prévôt  375 a  chantre  375 b  c  388 a  sous chantre  375 b  d  384 e  prébendes et dignités  376  388 c  Farges  Annonciades ou dames de   379 e  389 c  Saint Affric  prieur  377 a  Saint Antoine  commandeur  378 a  Saint Étienne  recteur  378 b  Saint Jacques  hôpital  378 a  Saint Julien  recteur  378 c  Sainte Martiane  recteur  379 b  Chasteauvieux  Saint Loup   recteur  378 c  Saint Salvy  chapitre  376 377  prévôt  375 377  Collège des Jésuites  377 a        Albia  361 d      Albiensis diocesis  355 389  episcopus  355  360 c  365 a  205 g  capitulum  365 a  Castrum vetus  361 d  367 b  Sanctus Affricanus  361 d  prior  365 a  Sanctus Julianus  361 d  365 a  Sancta Marciana  361 d  365 a  Sanctus Salvius  365 a  prepositus  camerarius  sacrista  capellanus major  365 a  Sanctus Stephanus  365 b    
PO9-00039,Albiac,Albiac,Lassouts,Lassouts,Lassouts,Lassouts (12124),,,,,,,nulle,Aveyron,12,Espalion,dpt_exact,     Albiac     Aveyron     con d Espalion     cne de Lassouts       Albiac  cura sub nomine Nostre Domine augusti vel Sancti Martini  303 a      Albiacus  281 g  296 g    
PO9-00040,Albiac,Albiac,none,none,Albiac,Albiac (46002),,,,,,,nulle,Lot,46,Lacapelle-Marival,dpt_exact,     Albiac     Lot     con de Lacapelle Marival       Albiacus  capellanus  414 e  449 a    
PO9-00041,Albias,Albias,none,none,Albias,Albias (82002),,,,,,,nulle,Tarn-et-Garonne,82,Négrepelisse,dpt_exact,     Albias     Tarn et Garonne     con de Négrepelisse       Albiars  capellanus  467 a    
PO9-00042,Albignac,Albignac,none,none,Albignac,Albignac (19003),,,,,,,nulle,Corrèze,19,Beynat,dpt_exact,     Albignac     Corrèze     con de Beynat       Albignacus  prior  493 b  priorissa  524 d  capellanus  524 d    
PO9-00043,Albinhac,Albinhac,Brommat,Brommat,Brommat,Brommat (12036),,,,,,,nulle,Aveyron,12,Mur-de-Barrez,dpt_exact,     Albinhac     Aveyron     con de Mur de Barrez     cne de Brommat       Albinhac  prioratus et rectoria Sancti Roconis  303 a      Albinhacus  283 a  prior  cappellanus  293 e    
PO9-00044,Albres,Albres,none,none,Albres,Albres (12003),,,,,,,nulle,Aveyron,12,Capdenac-Gare,dpt_exact,     Albres  Les      Aveyron     con de Capdenac Gare       Als Albres  prior et rector Sancti Dionisii  303 b      Alte arbores  284 e      Arbores  297 f  cappellanus  297 f    
PO9-00045,Albussac,Albussac,none,none,Albussac,Albussac (19004),,,,,,,nulle,Corrèze,19,Argentat,dpt_exact,     Albussac     Corrèze     con d Argentat       Albussacus  528 a  capellanus  489 c  530 e  533 a    
PO9-00046,Alcorn,Alcorn,Laguiole,Laguiole,Laguiole,Laguiole (12119),,,,,,,nulle,Aveyron,12,Laguiole,dpt_exact,     Alcorn     Aveyron     con de Laguiole     cne de Laguiole       Alcorn  prior  rectoria  302 b    
PO9-00047,Ales,Alès,none,none,Alès,Ales (30007),,,,,,,nulle,Gard,30,none,dpt_exact,     Alès     Gard       Alès  chapitre  562 b    
PO9-00049,Alix,Alix,Rocamadour,Rocamadour,Rocamadour,Rocamadour (46240),,,,,,,nulle,Lot,46,Gramat,dpt_exact,     Alix  Les      Lot     con de Gramat     cne de Rocamadour       Alicum  450 d    
PO9-00050,Allagnat,Allagnat,Ceyssat,Ceyssat,Ceyssat,Ceyssat (63071),,,,,,,nulle,Puy-de-Dôme,63,Rochefort-Montagne,dpt_exact,     Allagnat     Puy de Dôme     con de Rochefort Montagne     cne de Ceyssat       Alanhat  164 e    
PO9-00051,Allanche,Allanche,none,none,Allanche,Allanche (15001),,,,,,,nulle,Cantal,15,Saint-Flour,dpt_exact,     Allanche     Cantal     con de Saint Flour     arrt de Saint Flour       Alancha  156 f  206 b  prior  227 c    
PO9-00052,Allasac,Allasac,none,none,,19005,,,,,,,nulle,Corrèze,19,Donzenac,nulle,     Allasac     Corrèze     con de Donzenac       Allassac  capellanus  515 b      Allassacus  capellanus  494 f    
PO9-00053,Allegre,Allègre,none,none,Allègre,Allegre (43003),,,,,,,nulle,Haute-Loire,43,Puy,dpt_exact,     Allègre     Haute Loire     con du Puy     arrt du Puy       Alegrium  capellanus  capellanus castri  575 e  curatus  567 e    
PO9-00054,Allenc,Allenc,none,none,Allenc,Allenc (48003),,,,,,,nulle,Lozère,48,Bleymard,dpt_exact,     Allenc     Lozère     con du Bleymard       Allenc  prieuré de Saint Pierre  cure  562 a      Helenh  535 b      Helencum  545 a  curatus  545 a    
PO9-00055,Alleuze,Alleuze,none,none,Alleuze,Alleuze (15002),,,,,,,nulle,Cantal,15,Saint-Flour-sud,dpt_exact,     Alleuze     Cantal     con de Saint Flour sud       Aleuyze  160 d      Helodia  248 a  265 c  capellanus  245 b  prior  270 d    
PO9-00056,Alleyras,Alleyras,none,none,Alleyras,Alleyras (43005),,,,,,,nulle,Haute-Loire,43,Cayres,dpt_exact,     Alleyras     Haute Loire     con de Cayres       Alayratium  prior  570 a      Aleiras  capellanus  575 d    
PO9-00057,Alleyrat,Alleyrat,none,none,Alleyrat,Alleyrat (19006),,,,,,,nulle,Corrèze,19,Meymac,dpt_exact,     Alleyrat     Corrèze     con de Meymac       Aleyracum  prior  capellanus Sancti Petri  486 c    
PO9-00058,Alleyrat,Alleyrat,none,none,Alleyrat,Alleyrat (23003),,,,,,,nulle,Creuse,23,Aubusson,dpt_exact,     Alleyrat     Creuse     con d Aubusson       Aleyracus  prior  485 b  capellanus  521 d    
PO9-00059,Allichamps,Allichamps,Bruere Allichamps,Bruère-Allichamps,Bruère-Allichamps,Bruere Allichamps (18038),,,,,,,nulle,Cher,18,Saint-Amand-Montrond,dpt_exact,     Allichamps     Cher     con de Saint Amand Montrond     cne de Bruère Allichamps       Alicampi  123 d  capellanus  30 a  prioratus  21 j  prior  30 a  80 a    
PO9-00060,Allier,Allier,none,none,,NON,,,,,,,nulle,none,none,none,nodpt_fuzzy,     Allier     rivière  affluent de la Loire        Alyer  186    
PO9-00061,Allogny,Allogny,none,none,Allogny,Allogny (18004),,,,,,,nulle,Cher,18,Saint-Martin-d’Auxigny,dpt_exact,     Allogny     Cher     con de Saint Martin d Auxigny       Alloigniacus  109 c      Aloigniacus  capellanus  87 a      Aloigny  6 b      Alongny  141 c      Alougniacus  capellanus  27 e    
PO9-00062,Allois,Allois,Geneytouse,La Geneytouse,Geneytouse,Geneytouse (87070),,,,,,,nulle,Haute-Vienne,87,Saint-Léonard-de-Noblat,dpt_exact_simple,     Allois  Les      Haute Vienne     con de Saint Léonard de Noblat     cne de La Geneytouse       Allodia  abbatissa  519 b  522 f  capellanus  519 b    
PO9-00063,Allouis,Allouis,none,none,Allouis,Allouis (18005),,,,,,,nulle,Cher,18,Mehun-sur-Yèvre,dpt_exact,     Allouis     Cher     con de Mehun sur Yèvre       Alloy  141 b      Alloyacus  108 b      Aloy  6 d  capellanus  27 g      Aloyacus  capellanus  60 b    
PO9-00064,Ally,Ally,none,none,Ally,Ally (15003),,,,,,,nulle,Cantal,15,Pleaux,dpt_exact,     Ally     Cantal     con de Pleaux       Ali  209 a  curatus  223 d    
PO9-00065,Ally,Ally,none,none,Ally,Ally (43006),,,,,,,nulle,Haute-Loire,43,Lavoûte-Chilhac,dpt_exact,     Ally     Haute Loire     con de Lavoûte Chilhac       Ali  274 g  domus  cura  255 c  prior  266 e    
PO9-00066,Almayrac,Almayrac,none,none,Almayrac,Almayrac (81008),,,,,,,nulle,Tarn,81,Pampelonne,dpt_exact,     Almayrac     Tarn     con de Pampelonne       Almayrac  recteur  385 e    
PO9-00067,Alos,Alos,none,none,Alos,Alos (81007),,,,,,,nulle,Tarn,81,Castelnau-de-Montmiral,dpt_exact,     Alos     Tarn     con de Castelnau de Montmiral       Alana  360 a  372 c      Anlos  recteur  383 a    
PO9-00068,Alpuech,Alpuech,none,none,Alpuech,Alpuech (12005),,,,,,,nulle,Aveyron,12,Sainte-Geneviève-sur-Argence,dpt_exact,     Alpuech     Aveyron     con de Sainte Geneviève sur Argence       Alpuech  cura sub nomine Sancti Martini  303 b      Altum Podium  282 f  293 f    
PO9-00069,Alrance,Alrance,none,none,Alrance,Alrance (12006),,,,,,,nulle,Aveyron,12,Salles-Curan,dpt_exact,     Alrance     Aveyron     con de Salles Curan       Alranca  prior et rector Sancti Georgii  303 b      Alrancia  280 a  288 c    
PO9-00070,Altavaux,Altavaux,Dournezac,Dournezac,,87060,,,,,,,nulle,Haute-Vienne,87,Saint-Mathieu,nulle,     Altavaux     Haute Vienne     con de Saint Mathieu     cne de Dournezac       Alta Vallis  prepositus  499 e    
PO9-00071,Altes,Altès,Severac le Chateau,Sévérac-le-Château,Sévérac-le-Château,Severac le Chateau (12270),,,,,,,nulle,Aveyron,12,Sévérac-le-Château,dpt_exact,     Altès     Aveyron     con de Sévérac le Château     cne de Sévérac le Château       Alters  rectoria  303 b      Altesium  297 b      Altezium  282 a    
PO9-00072,Altier,Altier,none,none,Altier,Altier (48004),,,,,,,nulle,Lozère,48,Villefort,dpt_exact,     Altier     Lozère     con de Villefort       Altier  prieuré de Saint Privat  cure  561 d      Alterium  535 c  545 b    
PO9-00073,Altillac,Altillac,none,none,Altillac,Altillac (19007),,,,,,,nulle,Corrèze,19,Mercœur,dpt_exact,     Altillac     Corrèze     con de Mercœur       Altilhacum  capellanus  491 d    
PO9-00074,Alvignac,Alvignac,none,none,Alvignac,Alvignac (46003),,,,,,,nulle,Lot,46,Gramat,dpt_exact,     Alvignac     Lot     con de Gramat       Alvinhacus  capellania  450 a    
PO9-00075,Alzonne,Alzonne,Varen,Varen,Varen,Varen (82187),,,,,,,nulle,Tarn-et-Garonne,82,Saint-Antonin,dpt_exact,     Alzonne     Tarn et Garonne     con de Saint Antonin     cne de Varen       Alsona  303 b      Alzona  300 c      Alzonna  285 f    
PO9-00076,Amalou,Amalou,Viala du Tarn,Viala-du-Tarn,Viala-du-Tarn,Viala du Tarn (12296),,,,,,,nulle,Aveyron,12,Saint-Beauzély,dpt_exact,     Amalou     Aveyron     con de Saint Beauzély     cne de Viala du Tarn     au sud est et de l autre côté du ravin        Amalo  prior  286 e  291 e  303 c        Figure sur la carte de Cassini    
PO9-00077,Ambazac,Ambazac,none,none,Ambazac,Ambazac (87002),,,,,,,nulle,Haute-Vienne,87,Limoges,dpt_exact,     Ambazac     Haute Vienne     con de Limoges     arrt de Limoges       Ambasacus  prepositus et capellanus  507 d    
PO9-00078,Ambert,Ambert,none,none,Ambert,Ambert (63003),,,,,,,nulle,Puy-de-Dôme,63,Thiers,dpt_exact,     Ambert     Puy de Dôme     con de Thiers     arrt de Thiers       Ambert  195 b      Ambertum  prior  236 b    
PO9-00079,Ambialet,Ambialet,none,none,Ambialet,Ambialet (81010),,,,,,,nulle,Tarn,81,Villefranche-d’Albigeois,dpt_exact,     Ambialet     Tarn     con de Villefranche d Albigeois       Ambialet  prieuré  381 a  c  384 e  387 a  recteur de la Chapelle  387 b  recteur de Saint Giles   388 a      Ambaletum  361 a      Ambiletum  366 a  prior  374 b    
PO9-00080,Ambials,Ambials,Saint Martin Valmeroux,Saint-Martin-Valmeroux,Saint-Martin-Valmeroux,Saint Martin Valmeroux (15202),,,,,,,nulle,Cantal,15,Salers,dpt_exact,     Ambials     Cantal     con de Salers     cne de Saint Martin Valmeroux       Ambiolis  prior  222 e    
PO9-00081,Ambrault,Ambrault,none,none,Ambrault,Ambrault (36003),,,,,,,nulle,Indre,36,Issoudun-sud,dpt_exact,     Ambrault     Indre     con d Issoudun sud       Ambrales  120 f      Ambralz  146 e      Ambraui  corrigé en Ambraus   capellanus  50 f      Ambraux  capellanus  93 c    
PO9-00082,Ambres,Ambres,none,none,Ambres,Ambres (81011),,,,,,,nulle,Tarn,81,Lavaur,dpt_exact,     Ambres     Tarn     con de Lavaur       Ambricium  392 c  399 d  402 d      Ambrisium  357 e    
PO9-00083,Ambrugeat,Ambrugeat,none,none,Ambrugeat,Ambrugeat (19008),,,,,,,nulle,Corrèze,19,Meymac,dpt_exact,     Ambrugeat     Corrèze     con de Meymac       Ambrorgeat  capellanus  488 d    
PO9-00084,Ampiac,Ampiac,Druelle,Druelle,Druelle,Druelle (12090),,,,,,,nulle,Aveyron,12,Rodez,dpt_exact,     Ampiac     Aveyron     con de Rodez     cne de Druelle       Ampiac  prior et rector Sancti Christofori  303 c      Ampiacus  281 e  297 c    
PO9-00085,Andelaroche,Andelaroche,none,none,Andelaroche,Andelaroche (03004),,,,,,,nulle,Allier,03,Lapalisse,dpt_exact,     Andelaroche     Allier     con de Lapalisse       Anda  183 b    
PO9-00086,Andelat,Andelat,none,none,Andelat,Andelat (15004),,,,,,,nulle,Cantal,15,Saint-Flour-nord,dpt_exact,     Andelat     Cantal     con de Saint Flour nord       Andalac  159 a      Andalacus  248 a  b  curatus  269 a    
PO9-00087,Andillac,Andillac,none,none,Andillac,Andillac (81012),,,,,,,nulle,Tarn,81,Castelnau-de-Montmiral,dpt_exact,     Andillac     Tarn     con de Castelnau de Montmiral       Andilhac  recteur  383 c      Andilhacus  364 d  372 d    
PO9-00088,Angelard,Angelard,Compreignac,Compreignac,Compreignac,Compreignac (87047),,,,,,,nulle,Haute-Vienne,87,Nantiat,dpt_exact,     Angelard     Haute Vienne     con de Nantiat     cne de Compreignac       Angelart  prior  520 d    
PO9-00089,Angibault,Angibault,Montipouret,Montipouret,Montipouret,Montipouret (36129),,,,,,,nulle,Indre,36,Neuvy-Saint-Sépulchre,dpt_exact,     Angibault     Indre     con de Neuvy Saint Sépulchre     cne de Montipouret       Angibaut  vicarius  90 a    
PO9-00090,Anglard,Anglard,Anastaise,Saint-Anastaise,,Besse et Anastaise (63038) - Besse-et-Saint-Anastaise,,,,,,,nulle,Puy-de-Dôme,63,Besse,dpt_fuzzy,     Anglard     Puy de Dôme     con de Besse     cne de Saint Anastaise       Anglars  155 f  202 c    
PO9-00091,Anglards,Anglards,none,none,,Anglards Salers (15006) - Anglards-de-Salers,,,,,,,nulle,Cantal,15,Salers,dpt_fuzzy,     Anglards     Cantal     con de Salers       Anghars  curatus  223 e    
PO9-00092,Anglards Flour,Anglards-de-Saint-Flour,none,none,Anglards-de-Saint-Flour,Anglards de Saint Flour (15005),,,,,,,nulle,Cantal,15,Saint-Flour-nord,dpt_exact,     Anglards de Saint Flour     Cantal     con de Saint Flour nord       Anglars  159 d  246 d  curatus  269 b    
PO9-00093,Anglars,Anglars,Bertholene,Bertholène,Bertholène,Bertholene (12026),,,,,,,nulle,Aveyron,12,Laissac,dpt_exact,     Anglars     Aveyron     con de Laissac     cne de Bertholène       Anglars Layssaguesii  prioratus et rectoria Sancti Mauricii  303 c      Anglars prope Monrosier  296 g    
PO9-00094,Anglars,Anglars,Anglars Juillac,Anglars-Juillac,Anglars-Juillac,Anglars Juillac (46005),,,,,,,nulle,Lot,46,Luzech,dpt_exact,     Anglars     Lot     con de Luzech     cne d Anglars Juillac       Anglas  capellanus  408 b      Anglars  433 d    
PO9-00095,Anglars,Anglars,none,none,Anglars,Anglars (46004),,,,,,,nulle,Lot,46,Lacapelle-Marival,dpt_exact,     Anglars     Lot     con de Lacapelle Marival       Anglas  452 a  capellanus  416 f  prior  415 c      Anglares  prior  456 b    
PO9-00096,Anglars Estaing,Anglars-d’Estaing,Cayrol,Cayrol,Cayrol,Cayrol (12064),,,,,,,nulle,Aveyron,12,Espalion,dpt_exact,     Anglars d Estaing     Aveyron     con d Espalion     cne du Cayrol       Anglars  Bedene   prioratus et rectoria Sancti Stephani  303 d    
PO9-00097,Anglars Felix,Anglars-Saint-Félix,none,none,Anglars-Saint-Félix,Anglars Saint Felix (12008),,,,,,,nulle,Aveyron,12,Rignac,dpt_exact,     Anglars Saint Félix     Aveyron     con de Rignac       Anglars  Basse Marchie   prioratus  rectoria  303 d      Anglares  301 d    
PO9-00098,Anglas,Anglas,Serre,La Serre,Serre,Serre (12269),,,,,,,nulle,Aveyron,12,Saint-Sernin-sur-Rance,dpt_exact_simple,     Anglas     Aveyron     con de Saint Sernin sur Rance     cne de La Serre       Anglars  prioratus  347 b      Anglas  344 a  prior  336 e  338 i    
PO9-00099,Angles Correze,Angles-sur-Corrèze,none,none,Angles-sur-Corrèze,Angles sur Correze (19009),,,,,,,nulle,Corrèze,19,Tulle-sud,dpt_exact,     Angles sur Corrèze  Les      Corrèze     con de Tulle sud       Anguli  capellanus  prior  529 c    
PO9-00100,Angles Langlin,Angles-sur-Langlin,none,none,,86004,P92092845,DT86-00154,Anglin,rivière,commune d’Angle,86004,communes_fuzzy,,,,,
PO9-00101,Aniane,Aniane,none,none,Aniane,Aniane (34010),,,,,,,nulle,Hérault,34,Montpellier,dpt_exact,     Aniane     Hérault     con de Montpellier     arrt de Montpellier       Anhane  abbaye  556 a      Anyana  abbatia  353 a    
PO9-00102,Anjouin,Anjouin,none,none,Anjouin,Anjouin (36004),,,,,,,nulle,Indre,36,Saint-Christophe-en-Bazelle,dpt_exact,     Anjouin     Indre     con de Saint Christophe en Bazelle       Angain  143 k      Angonium  126 f  capellanus  42 e  96 f    
