Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT37-03886	Bray (le lieu de),	Praudière	non		
DT37-08084	Coteau-de-la-Grosse-Borne (le),	Pré	non		
DT37-16697	Marmins (les),	Pré	non		
DT37-06968	Chevechère (la),	Pré-Bondy	non		
DT37-18693	Neuraye (le bois de la),	Pré-Fondet	non		
DT37-15551	Lieorais (le lieu de la),	Prée	non		
DT37-25388	Tremblaie (le lieu de la),	Prée	non		
DT37-19597	Pellerande (le lieu de),	Prés	non		
DT37-02468	Boires (le lieu des),	Pressoir	non		
DT37-23116	Roche-Boré (le lieu de la),	Pressoir	non		
DT37-05821	Champs-Chevechés (le lieu des),	Pressoir	non		
DT37-10220	Fichardières (le lieu des),	Pressoir	non		
DT37-05278	Cave-Perrotte (le lieu de la),	Pressoir	non		
DT37-21709	Presle (le lieu de la),	Pretreaux	non		
DT37-03794	Boutillons (le lieu des),	Prêtreaux	non		
DT37-12181	Geteries (le lieu des),	Pretrereaux	non		
DT37-26403	Veillereau (le lieu de),	Prieuré	non		
DT37-21736	Pressoir (le lieu du),	Prieuré	non		
DT37-25909	Vallée-du-Gué-Martin (le lieu de la),	Prieuré	non		
DT37-21852	Prossineau (le lieu de),	Prieuré	non		
DT37-18716	Nid-de-Chien (le lieu du),	Primaudière	non		
DT37-09371	Douves (le lieu des),	Prin	non		
DT37-14870	Jaunay,	Prinçay	86201		
DT37-10755	Fortune (le lieu de la),	Prix	non		
DT37-02937	Bois-Tailbaut (le lieu de),	Procession	non		
DT37-10518	Fontaine-des-Bœufs (le lieu de la),	Prouterie	non		
DT37-08238	Coudrière (bois de la),	Proutrie	non		
DT37-06188	Charpes (le lieu des),	Prouzay	non		
DT37-18472	Moulins (le lieu des),	Provellerie	non		
DT37-09109	Dandin (la fosse),	Prudhomnière	non		
DT37-20420	Piharnière (la),	Prunay	41184		
DT37-11137	Four (le lieu du),	Psé	non		
DT37-16322	Malgagne (le lieu de),	Psé	non		
DT37-15641	Lisa (le lieu du),	Puce	non		
DT37-08111	Coteaux-de-Farsolle (le lieu des),	Puchard	non		
DT37-10010	Farsolle (le lieu de),	Puchard	non		
DT37-20378	Pierres-à-Vinaigre (le lieu des),	Puchenin	non		
DT37-03875	Brault (le lieu des),	Puisard	non		
DT37-18148	Motages (le lieu des),	Puits	non		
DT37-16052	Mailletière (le lieu de la),	Puits	non		
DT37-05666	Champchevalier (le lieu de),	Puits	non		
DT37-05130	Casse (le lieu de la),	Puits	non		
DT37-18880	Nouzilli (le lieu de),	Puits	non		
DT37-07465	Clos-de-Bulande (le lieu du),	Puits	non		
DT37-07106	Chinon (le lieu de),	Puits	non		
DT37-20787	Planches-de-Pierre (le lieu des),	Puits-Benault	non		
DT37-18480	Moulins-Neufs (le lieu des),	Puits-Berrault	non		
DT37-10693	Forge (la fontaine de la),	Puits-Blanc	non		
DT37-08252	Coueterie (le lieu de la),	Puits-Favreau	non		
DT37-25036	Tonnelleries (le lieu des),	Puits-Girard	non		
DT37-10593	Fontarin (le lieu de),	Puits-Morin	non		
DT37-05116	Cartinerie (le lieu de la),	Purzan	non		
DT37-19633	Peltiers (le lieu des),	Purzan	non		
DT37-03885	Bray (bois de),	Puy	non		
DT37-21142	Pont (le lieu du),	Puy-Roujou	non		
DT37-16532	Marchais-des-Joncs (le lieu du),	Pyramide-des-Chartreux	non		
DT37-25873	Vallée-des-Fourmis (le lieu de la),	Quartiers	non		
DT37-10796	Fosse-au-Lait (le lieu de la),	Quarts	non		
DT37-04069	Breuvet (le lieu de),	Quarts	non		
DT37-17857	Moque-Baril (le lieu de),	Quarts	non		
DT37-09605	Enfer (le lieu de l’),	Quatre-Murailles	non		
DT37-24222	Savines (le lieu des),	Quatre-Murailles	non		
DT37-09200	Deluges (le lieu des),	Quatre-Vents	non		
DT37-02834	Bois-Robin (le lieu de),	Quatre-Vents	non		
DT37-18133	Mort-l’Ane (le lieu de),	Quellay	non		
DT37-19048	Ormeaux-Lion (le lieu des),	Quellay	non		
DT37-24487	Souffrianderies (le lieu des),	Quellay	non		
DT37-05978	Chantreau (le bois),	Quenallière	non		
DT37-02005	Bertières (le lieu des),	Quenardière	non		
DT37-12571	Goulesmes (le lieu de),	Queue-du-Bois	non		
DT37-22156	Quincabras (gué de),	Quinçay	non		
DT37-11205	Fourneau (le lieu du),	Quinière	non		
DT37-02493	Bois-Abattu (le lieu de),	Rabaronnerie	non		
DT37-14875	Jauneau (bois de),	Rabatrie	non		
DT37-08729	Croix-Colèse (le lieu de la),	Rablaye	non		
DT37-18565	Muras (le lieu de),	Rabonnière	non		
DT37-18416	Moulin-Neuf (le lieu du),	Rabottes	non		
DT37-17110	Melier (le lieu de),	Rabottière	non		
DT37-26727	Vigne de l’Aubergos (le lieu de la),	Racineaux	non		
DT37-02791	Bois-Pinochon (le lieu de),	Raffoux	non		
DT37-06350	Châteaux (le lieu des),	Raffoux	non		
DT37-02971	Bombrie (le lieu de),	Ragonnière	non		
DT37-09360	Douilloux (le lieu des),	Raguinière	non		
DT37-10727	Forgette (le lieu de),	Raguinière	non		
DT37-17597	Moizin (la fosse),	Raguinière	non		
