Article,Vedette,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT15-01488,Bezenchat,Sarrus,15073,,
DT15-01490,Bezons,Saint-Julien,15194,,
DT15-01505,Bieysse (Le Bos de),Labesserette,15084,,
DT15-01549,Blanet,Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-01550,Blaninhac,Sarrus,15073,,
DT15-01551,Blanquefort (Le Puech de),Labesserette,15084,,
DT15-01553,Blanquette (La),Roussy,15257,Vezels-Roussy,Commune non reconnue dans le DT
DT15-01565,Blatère (La),Chanet,15001,,Commune non reconnue dans le DT
DT15-01585,Blatveissière,Ségur,15225,,
DT15-01586,Blatveissière,Ségur,15225,,
DT15-01622,Bois (Le Mas du),Chanet,15001,,Commune non reconnue dans le DT
DT15-01628,Bois (Au),Saignes,15169,,Commune non reconnue dans le DT
DT15-01651,Bois-Grand (Le),Arpajon,15012,Arpajon-sur-Cère,
DT15-01673,Boissières,Chaudesaigues,15045,Chaudes-Aigues,
DT15-01698,Bois-Vieil,Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-01718,Bonis,Montmurat,15133,,
DT15-01728,Bonnefosse,Montvert,15135,,
DT15-01729,Bonnefoucie (La),Montvert,15135,,
DT15-01735,Bonnet,Montvert,15135,,
DT15-01737,Bonnet (Le),Saint-Étienne-de-Carlat,15183,,Commune non reconnue dans le DT
DT15-01780,Borie (La),Arpajon,15012,Arpajon-sur-Cère,
DT15-01781,Borie (La),Labesserette,15084,,
DT15-01858,Borie-de-Chanson (La),Chaudesaigues,15045,Chaudes-Aigues,
DT15-01884,Bories (Les),Saint-Christophe,15153,,
DT15-01887,Bories d'Enteroche (Les),Virargues,15263,,Commune non reconnue dans le DT
DT15-01917,Bos (Le),Chanterelle,15040,,Commune non reconnue dans le DT
DT15-01924,Bos (Le),Montmurat,15133,,
DT15-01933,Bos (Le),Jou-sous-Montjou,15081,,
DT15-01941,Bos-Bas (Le),Montmurat,15133,,
DT15-01948,Bos-Haut (Le),Montmurat,15133,,
DT15-01949,Bosignau,Ségur,15225,,
DT15-01953,Bos-Nègre (Le),Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-01971,Bos-Vert (Le),Montmurat,15133,,
DT15-01973,Bos-Vieil (Le),Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-01977,Boual (La),Montmurat,15133,,
DT15-02006,Boudie (La),Arpajon,15012,Arpajon-sur-Cère,
DT15-02023,Boudre (Le),Saint-Étienne-de-Carlat,15183,,Commune non reconnue dans le DT
