article_id,vedette,localisationde,dpt_code,canton_code,localisationco,insee_code,method,origine,NCCENR
PO7-00901,Chissey,Jura,DEP_39,Montbarrey,none,none,nulle,sansloc,none
PO7-00903,Choisey,Jura,DEP_39,Dole,none,39150,exact,sansloc,Choisey
PO7-00904,Choisy,Haute-Savoie,DEP_74,Annecy,none,74076,exact,sansloc,Choisy
PO7-00905,Cholonge,Isère,DEP_38,la Mure,none,38106,exact,sansloc,Cholonge
PO7-00906,Chomérac,Ardèche,DEP_07,none,none,07066,exact,sansloc,Chomérac
PO7-00907,Chonas-l’Amballan,Isère,DEP_38,Vienne,none,38107,fuzzy,sansloc,Chonas-l'Amballan
PO7-00908,Choranche,Isère,DEP_38,Pont-en-Royans,none,38108,exact,sansloc,Choranche
PO7-00911,Chozeau,Isère,DEP_38,Crémieu,none,38109,exact,sansloc,Chozeau
PO7-00912,Chuyer,Loire,DEP_42,Pélussin,none,42064,exact,sansloc,Chuyer
PO7-00913,Chuzelles,Isère,DEP_38,Vienne,none,38110,exact,sansloc,Chuzelles
PO7-00658,Châbons,Isère,DEP_38,Grand-Lemps,none,38065,exact,sansloc,Châbons
PO7-00680,Châlons,Isère,DEP_38,Beaurepaire,none,38066,exact,sansloc,Châlons
PO7-00681,Châlons-sur-Marne,Marne,DEP_51,none,none,none,nulle,sansloc,none
PO7-00794,Château-Bernard,Isère,DEP_38,Monestier-de-Clermont,none,38090,exact,sansloc,Château-Bernard
PO7-00796,Château-Chalon,Jura,DEP_39,Voiteur,none,39114,exact,sansloc,Château-Chalon
PO7-00806,Château-Renaud,Saône-et-Loire,DEP_71,Louhans,none,none,nulle,sansloc,none
PO7-00795,Châteaubourg,Ardèche,DEP_07,Saint-Péray,none,07059,exact,sansloc,Châteaubourg
PO7-01248,Durtail,Ardèche,DEP_07,Saint-Péray,Châteaubourg,07059,exact,avecloc,Châteaubourg
PO7-00799,Châteaudouble,Drôme,DEP_26,Chabeuil,none,26081,exact,sansloc,Châteaudouble
PO7-00802,Châteauneuf,Savoie,DEP_73,Chamoux,none,21152,exact,sansloc,Châteauneuf
PO7-03032,Saint-Bonnet,Drôme,DEP_26,Saint-Vallier,Châteauneuf de Galaure,none,nulle,avecloc,none
PO7-00785,Charrière,Drôme,DEP_26,Saint-Vallier,Châteauneuf-de-Galaure,26083,exact,avecloc,Châteauneuf-de-Galaure
PO7-00804,Châteauneuf-de-Galaure,Drôme,DEP_26,Saint-Vallier,none,26083,exact,sansloc,Châteauneuf-de-Galaure
PO7-04037,Vernaison,Drôme,DEP_26,Bourg-de-Péage,Châteauneuf-de-l’Isère,none,nulle,avecloc,none
PO7-00811,Châtel,Savoie,DEP_73,Saint-Jean-de-Maurienne,none,73080,exact,sansloc,Châtel
PO7-02238,Mont-Béranger,Savoie,DEP_73,Saint-Jean-de-Maurienne,Châtel,73080,exact,avecloc,Châtel
PO7-02454,Notre-Dame-du-Châtel,Savoie,DEP_73,Saint-Jean-de-Maurienne,Châtel,73080,exact,avecloc,Châtel
PO7-00812,Châtelard,Savoie,DEP_73,none,none,23055,exact,sansloc,Châtelard
PO7-00813,Châtelneuf,Jura,DEP_39,Champagnole,none,39120,exact,sansloc,Châtelneuf
PO7-00815,Châtelus,Isère,DEP_38,Pont-en-Royans,none,03068,exact,sansloc,Châtelus
PO7-00816,Châtenay,Isère,DEP_38,Roybon,none,01090,exact,sansloc,Châtenay
PO7-00817,Châtenois,Jura,DEP_39,Rochefort-sur-Nenon,none,39121,exact,sansloc,Châtenois
PO7-00818,Châtenois,territoire de Belfort,none,Belfort,none,39121,nodpt,sansloc,Châtenois
PO7-00820,Châtillon,Drôme,DEP_26,none,none,03069,exact,sansloc,Châtillon
PO7-00821,Châtillon,Jura,DEP_39,Conliège,none,03069,exact,sansloc,Châtillon
PO7-00822,Châtillon,Haute-Savoie,DEP_74,Cluses,none,03069,exact,sansloc,Châtillon
PO7-01075,Courtine,Jura,DEP_39,Conliège,Châtillon,03069,exact,avecloc,Châtillon
PO7-01532,Gillon,Drôme,DEP_26,Romans,Châtillon-Saint-Jean,26087,exact,avecloc,Châtillon-Saint-Jean
PO7-03213,Saint-Jean,Drôme,DEP_26,Romans,Châtillon-Saint-Jean,26087,exact,avecloc,Châtillon-Saint-Jean
PO7-00140,Ardon,Ain,DEP_01,Châtillon-de-Michaille,Châtillon-de-Michaille,none,nulle,avecloc,none
PO7-00824,Châtillon-de-Michaille,Ain,DEP_01,Bellegarde,none,01091,fuzzy,sansloc,Châtillon-en-Michaille
PO7-01632,Guignaise,Drôme,DEP_26,Châtillon-en-Diois,Châtillon-en-Diois,26086,exact,avecloc,Châtillon-en-Diois
PO7-00826,Châtillon-sur-Saône,Vosges,DEP_88,Lamarche,none,88096,exact,sansloc,Châtillon-sur-Saône
PO7-00827,Châtonnay,Isère,DEP_38,Saint-Jean-de-Bournay,none,38094,exact,sansloc,Châtonnay
PO7-00883,Chèvremont,territoire de Belfort,none,Belfort,none,90026,nodpt,sansloc,Chèvremont
PO7-00862,Chélieu,Isère,DEP_38,Virieu,none,38098,exact,sansloc,Chélieu
PO7-01291,Envelump,Isère,DEP_38,Virieu,Chélieu,38098,exact,avecloc,Chélieu
PO7-00891,Chézery,Ain,DEP_01,Collonges,none,none,nulle,sansloc,none
PO7-00867,Chêne-en-Semine,Haute-Savoie,DEP_74,Seyssel,none,74068,exact,sansloc,Chêne-en-Semine
PO7-00344,Bellevaux,Saône-et-Loire,DEP_71,Rioz,Cirey,70154,exact,avecloc,Cirey
PO7-00918,Clairegoutte,Haute-Saône,DEP_70,Champagney,none,70157,exact,sansloc,Clairegoutte
PO7-00919,Clairvaux,Jura,DEP_39,none,none,none,nulle,sansloc,none
PO7-00920,Claix,Isère,DEP_38,Vif,none,16101,exact,sansloc,Claix
PO7-01044,Cossey,Isère,DEP_38,Vif,Claix,16101,exact,avecloc,Claix
PO7-00922,Clarafond,Haute-Savoie,DEP_74,Frangy,none,none,nulle,sansloc,none
PO7-00924,Clavans,Isère,DEP_38,Bourg-d’Oisans,none,none,nulle,sansloc,none
PO7-02249,Mont-Chatain,Drôme,DEP_26,Saint-Vallier,Claveyson,26094,exact,avecloc,Claveyson
PO7-00927,Clefs,Haute-Savoie,DEP_74,Thônes,none,49101,exact,sansloc,Clefs
PO7-00928,Clelles,Isère,DEP_38,none,none,38113,exact,sansloc,Clelles
PO7-00931,Clermont,Haute-Savoie,DEP_74,Seyssel,none,09097,exact,sansloc,Clermont
PO7-00934,Cliousclat,Drôme,DEP_26,Loriol,none,26097,exact,sansloc,Cliousclat
PO7-00935,Clonas-sur-Varèze,Isère,DEP_38,Roussillon,none,38114,exact,sansloc,Clonas-sur-Varèze
PO7-00937,Cluny,Saône-et-Loire,DEP_71,none,none,71137,exact,sansloc,Cluny
PO7-00939,Clusaz,Haute-Savoie,DEP_74,Thônes,none,74080,exact,sansloc,Clusaz
PO7-00940,Cluses,Haute-Savoie,DEP_74,none,none,66063,exact,sansloc,Cluses
PO7-02024,Maladière,Haute-Savoie,DEP_74,Cluses,Cluses,66063,exact,avecloc,Cluses
PO7-00941,Clux,Saône-et-Loire,DEP_71,Verdun-sur-le-Doubs,none,71138,exact,sansloc,Clux
PO7-00929,Cléon-d’Andran,Drôme,DEP_26,Marsanne,none,26095,fuzzy,sansloc,Cléon-d'Andran
PO7-00930,Clérieux,Drôme,DEP_26,Romans,none,26096,exact,sansloc,Clérieux
PO7-00932,Cléron,Doubs,DEP_25,Amancey,none,25155,exact,sansloc,Cléron
PO7-00933,Cléry,Savoie,DEP_73,Grésy-sur-Isère,none,21180,exact,sansloc,Cléry
PO7-00943,Cobonne,Drôme,DEP_26,Crest,none,26098,exact,sansloc,Cobonne
PO7-00946,Cognet,Isère,DEP_38,la Mure,none,38116,exact,sansloc,Cognet
PO7-00948,Cognin,Isère,DEP_38,Vinay,none,73087,exact,sansloc,Cognin
PO7-00950,Cognin,Savoie,DEP_73,la Motte-Servolex,none,73087,exact,sansloc,Cognin
PO7-00947,Cognières,Haute-Saône,DEP_70,Montbozon,none,70159,exact,sansloc,Cognières
PO7-00952,Coise,Savoie,DEP_73,Chamoux,Coise-Saint-Jean-Pied-Gauthier,73089,exact,avecloc,Coise-Saint-Jean-Pied-Gauthier
PO7-03243,Saint-Jean-Pied-Gauthier,Savoie,DEP_73,Chamoux,Coise-Saint-Jean-Pied-Gauthier,73089,exact,avecloc,Coise-Saint-Jean-Pied-Gauthier
PO7-00958,Collonges-sous-Salève,Haute-Savoie,DEP_74,Saint-Julien-en-Genevois,none,74082,exact,sansloc,Collonges-sous-Salève
PO7-00959,Colmar,Haut-Rhin,DEP_68,none,none,68066,exact,sansloc,Colmar
PO7-01170,Deinheim,Haut-Rhin,DEP_68,Colmar,Colmar,68066,exact,avecloc,Colmar
PO7-00962,Colombe,Isère,DEP_38,Grand-Lemps,none,38118,exact,sansloc,Colombe
PO7-00963,Colombe-lès-Vesoul,Haute-Saône,DEP_70,Noroy-le-Bourg,none,70162,exact,sansloc,Colombe-lès-Vesoul
PO7-00964,Colombier,Haute-Saône,DEP_70,Vesoul,none,03081,exact,sansloc,Colombier
PO7-00967,Colombier-Fontaine,Doubs,DEP_25,Pont-de-Roide,none,25159,exact,sansloc,Colombier-Fontaine
PO7-00968,Colombier-le-Cardinal,Ardèche,DEP_07,Serrières,none,07067,exact,sansloc,Colombier-le-Cardinal
PO7-00969,Colombier-le-Jeune,Ardèche,DEP_07,Tournon,none,07068,exact,sansloc,Colombier-le-Jeune
PO7-00970,Colombier-le-Vieux,Ardèche,DEP_07,Saint-Félicien,none,07069,exact,sansloc,Colombier-le-Vieux
PO7-03805,Terrasse,Ardèche,DEP_07,Saint-Félicien,Colombier-le-Vieux,07069,exact,avecloc,Colombier-le-Vieux
PO7-00971,Colomieu,Ain,DEP_01,Belley,none,01110,exact,sansloc,Colomieu
PO7-00972,Colonne,Jura,DEP_39,Poligny,none,39159,exact,sansloc,Colonne
PO7-00975,Combeaufontaine,Haute-Saône,DEP_70,none,none,70165,exact,sansloc,Combeaufontaine
PO7-00976,Combloux,Haute-Savoie,DEP_74,Sallanches,none,74083,exact,sansloc,Combloux
PO7-00977,Combovin,Drôme,DEP_26,Chabeuil,none,26100,exact,sansloc,Combovin
PO7-00986,Commelle,Isère,DEP_38,la Côte-Saint-André,none,38121,exact,sansloc,Commelle
PO7-00987,Commenailles,Jura,DEP_39,Chaumergy,none,39160,exact,sansloc,Commenailles
PO7-00989,Communay,Isère,DEP_38,Vienne,none,69272,exact,sansloc,Communay
PO7-00994,Comps,Drôme,DEP_26,Dieulefit,none,26101,exact,sansloc,Comps
PO7-00992,Compôte,Savoie,DEP_73,Châtelard,none,73090,exact,sansloc,Compôte
PO7-00997,Condillac,Drôme,DEP_26,Marsanne,none,26102,exact,sansloc,Condillac
PO7-00999,Condorcet,Drôme,DEP_26,Nyons,none,26103,exact,sansloc,Condorcet
PO7-01000,Condrieu,Rhône,DEP_69,none,none,69064,exact,sansloc,Condrieu
PO7-01003,Conflans,Haute-Saône,DEP_70,Saint-Loup-sur-Semouse,none,none,nulle,sansloc,none
PO7-01004,Confracourt,Haute-Saône,DEP_70,Dampierre-sur-Salon,none,70169,exact,sansloc,Confracourt
PO7-01005,Cons-Sainte-Colombe,Haute-Savoie,DEP_74,Faverges,none,74084,exact,sansloc,Cons-Sainte-Colombe
PO7-01008,Contamine-sur-Arve,Haute-Savoie,DEP_74,Bonneville,none,74087,exact,sansloc,Contamine-sur-Arve
PO7-02447,Notre-Dame-de-la-Gorge,Haute-Savoie,DEP_74,Saint-Gervais-les-Bains,Contamines,none,nulle,avecloc,none
PO7-01009,Contamines-sous-Marlioz,Haute-Savoie,DEP_74,Frangy,none,none,nulle,sansloc,none
PO7-01012,Contrevoz,Ain,DEP_01,Virieu-le-Grand,none,01116,exact,sansloc,Contrevoz
PO7-01011,Contréglise,Haute-Saône,DEP_70,Amance,none,70170,exact,sansloc,Contréglise
PO7-01013,Conzieu,Ain,DEP_01,Belley,none,01117,exact,sansloc,Conzieu
PO7-01014,Copponex,Haute-Savoie,DEP_74,Cruseilles,none,74088,exact,sansloc,Copponex
PO7-01016,Corbel,Savoie,DEP_73,Échelles,none,73092,exact,sansloc,Corbel
PO7-01017,Corbelin,Isère,DEP_38,Pont-de-Beauvoisin,none,38124,exact,sansloc,Corbelin
PO7-01020,Corbonod,Ain,DEP_01,Seyssel,none,01118,exact,sansloc,Corbonod
PO7-01024,Corcondray,Doubs,DEP_25,Audeux,none,25164,exact,sansloc,Corcondray
PO7-01025,Cordéac,Isère,DEP_38,Mens,none,38125,exact,sansloc,Cordéac
PO7-00508,Bouqueron,Isère,DEP_38,Grenoble,Corenc,38126,exact,avecloc,Corenc
PO7-01027,Corenc,Isère,DEP_38,Grenoble,none,38126,exact,sansloc,Corenc
PO7-02266,Montfleury,Isère,DEP_38,Grenoble,Corenc,38126,exact,avecloc,Corenc
PO7-01030,Cornas,Ardèche,DEP_07,Saint-Péray,none,07070,exact,sansloc,Cornas
PO7-01033,Cornier,Haute-Savoie,DEP_74,la Roche,none,74090,exact,sansloc,Cornier
PO7-01035,Cornillon,Isère,DEP_38,Mens,none,30096,exact,sansloc,Cornillon
PO7-01037,Cornot,Haute-Saône,DEP_70,Combeaufontaine,none,70175,exact,sansloc,Cornot
PO7-01038,Corravillers,Haute-Saône,DEP_70,Faucogney,none,70176,exact,sansloc,Corravillers
PO7-01039,Corre,Haute-Saône,DEP_70,Jussey,none,70177,exact,sansloc,Corre
PO7-01049,Coublevie,Isère,DEP_38,Voiron,none,38133,exact,sansloc,Coublevie
PO7-01050,Coucouron,Ardèche,DEP_07,none,none,07071,exact,sansloc,Coucouron
PO7-01051,Coulans,Doubs,DEP_25,Amancey,none,none,nulle,sansloc,none
PO7-01067,Cour-Saint-Maurice,Doubs,DEP_25,Maîche,none,25173,exact,sansloc,Cour-Saint-Maurice
PO7-00600,Buis,Isère,DEP_38,Beaurepaire,Cour-et-Buis,38134,exact,avecloc,Cour-et-Buis
PO7-01053,Cour,Isère,DEP_38,Beaurepaire,Cour-et-Buis,38134,exact,avecloc,Cour-et-Buis
PO7-01832,Lanaque,Isère,DEP_38,Beaurepaire,Cour-et-Buis,38134,exact,avecloc,Cour-et-Buis
PO7-02218,Mont,Doubs,DEP_25,Quingey,Courcelles,17125,exact,avecloc,Courcelles
PO7-01054,Courcelles-lès-Montbéliard,Doubs,DEP_25,Audincourt,none,25170,exact,sansloc,Courcelles-lès-Montbéliard
PO7-01056,Courchapon,Doubs,DEP_25,Audeux,none,25172,exact,sansloc,Courchapon
PO7-01057,Courchaton,Haute-Saône,DEP_70,Villersexel,none,70180,exact,sansloc,Courchaton
PO7-01058,Courcuire,Haute-Saône,DEP_70,Marnay,none,70181,exact,sansloc,Courcuire
PO7-01061,Courlans,Jura,DEP_39,Lons-le-Saunier,none,39170,exact,sansloc,Courlans
PO7-01062,Courlaoux,Jura,DEP_39,Lons-le-Saunier,none,39171,exact,sansloc,Courlaoux
PO7-01066,Courry,Gard,DEP_30,Saint-Ambroix,none,30097,exact,sansloc,Courry
PO7-01068,Courtavon,Haut-Rhin,DEP_68,Ferrette,none,68067,exact,sansloc,Courtavon
PO7-01070,Courtefontaine,Jura,DEP_39,Dampierre,none,25174,exact,sansloc,Courtefontaine
PO7-01072,Courtelevant,territoire de Belfort,none,Delle,none,90028,nodpt,sansloc,Courtelevant
PO7-03847,Tirieu,Isère,DEP_38,Morêtel,Courtenay,38135,exact,avecloc,Courtenay
PO7-01079,Coux,Ardèche,DEP_07,Privas,none,07072,exact,sansloc,Coux
PO7-01968,Lubilhac,Ardèche,DEP_07,Privas,Coux,07072,exact,avecloc,Coux
PO7-01081,Crachier,Isère,DEP_38,la Verpillière,none,38136,exact,sansloc,Crachier
PO7-01082,Cramans,Jura,DEP_39,Villers-Farlay,none,39176,exact,sansloc,Cramans
PO7-01518,Gevrier,Haute-Savoie,DEP_74,Annecy,Cran-Gevrier,74093,exact,avecloc,Cran-Gevrier
PO7-01084,Cranves,Haute-Savoie,DEP_74,Annemasse,Cranves-Sales,74094,exact,avecloc,Cranves-Sales
PO7-03578,Sales,Haute-Savoie,DEP_74,Annemasse,Cranves-Sales,74094,exact,avecloc,Cranves-Sales
PO7-01085,Cras,Isère,DEP_38,Tullins,none,38137,exact,sansloc,Cras
PO7-01088,Craz,Ain,DEP_01,Bellegarde,none,none,nulle,sansloc,none
PO7-01090,Crempigny,Haute-Savoie,DEP_74,Rumilly,none,none,nulle,sansloc,none
PO7-01092,Cresancey,Haute-Saône,DEP_70,Gray,none,70185,exact,sansloc,Cresancey
PO7-01093,Cressia,Jura,DEP_39,Orgelet,none,39180,exact,sansloc,Cressia
PO7-00630,Capucins,Drôme,DEP_26,Crest,Crest,26108,exact,avecloc,Crest
PO7-01097,Crest,Drôme,DEP_26,none,none,26108,exact,sansloc,Crest
PO7-02994,Saint-Antoine,Drôme,DEP_26,Crest,Crest,26108,exact,avecloc,Crest
PO7-03736,Soubeyran,Drôme,DEP_26,Crest,Crest,26108,exact,avecloc,Crest
PO7-01098,Crestet,Ardèche,DEP_07,Lamastre,none,07073,exact,sansloc,Crestet
PO7-02257,Monteil,Ardèche,DEP_07,Lamastre,Crestet,07073,exact,avecloc,Crestet
PO7-01101,Creyers,Drôme,DEP_26,Châtillon,none,none,nulle,sansloc,none
PO7-01103,Creysseilles,Ardèche,DEP_07,Privas,none,07074,exact,sansloc,Creysseilles
PO7-02983,Saint-André-de-Creysseilles,Ardèche,DEP_07,Privas,Creysseilles,07074,exact,avecloc,Creysseilles
PO7-01108,Croix-de-la-Rochette,Savoie,DEP_73,la Rochette,none,73095,exact,sansloc,Croix-de-la-Rochette
PO7-00234,Ayes,Isère,DEP_38,Touvet,Crolles,38140,exact,avecloc,Crolles
PO7-01109,Crolles,Isère,DEP_38,Touvet,none,38140,exact,sansloc,Crolles
PO7-01110,Cromary,Haute-Saône,DEP_70,Rioz,none,70189,exact,sansloc,Cromary
PO7-01112,Cros-de-Géorand,Ardèche,DEP_07,Montpezat,none,07075,exact,sansloc,Cros-de-Géorand
PO7-01113,Crosey-le-Grand,Doubs,DEP_25,Clerval,none,25177,exact,sansloc,Crosey-le-Grand
PO7-01114,Crotenay,Jura,DEP_39,Champagnole,none,39183,exact,sansloc,Crotenay
PO7-01115,Croze-Hermitage,Drôme,DEP_26,Tain,none,26110,fuzzy,sansloc,Crozes-Hermitage
PO7-01116,Crozet,Ain,DEP_01,Gex,none,01135,exact,sansloc,Crozet
PO7-01117,Cruas,Ardèche,DEP_07,Rochemaure,none,07076,exact,sansloc,Cruas
PO7-01118,Cruet,Savoie,DEP_73,Saint-Pierre-d’Albigny,none,73096,exact,sansloc,Cruet
PO7-03280,Saint-Laurent,Savoie,DEP_73,Saint-Pierre-d’Albigny,Cruet,73096,exact,avecloc,Cruet
PO7-01119,Crupies,Drôme,DEP_26,Bourdeaux,none,26111,exact,sansloc,Crupies
PO7-01120,Cruseilles,Haute-Savoie,DEP_74,none,none,74096,exact,sansloc,Cruseilles
PO7-01089,Crémieu,Isère,DEP_38,none,none,38138,exact,sansloc,Crémieu
PO7-01091,Crépol,Drôme,DEP_26,Romans,none,26107,exact,sansloc,Crépol
PO7-01123,Cubry,Doubs,DEP_25,Rougemont,none,25182,exact,sansloc,Cubry
PO7-01126,Cugney,Haute-Saône,DEP_70,Marnay,none,70192,exact,sansloc,Cugney
PO7-01128,Culin,Isère,DEP_38,Saint-Jean-de-Bournay,none,38141,exact,sansloc,Culin
PO7-01129,Curienne,Savoie,DEP_73,Chambéry,none,73097,exact,sansloc,Curienne
PO7-03570,Saint-Vivant,Côte-d’Or,none,Gevrey,Curtil-Vergy,21219,nodpt,avecloc,Curtil-Vergy
PO7-01131,Cusance,Doubs,DEP_25,Baume-les-Dames,none,25183,exact,sansloc,Cusance
PO7-01132,Cuse,Doubs,DEP_25,Rougemont,Cuse-et-Adrisans,25184,exact,avecloc,Cuse-et-Adrisans
PO7-01133,Cussey-sur-Lison,Doubs,DEP_25,Quingey,none,25185,exact,sansloc,Cussey-sur-Lison
PO7-01134,Cussey-sur-l’Ognon,Doubs,DEP_25,Marchaux,none,25186,fuzzy,sansloc,Cussey-sur-l'Ognon
PO7-01135,Cusy,Haute-Savoie,DEP_74,Alby,none,74097,exact,sansloc,Cusy
PO7-01137,Cuttura,Jura,DEP_39,Saint-Claude,none,39186,exact,sansloc,Cuttura
PO7-01138,Cuvat,Haute-Savoie,DEP_74,Annecy,none,74098,exact,sansloc,Cuvat
PO7-01139,Cuzieu,Ain,DEP_01,Virieu-le-Grand,none,01141,exact,sansloc,Cuzieu
PO7-01047,Côte-Saint-André,Isère,DEP_38,none,none,38130,exact,sansloc,Côte-Saint-André
PO7-01046,Côte-d’Hyot,Haute-Savoie,DEP_74,Bonneville,none,none,nulle,sansloc,none
PO7-01048,Côtes-d’Arey,Isère,DEP_38,Vienne,none,38131,fuzzy,sansloc,Côtes-d'Arey
PO7-03305,Saint-Mamert,Isère,DEP_38,Vienne,Côtes-d’Arey,none,nulle,avecloc,none
PO7-01142,Dambelin,Doubs,DEP_25,Pont-de-Roide,none,25187,exact,sansloc,Dambelin
PO7-01143,Dambenois,Doubs,DEP_25,Audincourt,none,25188,exact,sansloc,Dambenois
PO7-01144,Dammartin,Doubs,DEP_25,Roulans,none,none,nulle,sansloc,none
PO7-01145,Dammartin,Jura,DEP_39,Montmirey-le-Château,none,none,nulle,sansloc,none
PO7-01146,Damparis,Jura,DEP_39,Dole,none,39189,exact,sansloc,Damparis
PO7-01147,Dampbenoît,Haute-Saône,DEP_70,Luxeuil,none,none,nulle,sansloc,none
PO7-01149,Dampierre,Jura,DEP_39,none,none,10121,exact,sansloc,Dampierre
PO7-01150,Dampierre-les-Bois,Doubs,DEP_25,Audincourt,none,25190,exact,sansloc,Dampierre-les-Bois
PO7-01151,Dampierre-lès-Conflans,Haute-Saône,DEP_70,Vauvillers,none,70196,exact,sansloc,Dampierre-lès-Conflans
PO7-01153,Dampierre-sur-Linotte,Haute-Saône,DEP_70,Montbozon,none,70197,exact,sansloc,Dampierre-sur-Linotte
PO7-01152,Dampierre-sur-le-Doubs,Doubs,DEP_25,Pont-de-Roide,none,25191,exact,sansloc,Dampierre-sur-le-Doubs
PO7-01154,Dampjoux,Doubs,DEP_25,Saint-Hippolyte,none,25192,exact,sansloc,Dampjoux
PO7-01156,Dampvalley-Saint-Pancras,Haute-Saône,DEP_70,Vauvillers,none,70200,exact,sansloc,Dampvalley-Saint-Pancras
PO7-01155,Dampvalley-lès-Colombe,Haute-Saône,DEP_70,Noroy-le-Bourg,none,70199,exact,sansloc,Dampvalley-lès-Colombe
PO7-01159,Danjoutin,territoire de Belfort,none,Belfort,none,90032,nodpt,sansloc,Danjoutin
PO7-01160,Dannemarie,Doubs,DEP_25,Audeux,none,25194,exact,sansloc,Dannemarie
PO7-01161,Dannemarie,Doubs,DEP_25,Hérimoncourt,none,25194,exact,sansloc,Dannemarie
PO7-01162,Dannemarie,Haut-Rhin,DEP_68,none,none,25194,exact,sansloc,Dannemarie
PO7-01163,Darbonnay,Jura,DEP_39,Sellières,none,39191,exact,sansloc,Darbonnay
PO7-01164,Darbres,Ardèche,DEP_07,Villeneuve-de-Berg,none,07077,exact,sansloc,Darbres
PO7-01166,Darney,Vosges,DEP_88,none,none,88124,exact,sansloc,Darney
PO7-01167,Dasle,Doubs,DEP_25,Audincourt,none,25196,exact,sansloc,Dasle
PO7-01168,Dauphiné,none,none,none,none,none,nulle,sansloc,none
PO7-01169,Davézieux,Ardèche,DEP_07,Annonay,none,07078,exact,sansloc,Davézieux
PO7-01172,Delle,territoire de Belfort,none,none,none,90033,nodpt,sansloc,Delle
PO7-01173,Deluz,Doubs,DEP_25,Roulans,none,25197,exact,sansloc,Deluz
PO7-01174,Demangevelle,Haute-Saône,DEP_70,Jussey,none,70202,exact,sansloc,Demangevelle
PO7-01175,Demie,Haute-Saône,DEP_70,Noroy-le-Bourg,none,70203,exact,sansloc,Demie
PO7-01187,Desingy,Haute-Savoie,DEP_74,Seyssel,none,74100,exact,sansloc,Desingy
PO7-01188,Desnes,Jura,DEP_39,Bletterans,none,39194,exact,sansloc,Desnes
PO7-01189,Dessenheim,Haut-Rhin,DEP_68,Neuf-Brisach,none,68069,exact,sansloc,Dessenheim
PO7-01190,Destourbes,Ardèche,DEP_07,la Voulte-sur-Rhône,none,none,nulle,sansloc,none
PO7-02617,Petit-Fay,Jura,DEP_39,Chaumergy,Deux-Fays,39196,exact,avecloc,Deux-Fays
PO7-01193,Devesset,Ardèche,DEP_07,Saint-Agrève,none,07080,exact,sansloc,Devesset
PO7-01194,Didenheim,Haut-Rhin,DEP_68,Mulhouse,none,68070,exact,sansloc,Didenheim
PO7-00001,Abbaye,Drôme,DEP_26,Die,Die,26113,exact,avecloc,Die
PO7-00760,Chapias,Drôme,DEP_26,Die,Die,26113,exact,avecloc,Die
PO7-00792,Chastel,Drôme,DEP_26,none,Die,26113,exact,avecloc,Die
PO7-01195,Die,Drôme,DEP_26,none,none,26113,exact,sansloc,Die
PO7-01777,Justin,Drôme,DEP_26,Die,Die,26113,exact,avecloc,Die
PO7-01200,Dietwiller,Haut-Rhin,DEP_68,Landser,none,68072,exact,sansloc,Dietwiller
PO7-01201,Dieulefit,Drôme,DEP_26,none,none,26114,exact,sansloc,Dieulefit
PO7-01202,Dijon,Côte-d’Or,none,none,none,21231,nodpt,sansloc,Dijon
PO7-01204,Dingy-Saint-Clair,Haute-Savoie,DEP_74,Annecy,none,74102,exact,sansloc,Dingy-Saint-Clair
PO7-03061,Saint-Clair,Haute-Savoie,DEP_74,Annecy,Dingy-Saint-Clair,74102,exact,avecloc,Dingy-Saint-Clair
PO7-01203,Dingy-en-Vuache,Haute-Savoie,DEP_74,Saint-Julien-en-Genevois,none,74101,exact,sansloc,Dingy-en-Vuache
PO7-01205,Dionay,Isère,DEP_38,Saint-Marcellin,none,38145,exact,sansloc,Dionay
PO7-03228,Saint-Jean-de-Fromental,Isère,DEP_38,Saint-Marcellin,Dionay,38145,exact,avecloc,Dionay
PO7-01207,Divajeu,Drôme,DEP_26,Crest,none,26115,exact,sansloc,Divajeu
PO7-01830,Lambres,Drôme,DEP_26,Crest,Divajeu,26115,exact,avecloc,Divajeu
PO7-01208,Divonne-les-Bains,Ain,DEP_01,Gex,none,01143,exact,sansloc,Divonne-les-Bains
PO7-01197,Diémoz,Isère,DEP_38,Heyrieux,none,38144,exact,sansloc,Diémoz
PO7-01209,Dole,Jura,DEP_39,none,none,39198,exact,sansloc,Dole
PO7-01211,Domancy,Haute-Savoie,DEP_74,Sallanches,none,74103,exact,sansloc,Domancy
PO7-01212,Domarin,Isère,DEP_38,la Verpillière,none,38149,exact,sansloc,Domarin
PO7-01213,Domblans,Jura,DEP_39,Voiteur,none,39199,exact,sansloc,Domblans
PO7-01217,Domessin,Savoie,DEP_73,Pont-du-Beauvoisin,none,73100,exact,sansloc,Domessin
PO7-01218,Dommartin,Doubs,DEP_25,Pontarlier,none,01144,exact,sansloc,Dommartin
PO7-01222,Dompierre-sur-Mont,Jura,DEP_39,Orgelet,none,39200,exact,sansloc,Dompierre-sur-Mont
PO7-01223,Dompnac,Ardèche,DEP_07,Valgorge,none,07081,exact,sansloc,Dompnac
PO7-01216,Domène,Isère,DEP_38,none,none,38150,exact,sansloc,Domène
PO7-01229,Dornas,Ardèche,DEP_07,Cheylard,none,07082,exact,sansloc,Dornas
PO7-01231,Doubs,Doubs,DEP_25,Pontarlier,none,25204,exact,sansloc,Doubs
PO7-01232,Doubs,none,none,none,none,25204,nodpt,sansloc,Doubs
