article_id,vedette,localisationde,dpt_code,canton_code,localisationco,insee_code,method,origine,NCCENR
PO7-00089,Anchenoncourt-et-Chazel,Haute-Saône,DEP_70,Amance,none,70017,exact,sansloc,Anchenoncourt-et-Chazel
PO7-00090,Ancône,Drôme,DEP_26,Montélimar,none,26008,exact,sansloc,Ancône
PO7-00091,Andance,Ardèche,DEP_07,Serrières,none,07009,exact,sansloc,Andance
PO7-00092,Andelarre,Haute-Saône,DEP_70,Vesoul,none,70019,exact,sansloc,Andelarre
PO7-00093,Andert,Ain,DEP_01,Belley,Andert-et-Condon,01009,exact,avecloc,Andert-et-Condon
PO7-00998,Condon,Ain,DEP_01,Belley,Andert-et-Condon,01009,exact,avecloc,Andert-et-Condon
PO7-00094,Andilly,Haute-Savoie,DEP_74,Cruseilles,none,17008,exact,sansloc,Andilly
PO7-00095,Andolsheim,Haut-Rhin,DEP_68,none,none,68007,exact,sansloc,Andolsheim
PO7-00097,Angeot,territoire de Belfort,none,Fontaine,none,90002,nodpt,sansloc,Angeot
PO7-00098,Angirey,Haute-Saône,DEP_70,Gray,none,70022,exact,sansloc,Angirey
PO7-00099,Anglefort,Ain,DEP_01,Seyssel,none,01010,exact,sansloc,Anglefort
PO7-00102,Anjeux,Haute-Saône,DEP_70,Vauvillers,none,70023,exact,sansloc,Anjeux
PO7-00103,Anjou,Isère,DEP_38,Roussillon,none,38009,exact,sansloc,Anjou
PO7-00104,Annecy,Haute-Savoie,DEP_74,none,none,74010,exact,sansloc,Annecy
PO7-03095,Sainte-Catherine,Haute-Savoie,DEP_74,Annecy,Annecy,74010,exact,avecloc,Annecy
PO7-00105,Annecy-le-Vieux,Haute-Savoie,DEP_74,Annecy,none,74011,exact,sansloc,Annecy-le-Vieux
PO7-02759,Provin,Haute-Savoie,DEP_74,Annecy,Annecy-le-Vieux,74011,exact,avecloc,Annecy-le-Vieux
PO7-00107,Annemasse,Haute-Savoie,DEP_74,none,none,74012,exact,sansloc,Annemasse
PO7-00108,Anneyron,Drôme,DEP_26,Saint-Vallier,none,26010,exact,sansloc,Anneyron
PO7-02040,Mantaille,Drôme,DEP_26,Saint-Vallier,Anneyron,26010,exact,avecloc,Anneyron
PO7-03380,Saint-Michel,Drôme,DEP_26,Saint-Vallier,Anneyron,26010,exact,avecloc,Anneyron
PO7-03963,Valloire,Drôme,DEP_26,Saint-Vallier,Anneyron,26010,exact,avecloc,Anneyron
PO7-00109,Annoire,Jura,DEP_39,Chemin,none,39011,exact,sansloc,Annoire
PO7-00110,Annoisin,Isère,DEP_38,Crémieu,Annoisin-Chatelans,38010,exact,avecloc,Annoisin-Chatelans
PO7-00111,Annonay,Ardèche,DEP_07,none,none,07010,exact,sansloc,Annonay
PO7-00113,Ansigny,Savoie,DEP_73,Albens,none,none,nulle,sansloc,none
PO7-00114,Anteuil,Doubs,DEP_25,Clerval,none,25018,exact,sansloc,Anteuil
PO7-00116,Anthy,Haute-Savoie,DEP_74,Thonon-les-Bains,none,none,nulle,sansloc,none
PO7-00117,Antraigues,Ardèche,DEP_07,none,none,none,nulle,sansloc,none
PO7-00118,Aoste,Isère,DEP_38,Pont-de-Bonvoisin,none,38012,exact,sansloc,Aoste
PO7-03075,Saint-Didier,Isère,DEP_38,Pont-de-Beauvoisin,Aoste,38012,exact,avecloc,Aoste
PO7-00120,Aouste-sur-Sye,Drôme,DEP_26,Crest,none,26011,exact,sansloc,Aouste-sur-Sye
PO7-00121,Appenwihr,Haut-Rhin,DEP_68,Neuf-Brisach,none,68008,exact,sansloc,Appenwihr
PO7-00123,Apremont,Haute-Saône,DEP_70,Gray,none,01011,exact,sansloc,Apremont
PO7-00124,Apremont,Savoie,DEP_73,Montmélian,none,01011,exact,sansloc,Apremont
PO7-00126,Arandas,Ain,DEP_01,Saint-Rambert,none,01013,exact,sansloc,Arandas
PO7-00127,Arbecey,Haute-Saône,DEP_70,Combeaufontaine,none,70025,exact,sansloc,Arbecey
