id,commune_dt,insee,type,vedette,typologie
209,Perpignan (Perpinyà),66136,,Malloles,
210,Perpignan (Perpinyà),66136,,"Monianum, Monnos",
211,Perpignan (Perpinyà),66136,,Orle,
212,Perpignan (Perpinyà),66136,,Puig Otrer,
213,Perpignan (Perpinyà),66136,,Sant Assiscle,
214,Perpignan (Perpinyà),66136,,burg Erbi,
215,Perpignan (Perpinyà),66136,,Sant Genís de Tanyeres,
216,Perpignan (Perpinyà),66136,,Santa Tecla,
218,Perpignan (Perpinyà),66136,,Vallauria,
219,Perpignan (Perpinyà),66136,,El Vernet,
220,Le Perthus,66137,commune,Le Perthus,commune
221,Perthus (El Pertús),66137,,Bellaguarda,
222,Perthus (El Pertús),66137,,Sant Pere de Laner,
223,Pézilla-la-Rivière,66140,commune,Pézilla-la-Rivière,commune
224,Pézilla-la-Rivière (Pesillà de la Ribera),66140,,Sant Sadurní,
225,Pia,66141,commune,Pia,commune
226,Pia (Pià),66141,,Ortolanes,
227,Pia (Pià),66141,,Tàpia,
228,Pollestres,66144,commune,Pollestres,commune
229,Pollestres,66144,,Barrià,
230,Pollestres,66144,,Mas de la Garriga,
231,Ponteilla,66145,commune,Ponteilla,commune
232,Ponteilla (Pontellà),66145,,Caraig,
233,Ponteilla (Pontellà),66145,,Nyils,
234,Ponteilla (Pontellà),66145,,Sant Nicolau d’Aiguaviva,
235,Port-Vendres,66148,commune,Port-Vendres,commune
236,Port-Vendres (Port Vendres),66148,,Puig de Biarra,
237,Port-Vendres (Port Vendres),66148,,Cosprons,
238,Port-Vendres (Port Vendres),66148,,Madaloch,
239,Prunet,66153,commune,Prunet,commune
240,Prunet,66153,,Domnolí,
241,Prunet,66153,,Vallelles,
242,Rivesaltes,66164,commune,Rivesaltes,commune
243,Rivesaltes (Ribesaltes),66164,,Gardiola,
244,Rivesaltes (Ribesaltes),66164,,Nostra Senyora de la Garriga,
245,Rivesaltes (Ribesaltes),66164,,Turà,
246,Laroque-des-Albères,66093,commune,Laroque-des-Albères,commune
247,Laroque-des-Albères (la Roca de l’Albera),66093,,Alamanys,
248,Laroque-des-Albères (la Roca de l’Albera),66093,,Mas Montariol,
249,Laroque-des-Albères (la Roca de l’Albera),66093,,Mas Sant Julià,
250,Laroque-des-Albères (la Roca de l’Albera),66093,,Nostra Senyora de Tanyà,
