Vedette Longue (>30chars)
in : DT42-06149 Notre-Dame-de-l'Hermitage,
in : DT42-06153 Hermitage-de-Notre-Dame-de-Lorette,
in : DT42-06182 Hôpital de Saint-Antoine-de-Barre,
in : DT42-06194 Hôpital-de-Saint-Jean-des-Prés,
in : DT42-06208 Hôpital-de-Pierre-Fortunière,
in : DT42-06212 Hôpital-de-Saint-Georges,
in : DT42-06234 Hôpital-sous-Rochefort (L'),
in : DT42-06606 Laure (Ruisseau du Moulin).
in : DT42-06808 Loire-Vieille, Vieille-Loire.
in : DT42-06902 Madeleine (Monts, forêts de la).
in : DT42-06906 Madeleine (Faubourg de la),
in : DT42-06957 Maisonnette (Ruisseau de).
in : DT42-07015 Maladière (Ruisseau de la).
in : DT42-07119 Manteau-de-Saint-Martin (Le),
in : DT42-07274 Martinière (Ruisseau de La).
in : DT42-07340 Mas-Chabret (Ruisseau de).
in : DT42-07562 Michonette (Ruisseau de la).
in : DT42-07665 Molong (Ruisseau de les).
in : DT42-07857 Montfurmier (Ruisseau de).
in : DT42-07916 Montmoulat (Ruisseau de).
in : DT42-08118 Moulin-de-la-Sète-du-Creux,
in : DT42-08142 Moulin-du-Pont-de-la-Pierre,
in : DT42-08402 Notre-Dame-de-Bonne-Nouvelle,
in : DT42-08403 Notre-Dame-de-Bon-Secours,
in : DT42-08407 Notre-Dame-de-Consolation.
in : DT42-08408 Notre-Dame-de-Consolation,
in : DT42-08412 Notre-Dame-de-Grâce
in : DT42-08418 Notre-Dame-de-l'Hermitage.
in : DT42-08423 Notre-Dame-de-Montferrat,
in : DT42-08477 Oisé, Oiseau, Oisel, Oiset, Oysel…
in : DT42-08552 Orme-des-Hommes-Morts (L'),
in : DT42-08661 Panissières (Petit ou Vieux),
in : DT42-08663 Panissières (Ruisseau de).
in : DT42-08931 Petite-Rey (Domaine de la),
in : DT42-08956 Petit-Valuy (Ruisseau du).
in : DT42-09040 Pied-de-la-Sainte-Vierge.
in : DT42-09058 Pierre-Basanne (La Grande),
in : DT42-09059 Pierre-Basanne (La Petite),
in : DT42-09061 Pierre-Brune (Ruisseau de).
in : DT42-09068 Pierre-des-Trois-Évêques.
in : DT42-09084 Pierre Folle (Grande et Petite),
in : DT42-09116 Pierre-Saint-Martin (La),
in : DT42-09117 Pierre Saint Martin (La),
in : DT42-09162 Pinatelle (Ruisseau de la).
in : DT42-09236 Pisse-Vieille (Ruisseau de).
in : DT42-09333 Planche (Ruisseau de la).
in : DT42-09343 Planchette (Ruisseau de).
in : DT42-09447 Pommaraise (Ruisseau de).
in : DT42-09550 Pont-de-l'Hôpital-le-Grand,
in : DT42-09555 Pont-de-Notre-Dame-de-Laval,
in : DT42-09569 Pont-de-Sail-sous-Couzan,
in : DT42-09571 Pont-de-Saint-Germain-Laval,
in : DT42-09572 Pont de Saint Germain Laval de Pommiers,
in : DT42-09573 Pont de Saint Maurice sur Loire,
in : DT42-09593 Pont-du-Foin (Ruisseau du).
in : DT42-09616 Pont-Lyonnais (Ruisseau de).
in : DT42-10196 Revoute (Ruisseau de la).
in : DT42-10336 Rivière (Ruisseau de la).
in : DT42-10357 Rivoire (Ruisseau de la).
in : DT42-10629 Rouillère (Ruisseau de la).
in : DT42-10721 Sabonnaires (Ruisseau de).
in : DT42-10784 Saint-Alban (Ruisseau de).
in : DT42-10792 Saint-Antoine (Chapelle),
in : DT42-10793 Saint-Antoine (Chapelle),
in : DT42-10794 Saint-Antoine (Chapelle),
in : DT42-10795 Saint-Antoine (Chapelle),
in : DT42-10796 Saint-Antoine (Chapelle),
in : DT42-10797 Saint-Antoine-de-Barre (Chemin),
in : DT42-10800 Saint-Barthélemy (Ruisseau de)
in : DT42-10806 Saint-Bertrand (Domaine),
in : DT42-10808 Saint Bonnet (Goutte de).
in : DT42-10811 Saint-Bonnet-le-Courreau,
in : DT42-10836 Saint Didier de Ruthianges.
in : DT42-10837 Saint-Didier-sur-Rochefort,
in : DT42-10844 Sainte-Agathe-du-Collet (Chapelle),
in : DT42-10846 Sainte-Agathe-la-Bouteresse,
in : DT42-10856 Sainte Catherine de Beuceu.
in : DT42-10859 Sainte Catherine de Fonfort,
in : DT42-10861 Sainte Catherine de la Faye,
in : DT42-10862 Sainte-Catherine-de-la-Liègue,
in : DT42-10868 Sainte-Foy-Saint-Sulpice,
in : DT42-10869 Sainte-Geneviève (Chapelle).
in : DT42-10875 Sainte-Madeleine (Chapelle),
in : DT42-10889 Sainte-Marie-Madeleine (Rue),
in : DT42-10890 Saint Esprit et Saint Antoine,
in : DT42-10902 Sainte-Vierge (Chapelle de la),
in : DT42-10903 Sainte-Vierge (Chapelle de la),
in : DT42-10904 Sainte-Vierge (Chapelle de la),
in : DT42-10905 Sainte-Vierge (Chapelle de la),
in : DT42-10906 Saint-Forgeux-l'Espinasse,
in : DT42-10914 Saint-Georges (Chapelle).
in : DT42-10915 Saint-Georges (Chapelle).
in : DT42-10916 Saint-Georges-de-Baroille,
in : DT42-10917 Saint-Georges-de-Chausseterre.
in : DT42-10919 Saint-Georges-Haute-Ville.
in : DT42-10921 Saint-Germain-la-Montagne,
in : DT42-10923 Saint-Germain-l'Espinasse,
in : DT42-10929 Saint-Hilaire-Cusson-la-Valmitte,
in : DT42-10930 Saint-Hilaire-sous-Charlieu,
in : DT42-10935 Saint-Isidore (Chapelle),
in : DT42-10944 Saint-Jean-Baptiste (Chapelle),
in : DT42-10946 Saint-Antoine de La Rochette.
in : DT42-10951 Saint-Jean-sur-Saint-Maurice,
in : DT42-10960 Saint-Julien-Molin-Molette,
in : DT42-10977 Saint-Marcel (Ruisseau de).
in : DT42-10989 Saint-Martin-en-Coailleux,
in : DT42-10993 Saint-Maurice (Chapelle),
in : DT42-10994 Saint-Maurice-en-Gourgois,
in : DT42-10999 Saint-Nicolas (Chapelle).
in : DT42-11000 Saint-Nicolas (Chapelles),
in : DT42-11002 Saint-Nizier-sous-Charlieu,
in : DT42-11012 Saint-Pierre-de-Montmein,
in : DT42-11027 Saint-Rambert (Ruisseau de).
in : DT42-11059 Saint-Roch-de-Vidrieux (Chapelle),
in : DT42-11067 Saint-Saturnin-de-Couzan,
in : DT42-11072 Saint-Sépulchre (Chapelle du),
in : DT42-11076 Saint-Sulpice-lès-Villerest,
in : DT42-11079 Saint Thomas de Montlune,
in : DT42-11085 Saint-Vincent-de-Boisset,
in : DT42-11136 Sanctus Bonitus de Cilogneu,
in : DT42-11165 Saraillies (Ruisseau des).
in : DT42-11356 Sibriacensis, Sibranicensis
in : DT42-11358 Siège-de-la-Sainte-Vierge,
in : DT42-11594 Terrasse-sur-Dorlay (La),
in : DT42-11700 Tolvedonensis, Torvedonensis
in : DT42-11781 Treille (Ruisseau de la).
in : DT42-11852 Treyve de les Cinq Viz (Le),
in : DT42-11857 Triolière (Ruisseau de la).
in : DT42-11923 Tuilerie (Ruisseau de la),
in : DT42-11981 Vacherie (Ruisseau de la).
in : DT42-11998 Val-Bertrand (Ruisseau de La).
in : DT42-12041 de Leveaux (Ruisseau de la).
in : DT42-12043 Valla-sur-Rochefort (La),
in : DT42-12118 Vassalieux (Ruisseau de).
in : DT42-12373 Viel, vielle, vieilles, vio…
out:DT42-00130 Annonaicensis, Annonagicensis ager.
out:DT42-02975 Chiron (Le), ou ruisseau de Fontanière.
out:DT42-03271 Combe-du-Grand-Val (Ruisseau de la).
out:DT42-04711 Fol, Folle, Folhes, Folie, Follet.
out:DT42-04895 Forensis (Pagus, Ager, Comitatus).
out:DT42-06153 Hermitage-de-Notre-Dame-de-Lorette,
out:DT42-06182 Hôpital de Saint-Antoine-de-Barre,
out:DT42-06902 Madeleine (Monts, forêts de la).
out:DT42-08412 Notre-Dame-de-Grâce (Ruisseau de).
out:DT42-08477 Oisé, Oiseau, Oisel, Oiset, Oysel…
out:DT42-09084 Pierre Folle (Grande et Petite),
out:DT42-09572 Pont de Saint Germain Laval de Pommiers,
out:DT42-09573 Pont de Saint Maurice sur Loire,
out:DT42-10797 Saint-Antoine-de-Barre (Chemin),
out:DT42-10800 Saint-Barthélemy (Ruisseau de) ou 
out:DT42-10844 Sainte-Agathe-du-Collet (Chapelle),
out:DT42-10929 Saint-Hilaire-Cusson-la-Valmitte,
out:DT42-11059 Saint-Roch-de-Vidrieux (Chapelle),
out:DT42-11356 Sibriacensis, Sibranicensis ager.
out:DT42-11700 Tolvedonensis, Torvedonensis pagus.
