Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire	
DT10-01780	Maison-des-Champs (La),	Vendeuvre	10401			
DT10-01794	Maisons (Bois de),	Maisons-près-Soulaines	10219			
DT10-01809	Maladière (La),	Ervy	10140			
DT10-01811	Maladière (La),	Vendeuvre	10401			
DT10-01819	Malvoie (La),	Ervy	10140			
DT10-01840	Marinerie (La),	Trancault	10383			
DT10-01859	Marque (La),	Vendeuvre	10401			
DT10-01864	Martinière (La),	Chauffour	10092			
DT10-01883	Maupigny.....,	Ocey-les-Trois-Maisons	10275			
DT10-01890	Mauroyte,	Vendeuvre	10401			
DT10-01923	Mesnil-Saint-Georges (Le),	Ervy	10140			
DT10-01931	Métairie (La),	Davrey	10122		Commune de Davrey non reconnue dans le DT	
DT10-01982	Mont-aux-Idoles (Le),	Parres-aux-Tertres	10357	Saint-Parres-les-Tertres		
DT10-01995	Montémini,	Vallant-Saint-Georges	10392		Commune de Vallant-Saint-Georges non reconnue dans le DT	
DT10-01999	Montfaucon,	Vendeuvre	10401			
DT10-02000	Montfey,	Ervy	10140			
DT10-02003	Monthiérault,	Ervy	10140			
DT10-02007	Montigny,	Ervy	10140			
DT10-02018	Montoie (La),	Rumilly-sur-Seine	10331			
DT10-02052	Mothe-Bouillot (La),	Ervy	10140			
DT10-02055	Motte (La),	Ervy	10140			
DT10-02066	Mottes (Les),	Ervy	10140			
DT10-02069	Moulin (Le),	Balnot-sur-Laigne	10029			
DT10-02071	Moulin (Le),	Chauffour	10092			
DT10-02072	Moulin (Le),	Ervy	10140			
DT10-02082	Moulin (Le),	Trancault	10383			
DT10-02111	Moulin du Haut (Le),	Trouan	10386		Commune de Trannes non reconnue dans le DT	
DT10-02121	Moulin Neuf (Le),	Soligny	10370			
DT10-02128	Moulin Rouge (Le),	Marigny	10224			10166
DT10-02129	Moulins à eau,	Champ-au-Roi	10078			
DT10-02129	Moulins à eau,	Paisy	10276			
DT10-02129	Moulins à eau,	Villeneuve	10423			
DT10-02130	Moulins au Mont,	Saint-Parres-aux-Tertres	10357			
DT10-02149	Murut (Étang de),	Petit-Mesnil	10286		Commune de Petit-Mesnil non reconnue dans le DT	
DT10-02172	Noës (Bois des),	Fresnois	10162			
DT10-02173	Noës (Étang des),	Chauffour	10092			
DT10-02196	Notre-Dame-de-Thouan,	Thouan	non			
DT10-02197	Notre-Dame-d'Ormont,	Arambécourt				
DT10-02206	Notre-Dame-la-Dorée,	Saint-Blaise	non			
DT10-02210	Noue-d'Enfer (La),	Saint-Aventin	10406			
DT10-02216	Noues (Les),	Ervy	10140			
DT10-02242	Orient (Forêt d'),	Vendeuvre	10401			
DT10-02269	Pallu (Bois de),	Courtavant	10031			
DT10-02282	Parc-aux-Pourceaux (Étang du),	Villeneuve	10423			
DT10-02312	Pellotte (La),	Jully	10181			
DT10-02346	Picarde (La),	Ervy	10140			
DT10-02359	Pierre-au-Sabre (La),	Trancault	10383			
DT10-02362	Pierre-aux-Pigeons (La),	Trancault	10383			
DT10-02370	Pierres-Écouvéclées (Les),	Trancault	10383			
DT10-02387	Plaisance,	Souleau	10360			
DT10-02401	Plessis (Le),	Ervy	10140			
DT10-02403	Plessis (Le),	Fresnois	10162			
DT10-02407	Plessis-lez-Chaast (Le),	Bucey	10066			
DT10-02435	Pont aux Cochons,	Saint-Parres-aux-Tertres	10357			
DT10-02448	Pontou,	Basse-Fontaine	10063			
DT10-02462	Poteau des Généralités,	Paris	non			
DT10-02470	Pouilly,	Molême	21419			
DT10-02485	Preize,	Saint-Martin-ès-Vignes	non			
DT10-02501	Prieuré (Le),	Ervy	10140			
DT10-02506	Profonde-Fosse (Bois de),	Vendeuvre	10401			
DT10-02526	Putemusse,	Marcilly	10223			
DT10-02530	Quarante-Arpents (Bois des),	Vendeuvre	10401			
DT10-02544	Racines,	Ervy	10140			
DT10-02549	Ramou (Étang de),	Petit-Mesnil	10286		Commune de Petit-Mesnil non reconnue dans le DT	
DT10-02567	Reclaie (Ruisseau de la),	Garotte	non			
DT10-02567	Reclaie (Ruisseau de la),	Reclaie	10401			
DT10-02577	Renault,	Fresnois	10162			
DT10-02583	Renouillères (Les),	Ervy	10140			
DT10-02601	Rigault (Bois),	Trancault	10383			
DT10-02618	Roche,	Isle	10173	Isle-Aumont		
DT10-02623	Rochelle (La),	Mesnil-Scellières	10239			
DT10-02627	Rognon (Le),	Trancault	10383			
DT10-02673	Ru (Le),	Montabert	10245			
DT10-02674	Ru à l'Huile (Le),	Vendeuvre	10401			
DT10-02684	Rue-du-Bas (La),	Davrey	10122		Commune de Davrey non reconnue dans le DT	
DT10-02688	Rue-du-Laps (La),	Davrey	10122		Commune de Davrey non reconnue dans le DT	
DT10-02690	Rue-Pelletier (La),	Saint-Léger-sous-Breviandes	10344			
DT10-02706	Sailly,	Trancault	10383			
DT10-02710	Saint-Antoine,	Ervy	10140			
DT10-02726	Saint-Bernard (Fontaine de),	Clairvaux	10426			
DT10-02739	Saint-Denis,	Vendeuvre	10401			
DT10-02752	Sainte-Catherine,	Grandes-Chapelles	10166		Commune des Grandes Chapelles non reconnue dans le DT	
DT10-02764	Saint-Éloy,	Bagneux-la-Fosse	10025			
DT10-02781	Sainte-Syre,	Sainte-Syre	10320			
DT10-02790	Saint-Èvre,	Trancault	10383			
DT10-02801	Saint-Georges (Fontaine de),	Vendeuvre	10401			
DT10-02802	Saint-Georges (Le Grand-),	Vallant-Saint-Georges	10392		Commune de Vallant-Saint-Georges non reconnue dans le DT	
DT10-02803	Saint-Georges-le-Petit,	Vallant-Saint-Georges	10392		Commune de Vallant-Saint-Georges non reconnue dans le DT	
DT10-02814	Saint-Hilarion,	Ervy	10140			
DT10-02822	Saint-Jacques (Bois de),	Île	10250	Montier-en-l’Île		
DT10-02822	Saint-Jacques (Bois de),	Montier-en-l	10250	Montier-en-l’Île		
DT10-02849	Saint-Marcel (Fontaine de),	Chauffour	10092			
DT10-02881	Saint-Nicolas,	Jessains	10178			
DT10-02896	Saint-Phal,	Ervy	10140			
DT10-02898	Saint-Philbert,	Chapelle-Saint-Nicolas	10355			
DT10-02965	Saussois (Le),	Ervy	10140			
DT10-02975	Seine (La),	Villiers-sur-Seine	77522			
DT10-03054	Thivum (Nemus),	Sermoise	10076			
DT10-03068	Tombelle,	Hilaire	10341	Saint-Hilaire		
DT10-03070	Tombelle,	Sommefontaine-Saint-Lupien	10348			
DT10-03071	Tombelle,	Trancault	10383			
DT10-03075	Tombelles (Les deux),	Ervy	10140			
DT10-03167	Tuilerie (La),	Ville-aux-Bois-lez-Soulaines	10411			
DT10-03202	Vacherie (La),	Davrey	10122		Commune de Davrey non reconnue dans le DT	
DT10-03233	Vallette (La),	Mathaut	10228			
DT10-03272	Vauburon,	Chazerey	10087			
DT10-03293	Vaulx (Cens de),	Vanne	10352			
DT10-03301	Vauroises (Les),	Saint-Mards	10350			
DT10-03304	Vausurey,	Onjon ou de Bouy	10270	Onjon		
DT10-03307	Vaux,	Jully	10181			
DT10-03316	Ventes (Les),	Ervy	10140			
DT10-03317	Ventes (Les),	Montey	10247	Montfey		
DT10-03331	Verreries (Les),	Petit-Mesnil	10286		Commune de Petit-Mesnil non reconnue dans le DT	
DT10-03348	Vieilles-Vignes (Les),	Saint-Parres-lez-Tertres	10357			
DT10-03432	Villeneuve-au-Chemin,	Ervy	10140			
DT10-03434	Villeneuve-aux-Riches-Hommes,	Trancault	10383			
DT10-03451	Villiers,	Ervy	10140			
DT10-03473	Virloup,	Bordes-d'Isle-Aumont	10049			
DT10-03500	Voie de Vienne,	Vendeuvre	10401			
DT10-03505	Voie ferrée,	Maraye	10222			
DT10-03522	Voie romaine	Corbeil	51169			
DT10-03545	Vosnon,	Ervy	10140			
DT10-03546	Vosves,	Saint-Thibaut	10363			
DT10-03567	Cave (La),	Marnay-sur-Seine	10225			
DT10-03613	Grès (Les),	Maison-Neuve	10151			
DT10-03675	Saint-Flavit,	Chanteloup	non			
