Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT18-14382,"Sologne (La),",région,"départements du Cher, de Loir-et-Cher et du Loiret",non,"
région qui s’étend sur une portion des départements du Cher, de Loir-et-Cher et du Loiret, et dont le nom a désigné deux archidiaconés appartenant, l’un au diocèse de Bourges, l’autre à celui d’Orléans"
DT18-00846,"Bauzon,",seigneurie,"fief de Dun-le-Roi
",non,"
seigneurie relevant du fief de Dun-le-Roi
"
DT18-08192,"Grange-aux-Forges (La),",ancien fief,Grosse-Tour de Dun-le-Roi,/18087,"
ancien fief de la Grosse-Tour de Dun-le-Roi"
DT18-13840,"Saint-Adelin,",ancienne chapelle,"juridiction de Vierzon
",non,"
ancienne chapelle de la juridiction de Vierzon
"
DT18-13972,"Saint-Jacques,",ancienne chapelle,"juridiction de Vierzon
",non,"
ancienne chapelle située dans la juridiction de Vierzon
"
DT18-07429,"Fouzon (Le),",rivière,Loir-et-Cher,non,"
rivière, affluent du Cher, qui prend sa source dans l’Indre, arrose dans le Cher la commune de Nohant-en-Graçay, sépare celles de Gracay et de Saint-Outrille et pénètre dans le Loir-et-Cher"
DT18-07027,"Fontbon,",étang et ruisseau,Moulin-Neuf,non,"
étang et ruisseau qui prend sa source dans la commune de Chalivoy-Milon et se jette dans celui de Moulin-Neuf à Dun-sur-Auron, village et domaine, communes de Bussy et de Lantan"
DT18-04780,"Chezeau-Coudray (Le),",ancien fief,"mouvance d’Orval
",non,"
ancien fief de la mouvance d’Orval
"
DT18-01008,"Bégassière (La),",ancien fief,"mouvance de Dun-le-Roi
",non,"
ancien fief de la mouvance de Dun-le-Roi
, paroisse de Verneuil"
DT18-07007,"Fontancière,",ancien fief,"mouvance de Rezay
",non,"
ancien fief de la mouvance de Rezay
"
DT18-08079,"Gotinière (La),",ancien fief,"mouvance de Vierzon
",non,"
ancien fief de la mouvance de Vierzon
"
DT18-06921,"Fontaine-de-Pusselot (La),",ancien fief,paroisse ,non,"
ancien fief de la paroisse 160de Sancerre"
DT18-11105,"Motte-des-Vèvres (La),",ancienne seigneurie,"paroisse d’Ainay-le-Vieil
",18002,"
ancienne seigneurie de la paroisse d’Ainay-le-Vieil
"
DT18-04655,"Chezal-Aubin (Le),",ancien fief,"paroisse d’Annoix
",18006,"
ancien fief de la paroisse d’Annoix
"
DT18-09969,"Maison-Rouge (La),",ancien fief,"paroisse d’Ardenais
",18010,"
ancien fief de la paroisse d’Ardenais
"
DT18-08026,"Gloriette (La),",ancien fief,"paroisse d’Argent
",18011,"
ancien fief de la paroisse d’Argent
"
DT18-07167,"Forêt-de-Vèvre (La),",ancien bois,"paroisse d’Aubigny
",18015,"
ancien bois de la paroisse d’Aubigny
"
DT18-08712,"Guyart,",ancien village,"paroisse d’Augy-sur-l’Aubois
",18017,"
ancien village de la paroisse d’Augy-sur-l’Aubois
"
DT18-12215,"Pierrefritte,",ancien village,"paroisse d’Augy-sur-l’Aubois
",18017,"
ancien village de la paroisse d’Augy-sur-l’Aubois
"
DT18-12084,"Perouse-Rogerin (La),",ancien fief,"paroisse d’Azy
",18019,"
ancien fief de la paroisse d’Azy
"
DT18-01711,"Le Bois-à-la-Burelle,",ancien fief,"paroisse d’Ennordres
",18088,"
ancien fief de la paroisse d’Ennordres
"
DT18-02076,"Borde (La),",ancien fief,"paroisse d’Etrechy
",18090,"
ancien fief de la paroisse d’Etrechy
"
DT18-03234,"Carigniacum,",lieu,"paroisse d’Herry
",18110,"
lieu où fut élevée l’abbaye primitive de Chalivoy, paroisse d’Herry
"
DT18-11118,"Motte-Montsévry (La),",ancien domaine,"paroisse d’Humbligny
",18110,"
ancien domaine de la paroisse d’Humbligny
"
DT18-01709,"Bois-Bardin,",ancien domaine,"paroisse d’Ignol
",18113,"
ancien domaine de la paroisse d’Ignol
"
DT18-01758,"Bois-Crots (Les),",ancien fief,"paroisse d’Ineuil
",18114,"
ancien fief de la paroisse d’Ineuil
"
DT18-10960,"Montigny,",ancien fief,"paroisse d’Ivoy-le-Pré
",18115,"
ancien fief de la paroisse d’Ivoy-le-Pré
"
DT18-01783,"Bois-de-l’Étang (Le),",ancien fief,"paroisse d’Ourouër
",18175,"
ancien fief de la paroisse d’Ourouër
"
DT18-15230,"Vaux,",ancien domaine,"paroisse d’Ourouër
",18175,"
ancien domaine de la paroisse d’Ourouër
"
DT18-08774,"Hérigny,",ancienne seigneurie,"paroisse d’Ourouër-les-Bourdelins
",18175,"
ancienne seigneurie de la paroisse d’Ourouër-les-Bourdelins
"
DT18-13896,"Sainte-Brigitte,",ancienne chapelle,"paroisse de Bannay
",18020,"
ancienne chapelle de la paroisse de Bannay
"
DT18-10917,"Montaudon,",ancien fief,"paroisse de Beffes
",18025,"
ancien fief de la paroisse de Beffes
"
DT18-01860,"Bois-Justin,",ancien fief,"paroisse de Bengy-sur-Craon
",18027,"
ancien fief de la paroisse de Bengy-sur-Craon
"
DT18-11134,"Motte-Vouzeron (La),",ancien fief,"paroisse de Berry-Marmagne
",18028,"
ancien fief de la paroisse de Berry-Marmagne
"
DT18-11602,"Notre-Dame-de-Venon,",ancienne chapelle,"paroisse de Bessais-le-Fromental
",18029,"
ancienne chapelle de la paroisse de Bessais-le-Fromental
"
DT18-08865,"Hurerie (La),",ancien domaine,"paroisse de Blancafort
",18030,"
ancien domaine de la paroisse de Blancafort
"
DT18-13992,"Saint-Ladre,",ancienne chapelle,"paroisse de Blet
",18031,"
ancienne chapelle de la paroisse de Blet
"
DT18-08679,"Guillons (Les),",ancien domaine,"paroisse de Bouy
",18028,"
ancien domaine de la paroisse de Bouy
"
DT18-02687,"Brénefins (Les),",ancien fief,"paroisse de Brinay
",18036,"
ancien fief de la paroisse de Brinay
"
DT18-06825,"Foltière (La),",ancien fief,"paroisse de Brinay
",18036,"
ancien fief de la paroisse de Brinay
"
DT18-07810,"Gautinière (La),",ancien fief,"paroisse de Brinay
",18036,"
ancien fief de la paroisse de Brinay
"
DT18-09898,"Maisonfort-de-Brinay (La),",ancien fief,"paroisse de Brinay
",18036,"
ancien fief de la paroisse de Brinay
"
DT18-07301,"Fossés-de-Bussy (Les),",ancien fief,"paroisse de Bussy
",18040,"
ancien fief de la paroisse de Bussy
"
DT18-11120,"Motte-Raimbaut (La),",ancien fief,"paroisse de Bussy
",18040,"
ancien fief de la paroisse de Bussy
"
DT18-07139,"Forêt (La),",ancien fief,"paroisse de Cerbois
",18044,"
ancien fief de la paroisse de Cerbois
"
DT18-15598,"Ville-Neuve (Le Petit-),",ancien fief,"paroisse de Cerbois
",18044,"
ancien fief de la paroisse de Cerbois
"
DT18-03527,"Chalivoy-les-Mesles,",ancienne collecte,"paroisse de Chalivoy-Milon
",18045,"
ancienne collecte de la paroisse de Chalivoy-Milon
"
DT18-09223,"Lassy,",ancien fief,"paroisse de Chassy
",18056,"
ancien fief de la paroisse de Chassy
"
DT18-09268,"Lavau,",ancien fief,"paroisse de Chassy
",18056,"
ancien fief de la paroisse de Chassy
"
DT18-14255,"Sauvageonnerie (La),",ancienne locature,"paroisse de Chautay
",18062,"
ancienne locature de la paroisse de Chautay
"
DT18-15264,"Verdiers (Les),",ancien fief,"paroisse de Chavannes
",18063,"
ancien fief de la paroisse de Chavannes
"
DT18-09674,"Louroy,",ancien fief,"paroisse de Clémont
",18067,"
ancien fief de la paroisse de Clémont
"
DT18-07855,"Genetoy-de-la-Brosse (Le),",ancien fief,"paroisse de Concressault
",18070,"
ancien fief de la paroisse de Concressault
"
DT18-10596,"Mère-Dieu (La),",ancien prieuré,"paroisse de Concressault
",18070,"
ancien prieuré sis en la paroisse de Concressault
 : dépendait de l’abbaye de Saint-Satur"
DT18-10622,"Mesnil (Le),",ancien fief,"paroisse de Concressault
",18070,"
ancien fief de la paroisse de Concressault
"
DT18-13056,"Rabas,",ancien fief,"paroisse de Condé
",18043,"
ancien fief de la paroisse de Condé
"
DT18-15640,"Villiers,",ancien village,"paroisse de Cornusse
",18072,"
ancien village de la paroisse de Cornusse
"
DT18-09719,"Luzarches,",ancienne seigneurie,"paroisse de Cours-les-Barres
",18075,"
ancienne seigneurie de la paroisse de Cours-les-Barres
"
DT18-10571,"Menetay,",ancien fief,"paroisse de Cours-les-Barres
",18075,"
ancien fief de la paroisse de Cours-les-Barres
"
DT18-01776,"Bois-de-la-Chaume (Le),",ancien fief,"paroisse de Crézancy
",18079,"
ancien fief de la paroisse de Crézancy
"
DT18-03338,"Cassignolles,",ancien fief,"paroisse de Croissy
",18080,"
ancien fief de la paroisse de Croissy
"
DT18-02168,"Bornillat,",ancien fief,"paroisse de Crosses
",18081,"
ancien fief de la paroisse de Crosses
"
DT18-11605,"Nouan,",ancien fief,"paroisse de Culan
",18083,"
ancien fief de la paroisse de Culan
"
DT18-14106,"Saint-Ursin,",ancienne chapelle,"paroisse de Culan
",18083,"
ancienne chapelle de la paroisse de Culan
"
DT18-09715,"Lussaut,",anc domaine et moulins,"paroisse de Cuzay-Sainte-Radegonde
",18087,"
anc domaine et moulins de la paroisse de Cuzay-Sainte-Radegonde
"
DT18-06324,"Embrouilleries (Les),",ancien domaine,"paroisse de Dampierre-en-Crot
",18084,"
ancien domaine de la paroisse de Dampierre-en-Crot
"
DT18-13983,"Saint-Joseph,",ancienne chapelle,"paroisse de Dun-le-Roi
",18087,"
ancienne chapelle de la paroisse de Dun-le-Roi
"
DT18-09879,"Maison-du-Bois (La),",ancien fief,"paroisse de Farges-en-Septaine
",18092,"
ancien fief de la paroisse de Farges-en-Septaine
"
DT18-13484,"Roche (La),",ancien fief,"paroisse de Feux
",18094,"
ancien fief de la paroisse de Feux
"
DT18-15221,"Vauvrille,",ancien fief,"paroisse de Flavigny
",18095,"
ancien fief de la paroisse de Flavigny
"
DT18-08919,"Jacquelinerie (La),",ancien fief,"paroisse de Foëcy
",18096,"
ancien fief de la paroisse de Foëcy
"
DT18-11106,"Motte-de-Varennes (La),",ancien fief,"paroisse de Foëcy
",18096,"
ancien fief de la paroisse de Foëcy
"
DT18-12913,"Prouverie (La),",ancien château,"paroisse de Foëcy
",18096,"
ancien château de la paroisse de Foëcy
"
DT18-11116,"Motte-Lécuyer (La),",ancien fief,"paroisse de Foux
",18094,"
ancien fief de la paroisse de Foux
"
DT18-01873,"Bois-Luillier,",ancien fief,"paroisse de Garigny
",18099,"
ancien fief de la paroisse de Garigny
"
DT18-14055,"Saint-Michel,",ancienne chapelle,"paroisse de Germigny-l’Exempt
",18101,"
ancienne chapelle de la paroisse de Germigny-l’Exempt
"
DT18-11599,"Notre-Dame-de-Pitié,",ancienne chapelle,"paroisse de Jalognes
",18116,"
ancienne chapelle de la paroisse de Jalognes
"
DT18-11927,"Patins (Les),",ancien village,"paroisse de Jalognes
",18116,"
ancien village de la paroisse de Jalognes
"
DT18-04930,"Claudis-Boucard (Les),",ancien fief,"paroisse de Jars
",18117,"
ancien fief de la paroisse de Jars
"
DT18-06280,"Écluse (L’),",ancien fief,"paroisse de Jussy-le-Chaudrier
",18120,"
ancien fief de la paroisse de Jussy-le-Chaudrier
"
DT18-09929,"Maison-Neuve (La),",ancien fief,"paroisse de la Celette
",18041,"
ancien fief de la paroisse de la Celette
"
DT18-15320,"Vernillière (La),",ancien fief,"paroisse de la Celette
",18041,"
ancien fief de la paroisse de la Celette
"
DT18-11129,"Motte-sous-la-Perche (La),",ancien fief,"paroisse de la Perche
",18178,"
ancien fief de la paroisse de la Perche
"
DT18-12676,"Potard (Le),",ancien fief,"paroisse de Lazenay
",18124,"
ancien fief de la paroisse de Lazenay
"
DT18-13947,"Saint-Germain,",ancienne chapelle,"paroisse de Léré
",18125,"
ancienne chapelle de la paroisse de Léré
"
DT18-13871,"Saint-Blaise,",ancien prieuré bénédictin,"paroisse de Lignières
",18127,"
ancien prieuré bénédictin de la paroisse de Lignières
"
DT18-08607,"Guercy,",ancienne châtellenie,"paroisse de Limeux
",18128,"
ancienne châtellenie de la paroisse de Limeux
"
DT18-13973,"Saint-Jean,",ancien prieuré,"paroisse de Lissay
",18129,"
ancien prieuré de la paroisse de Lissay
"
DT18-04953,"Clinchauderie (La),",locature,"paroisse de Lury
",18134,"
locature de la paroisse de Lury
"
DT18-05481,"Cour-de-Champ (La),",ancien fief,"paroisse de Lury
",18134,"
ancien fief de la paroisse de Lury
"
DT18-10958,"Montignon,",ancien fief,"paroisse de Lury
",18134,"
ancien fief de la paroisse de Lury
"
DT18-15603,"Ville-Neuve,",ancien fief,"paroisse de Lury
",18134,"
ancien fief de la paroisse de Lury
"
DT18-11698,"Oiselets (Les),",ancien domaine,"paroisse de Maisonnais
",18135,"
ancien domaine de la paroisse de Maisonnais
"
DT18-05538,"Courtieux,",ancienne justice,"paroisse de Marigny
",non,"
ancienne justice de la paroisse de Marigny
"
DT18-14259,"Sauvert,",ancien fief,"paroisse de Marseilles-les-Aubigny
",18139,"
ancien fief de la paroisse de Marseilles-les-Aubigny
"
DT18-04778,"Chezeau-Copeau (Le),",ancien fief,"paroisse de Massay
",18140,"
ancien fief de la paroisse de Massay
"
DT18-07160,"Forêt-aux-Guyons (La),",ancien fief,"paroisse de Mehun-sur-Yèvre
",18141,"
ancien fief de la paroisse de Mehun-sur-Yèvre
"
DT18-10824,"Mirebeau,",ancienne seigneurie,"paroisse de Mehun-sur-Yèvre
",18141,"
ancienne seigneurie de la paroisse de Mehun-sur-Yèvre
"
DT18-06731,"Filerie (La),",ancien domaine,paroisse de Menetou-Salon,18145,"
ancien domaine de la châtellenie du Fief-Pot, paroisse de Menetou-Salon"
DT18-04712,"Chezal-Gareau (Le),",ancien domaine,"paroisse de Menetou-Salon
",18145,"
ancien domaine de la paroisse de Menetou-Salon
"
DT18-06727,"Fief-Pot (Le),",ancienne châtellenie,"paroisse de Menetou-Salon
",18145,"
ancienne châtellenie de la paroisse de Menetou-Salon
"
DT18-08660,"Guillaume-Martin,",ancien domaine,"paroisse de Ménétréol-sur-Sauldre
",18147,"
ancien domaine de la paroisse de Ménétréol-sur-Sauldre
"
DT18-12034,"Pelure (La),",ancien fief,"paroisse de Ménétréol-sur-Sauldre
",18147,"
ancien fief de la paroisse de Ménétréol-sur-Sauldre
"
DT18-08890,"Ilon (L’),",ancien fief,"paroisse de Mereau
",18148,"
ancien fief de la paroisse de Mereau
"
DT18-11561,"Nipart,",ancien château,"paroisse de Mereau
",18148,"
ancien château de la paroisse de Mereau
"
DT18-15514,"Villages-de-Berry (Les),",collecte,"paroisse de Mornay-Berry
",18154,"
collecte de l’élection de Bourges, paroisse de Mornay-Berry
"
DT18-05435,"Coupe-Gorge,",ancien domaine,"paroisse de Morogues
",18156,"
ancien domaine de la paroisse de Morogues
"
DT18-07085,"Fontenille (La),",ancien domaine,"paroisse de Morogues
",18156,"
ancien domaine de la paroisse de Morogues
"
DT18-09339,"Liesse,",ancienne locature,"paroisse de Moulins-sur-Yèvre
",18158,"
ancienne locature de la paroisse de Moulins-sur-Yèvre
"
DT18-11600,"Notre-Dame-de-Pitié,",ancienne chapelle,"paroisse de Nançay
",18159,"
ancienne chapelle de la paroisse de Nançay
"
DT18-03023,"Buisson (Le),",ancien fief,"paroisse de Nérondes
",18160,"
ancien fief de la paroisse de Nérondes
"
DT18-13597,"Rongère (La),",ancienne chapelle,"paroisse de Neuilly-en-Sancerre
",18162,"
ancienne chapelle de la paroisse de Neuilly-en-Sancerre
"
DT18-04304,"Chaumereuil,",ancien domaine,"paroisse de Neuvy-le-Barrois
",18164,"
ancien domaine de la paroisse de Neuvy-le-Barrois
"
DT18-09995,"Maison-Rouge (La Grande-),",ancien fief,"paroisse de Nohant-en-Goût
",18166,"
ancien fief de la paroisse de Nohant-en-Goût
"
DT18-12089,"Perreau (Le),",ancien fief,"paroisse de Nohant-en-Goût
",18166,"
ancien fief de la paroisse de Nohant-en-Goût
"
DT18-12062,"Percy,",ancien fief,"paroisse de Nohant-en-Graçay
",18167,"
ancien fief de la paroisse de Nohant-en-Graçay
"
DT18-12117,"Perry (Le),",ancien fief,"paroisse de Nohant-en-Graçay
",18167,"
ancien fief de la paroisse de Nohant-en-Graçay
"
DT18-14913,"Trousseaux (Les),",ancien fief,"paroisse de Nohant-en-Graçay
",18167,"
ancien fief de la paroisse de Nohant-en-Graçay
"
DT18-01857,"Bois-Jeanne (Le),",ancien fief,"paroisse de Parnay
",18177,"
ancien fief de la paroisse de Parnay
"
DT18-01962,"Bois-Tournés,",ancien fief,"paroisse de Parnay
",18177,"
ancien fief, paroisse de Parnay
"
DT18-11889,"Parcion,",ancienne seigneurie,"paroisse de Patinges
",18265,"
ancienne seigneurie de la paroisse de Patinges
"
DT18-13143,"Rampenay,",ancien fief,"paroisse de Pigny
",18179,"
ancien fief de la paroisse de Pigny
"
DT18-14389,"Sordeaux (Les),",ancienne métairie,"paroisse de Presly
",18185,"
ancienne métairie de la paroisse de Presly
"
DT18-04787,"Chezeau-Mureau (Le),",ancienne locature,"paroisse de Preuilly
",18186,"
ancienne locature de la paroisse de Preuilly
"
DT18-13927,"Sainte-Valérie,",ancienne chapelle,"paroisse de Préveranges
",18187,"
ancienne chapelle de la paroisse de Préveranges
"
DT18-13493,"Roche (La),",ancien fief,"paroisse de Quincy
",18190,"
ancien fief de la paroisse de Quincy
"
DT18-14012,"Saint-Liset,",ancienne chapelle,"paroisse de Raymond
",18191,"
ancienne chapelle de la paroisse de Raymond
"
DT18-12822,"Prêle,",ancien fief,"paroisse de Sagonne
",18195,"
ancien fief de la paroisse de Sagonne
"
DT18-13895,"Sainte-Barbe,",ancienne chapelle,"paroisse de Sagonne
",18195,"
ancienne chapelle de la paroisse de Sagonne
"
DT18-10820,"Mirebeau,",ancien moulin,"paroisse de Saint-Ambroix
",18198,"
ancien moulin de la paroisse de Saint-Ambroix
 à Bourges"
DT18-11437,"Moulon,",ancien fief,"paroisse de Saint-Baudel
",18199,"
ancien fief de la paroisse de Saint-Baudel
"
DT18-12342,"Place (La),",ancien moulin,"paroisse de Saint-Baudel
",18199,"
ancien moulin de la paroisse de Saint-Baudel
"
DT18-12426,"Plantureuse (La),",ancien domaine,"paroisse de Saint-Baudel
",18199,"
ancien domaine de la paroisse de Saint-Baudel
"
DT18-15090,"Vadron,",ancien moulin,"paroisse de Saint-Christophe-le-Chaudry
",18203,"
ancien moulin de la paroisse de Saint-Christophe-le-Chaudry
"
DT18-08987,"Jarry,",anc étang et fief,"paroisse de Saint-Doulchard
",18205,"
anc étang et fief de la paroisse de Saint-Doulchard
"
DT18-13162,"Rateaux (Les),",ancien fief,"paroisse de Saint-Georges-de-Poisieux
",18209,"
ancien fief de la paroisse de Saint-Georges-de-Poisieux
"
DT18-14065,"Saint-Père,",ancien fief,"paroisse de Saint-Germain-des-Bois
",18212,"
ancien fief de la paroisse de Saint-Germain-des-Bois
"
DT18-10182,"Maltaverne,",ancienne chapelle,"paroisse de Saint-Hilaire-en-Lignières
",18216,"
ancienne chapelle de la paroisse de Saint-Hilaire-en-Lignières
"
DT18-03871,"Charbonnière (La),",ancien fief,"paroisse de Saint-Julien
",non,"
ancien fief de la paroisse de Saint-Julien
, commune de Saint-Symphorien"
DT18-14786,"Toutifaut,",ancien fief,"paroisse de Saint-Just
",18218,"
ancien fief de la paroisse de Saint-Just
"
DT18-07888,"Georges (Les),",ancien domaine,"paroisse de Saint-Laurent
",18219,"
ancien domaine de la paroisse de Saint-Laurent
"
DT18-06763,"Florendry,",ancien fief,"paroisse de Saint-Loup
",18221,"
ancien fief de la paroisse de Saint-Loup
"
DT18-07651,"Garçonnetterie (La),",ancien domaine,"paroisse de Saint-Martin-de-Court
",18140,"
ancien domaine de la paroisse de Saint-Martin-de-Court
"
DT18-10554,"Mêliers (Les),",ancien fief,"paroisse de Saint-Martin-des-Champs
",18224,"
ancien fief de la paroisse de Saint-Martin-des-Champs
"
DT18-11885,"Parçay,",ancienne seigneurie,"paroisse de Saint-Maur
",18225,"
ancienne seigneurie de la paroisse de Saint-Maur
"
DT18-13976,"Saint-Jean,",ancienne chapelle,"paroisse de Saint-Pierre-les-Étieux
",18231,"
ancienne chapelle de la paroisse de Saint-Pierre-les-Étieux
"
DT18-11820,"Pain (Le),",ancien fief,"paroisse de Sainte-Gemme
",18208,"
ancien fief de la paroisse de Sainte-Gemme
"
DT18-08468,"Grosieux,",ancien fief,"paroisse de Sainte-Solange
",18235,"
ancien fief de la paroisse de Sainte-Solange
"
DT18-13737,"Ruelle,",ancien domaine,"paroisse de Sainte-Thorette
",18237,"
ancien domaine de la paroisse de Sainte-Thorette
"
