Article,Vedette,type vedette,Candidat,INSEE,Definition,Correction,Commentaire
DT80-02513,"Houpaincourt,",fief,"
            Monchel
         ",80049,"
         fief dép. de 
            Monchel
         .",,
DT80-03852,Pré,fief,"
            Monchel
         ",80049,"
         fief sis à 
            Monchel
         .",,
DT80-03677,"Petites-Tournelles,",fief,"
            Monchel-Ayencourt
         ",80049,"
         fief sis à 
            Monchel-Ayencourt
         . — Daire. Doy. de Montdidier.",,
DT80-02539,"Huppy,",fief,"
            Monchelet
         ",80500,"
         fief sis à 
            Monchelet
         . — M. Prarond.",,
DT80-03382,"Notre-Dame,",chapelle,"
            Monflières
         ",80078,"
         chapelle dép. de 
            Monflières
         .",,
DT80-02102,"Gambier,",fief,"
            Monflières
         ",80078,"
         fief sis à 
            Monflières
         . — M. Prarond.",,
DT80-04803,"Soulas,",fief,"
            Monflières
         ",80078,"
         fief sis à 
            Monflières
         . M. Prarond.",,
DT80-04516,"S. Mauguille,",chapelle,"
            Monstrelet
         ",80566,"
         chapelle sise à 
            Monstrelet
         .",Montrelet,
DT80-05141,"Vaudricourt,",hameau disparu,"
            Montagne-Fayel
         ",80559,"dép. de 
            Montagne-Fayel
         .",,
DT80-04231,Routieux,fief,"
            Montenoy
         ",80698,"
         fief sis à 
            Montenoy
         .",,
DT80-01808,"Ferme de Montenoy,",,"
            Montenoy
         ",non,"dép. de 
            Montenoy
         , partie de Saint-Aubin.",,
DT80-03406,"N.-D. de Grace,",,"
            Montières
         ",80021,"dép. de 
            Montières
         .",,
DT80-03853,"Pré a Crapauds,",,"
            Montières
         ",80021,"dép. de 
            Montières
         .",,
DT80-01708,"Etouvy,",,"
            Montières-lès-Amiens
         ",80021,"dép. de 
            Montières-lès-Amiens
         .",,
DT80-01745,"Fausse rivière,",ruisseau,"
            Montigny
         ",80562,"
         ruisseau qui passe à 
            Montigny
         , affluent de l’Hallue.",,
DT80-04627,"Agathe,",chapelle,"
            Morival
         ",80809,"
         chapelle dép. de 
            Morival
         .",,
DT80-02029,"Francqval,",fief,"
            Morival
         ",80809,"
         fief sis à 
            Morival
         .",,
DT80-00551,"Boiselier,",fief,"
            Morival
         ",80809,"
         fief sis à 
            Morival
         . M. Prarond.",,
DT80-01325,Corps-de-garde,,"
            Morlay
         ",80633,"dép. de 
            Morlay
         .",,
DT80-02007,Fourchelle,ferme,"
            Moyencourt
         ",80576,"
         ferme dép. de 
            Moyencourt
          (canton de Nesle).",,
DT80-02970,"Ménesvillers,",ferme,"
            Moyencourt
         ",80577,"
         ferme dép. de 
            Moyencourt
         , 15 habitants.",,
DT80-02095,"Gagny,",ferme,"
            Moyencourt
         ",80577,"
         ferme dép. de 
            Moyencourt
         , canton de Poix.",,
DT80-01681,"Etang d’Arrivaux,",,"
            Moyencourt
         ",80576,"dép. de 
            Moyencourt
          (canton de Roye). Desséché depuis 1792.",,
DT80-01295,Cordeliers,,"
            Moyencourt
         ",80576,"dép. de 
            Moyencourt
         .",,
DT80-00903,Calironfa,bois,"
            Nampty
         ",80583,"
         bois dép. de 
            Nampty
         .",,
DT80-03440,"Notre-Dame-des-Vertus,",,"
            Nampty
         ",80583,"dép. de 
            Nampty
         .",,
DT80-01286,"Coppegueule,",,"
            Nampty-Coppegueule
         ",80583,"dép. de 
            Nampty-Coppegueule
         .",,
DT80-01772,Ferme,,"
            Nampty-Coppegueule
         ",80583,"dép. de 
            Nampty-Coppegueule
         .",,
DT80-03479,"Offinicourt,",fief,"
            Neufmoulin
         ",80588,"
         fief dépendant de 
            Neufmoulin
         .",,
DT80-01347,"Coulombeauville,",fief,"
            Neufmoulin
         ",80588,"
         fief sis à 
            Neufmoulin
         .",,
DT80-01439,"Cumont,",fief,"
            Neuilly-le-Dieu
         ",80589,"
         fief sis à 
            Neuilly-le-Dieu
         .",Neuilly-le-Dien,
DT80-00020,"Acquet,",,"
            Neuilly-le-Dieu
         ",80589,"dép. de 
            Neuilly-le-Dieu
         , 116 habitants.",Neuilly-le-Dien,
DT80-01287,"Coppegueule,",,"
            Neuville
         ",80592,"dép. de 
            Neuville
         .",,
DT80-04113,"Rivière de Neuville,",,"
            Neuville
         ",80332,"passe à 
            Neuville
          
         près Forestmontiers.",,"Pb de segmentation, il faut corriger en « Neuville-près-Forestmontiers »"
DT80-02868,"Marais des Trois-Vaches,",lieu dit,"
            Neuville-les-Amiens
         ",80021,"
         lieu dit à la 
            Neuville-les-Amiens
         .",,
DT80-03571,Périgord,lieu dit,"
            Neuville-les-Amiens
         ",80021,"
         lieu dit à la 
            Neuville-les-Amiens
         . — Ordo.",,
DT80-05014,Tuilerie,,"
            Neuville-les-Corbie
         ",80212,"dép. de la 
            Neuville-les-Corbie
         .",,
DT80-04457,"S. Ladre,",ferme,"
            Neuville-sous-Corbie
         ",80212,"
         ferme dép. de la 
            Neuville-sous-Corbie
         .",,
