article_id,vedette,vedette_orig,localisationco,localisationco_orig,NCCENR_orig,insee_code,id,old-id,label,definition_typologie,definition_localisation,insee,method_dicotopo,localisationde,dpt_code,canton_code,method,reference
PO8-00454,Cruis,Cruis,none,none,Cruis,Cruis (04065),,,,,,,nulle,Basses-Alpes,04,Saint-Étienne-les-Orgues,dpt_exact,     Cruis     Basses Alpes     con de Saint Étienne les Orgues       Crocium  124 variante h  elemosinarius  117 f  monasterium  124 c  prepositus  117 b  sacrista  117 f      Crosium  eccl   127 a      Crossium  abbas  124 c  domus de Man uas ca  125 a  elemosinarius  124 c  infirmarius  124 c  sacrista  124 c      Crotium  127 variante a      Placitum Dei  capellanus  120 e  eccl   120 e    
PO8-00455,Cucuron,Cucuron,none,none,Cucuron,Cucuron (84042),,,,,,,nulle,Vaucluse,84,Cadenet,dpt_exact,     Cucuron     Vaucluse     con de Cadenet       xix  xx        Cucuronum  eccl   14 e  29 a  32 e  39 i  46 e    
PO8-00456,Cuebris,Cuébris,none,none,Cuébris,Cuebris (06052),,,,,,,nulle,Alpes-Maritimes,06,Roquestéron,dpt_exact,     Cuébris     Alpes Maritimes     con de Roquestéron       Cobrium  eccl   262 f  264 e  268 b    
PO8-00457,Cuers,Cuers,none,none,Cuers,Cuers (83049),,,,,,,nulle,Var,83,none,dpt_exact,     Cuers     Var     arr  de Toulon       Corei  eccl   235 d    
PO8-00458,Cuges,Cuges,none,none,,Cuges Pins (13030) - Cuges-les-Pins,,,,,,,nulle,Bouches-du-Rhône,13,Aubagne,dpt_fuzzy,     Cuges     Bouches du Rhône     con d Aubagne       Cuja  castrum  217 e  eccl   217 e  vicarius  217 e    
PO8-00459,Curbans,Curbans,none,none,Curbans,Curbans (04066),,,,,,,nulle,Basses-Alpes,04,la Motte,dpt_exact,     Curbans     Basses Alpes     con de la Motte       Curbagnum  103 e      Curbang  eccl   76 d      Curbannum  capellanus  88 c      Curbanum  eccl   93 b    
PO8-00460,Curel,Curel,none,none,Curel,Curel (04067),,,,,,,nulle,Basses-Alpes,04,Noyers-sur-Jabron,dpt_exact,     Curel     Basses Alpes     con de Noyers sur Jabron       Curelum  eccl   127 h    
PO8-00461,Curnier,Curnier,none,none,Curnier,Curnier (26112),,,,,,,nulle,Drôme,26,Nyons,dpt_exact,     Curnier     Drôme     con de Nyons       Curnier  prieuré  128 b      Cornearium  castellum  113 b  Sanctus Nicolaus  eccl   113 b      Curnerium  Sanctus Nicolaus  eccl   116 f    
PO8-00462,Curnier,Curnier,Bastidonne,la Bastidonne,Bastidonne,Bastidonne (84010),,,,,,,nulle,Vaucluse,84,Pertuis,dpt_exact_simple,     Curnier     Vaucluse     con de Pertuis     cne de la Bastidonne       Curnerium  eccl   30 d  33 d  39 f  46 a  Beata Maria  eccl   28 b  Beata Maria Magdalena  eccl   14 e    
PO8-00463,Daluis,Daluis,none,none,Daluis,Daluis (06053),,,,,,,nulle,Alpes-Maritimes,06,Guillaumes,dpt_exact,     Daluis     Alpes Maritimes     con de Guillaumes       Adaloxium  eccl   262 b  264 b  267 c    
PO8-00464,Damparie,Damparie,Gap,Gap,Gap,Gap (05061),,,,,,,nulle,Hautes-Alpes,05,Gap,dpt_exact,     Damparie     Hautes Alpes     con de Gap     cne de Gap       Prebenda domini Guillelmi Parie  83 e      Prebenda vocata Nanperia  90 a    
